@relation 'nyc_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-4'

@attribute room_type {'Hotel room','Private room','Entire home/apt','Shared room'}
@attribute number_of_reviews numeric
@attribute days_since_last_review numeric
@attribute reviews_per_month numeric
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',340,84,2.36,2,218,55,0.259273,4.267753,4.197475,160
'Private room',615,86,4.44,2,235,51,0.069394,5.072105,5.063539,60
'Private room',17,424,0.12,1,90,1,0.149603,4.156336,15.098755,114
'Private room',25,1003,0.21,1,0,0,0.251801,10.174084,6.823089,139
'Entire home/apt',58,157,0.41,1,342,1,0.096526,7.381622,2.659724,250
'Entire home/apt',2,1110,0.02,6,361,0,0.237224,5.342533,6.058517,211
'Entire home/apt',154,374,1.06,1,134,2,0.32705,8.527902,5.591003,175
'Private room',442,76,3.21,2,272,19,0.157612,5.59887,5.130553,81
'Private room',29,625,0.19,2,271,0,0.225478,7.896824,4.706079,55
'Private room',473,93,4.29,2,134,47,0.463154,6.797804,2.320043,166
'Entire home/apt',53,75,0.38,2,42,23,0.044159,7.756235,2.80548,300
'Entire home/apt',123,134,0.89,1,38,14,0.182906,7.826354,5.149159,150
'Entire home/apt',109,100,0.82,1,326,3,0.084172,8.183082,2.801522,500
'Entire home/apt',12,2506,0.09,1,262,0,0.142741,8.150214,5.052119,225
'Entire home/apt',237,86,1.64,1,341,33,0.471739,6.946297,3.524834,564
'Entire home/apt',320,86,2.34,2,95,30,0.266442,5.646095,2.700092,209
'Entire home/apt',63,184,0.5,1,330,2,0.254632,6.176955,1.568389,166
'Private room',162,88,1.32,2,30,35,0.272148,7.19415,2.428257,218
'Entire home/apt',254,102,1.65,1,42,26,0.154429,3.938171,4.001217,300
'Entire home/apt',53,972,0.35,1,103,0,0.501566,6.972147,2.439298,220
'Private room',63,84,0.91,2,319,3,0.140836,5.343903,5.685795,75
'Private room',148,1171,1.11,1,365,0,0.552082,4.166444,2.184405,200
'Entire home/apt',38,106,0.27,1,0,1,0.398974,6.8842,2.27423,195
'Entire home/apt',10,1182,0.07,1,0,0,0.022004,7.302289,1.923493,250
'Private room',53,802,0.38,1,311,0,0.09423,8.593568,4.182111,140
'Entire home/apt',192,76,1.39,3,86,1,0.099429,4.211193,3.137178,110
'Private room',241,98,1.69,2,38,22,0.159199,4.58527,4.201415,111
'Private room',221,72,1.58,1,279,28,0.155335,7.536805,1.448023,175
'Private room',1,2509,0.01,1,0,0,0.140052,4.880446,3.794131,90
'Private room',1,2429,0.01,1,0,0,0.380236,6.456085,1.406786,95
'Entire home/apt',58,805,0.39,1,333,0,0.12363,5.554201,5.188749,110
'Private room',3,1122,0.06,1,0,0,0.163566,4.839013,4.503947,125
'Entire home/apt',165,104,1.15,2,328,2,0.359942,6.836526,2.231345,160
'Private room',177,1003,1.29,2,343,0,0.316229,8.074753,4.650786,95
'Entire home/apt',4,1908,0.03,1,0,0,0.223598,5.136633,3.106999,211
'Entire home/apt',61,1559,0.4,1,280,0,0.066281,6.167016,3.160826,105
'Private room',0,-1,0,1,0,0,0.16962,8.326437,4.672406,90
'Entire home/apt',168,1577,1.15,1,0,0,0.116745,6.639293,3.630371,80
'Entire home/apt',92,-1,0.65,1,0,0,0.044979,5.397849,0.942671,110
'Entire home/apt',62,86,0.46,1,165,1,0.148406,7.225759,2.064861,130
'Private room',273,107,1.99,2,326,3,0.326114,8.223947,5.961488,55
