@relation 'nyc_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-4'

@attribute room_type {'Hotel room','Private room','Entire home/apt','Shared room'}
@attribute number_of_reviews numeric
@attribute days_since_last_review numeric
@attribute reviews_per_month numeric
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',3,3028,0.03,1,0,0,0.10174,9.768694,6.123727,150
'Entire home/apt',17,2828,0.17,1,358,0,0.152859,5.735381,1.410969,6000
'Private room',74,1123,0.76,1,0,0,0.142986,5.333688,4.985775,55
'Private room',20,128,0.26,1,339,6,0.304297,7.620595,5.572954,45
'Private room',0,-1,0,2,0,0,0.341186,5.285721,3.021056,70
'Entire home/apt',8,2143,0.08,1,0,0,0.143395,7.424862,2.253037,275
'Entire home/apt',27,2270,0.26,1,0,0,0.127939,3.740523,3.497705,94
'Shared room',16,2004,0.16,1,0,0,0.213783,4.520219,1.825084,80
'Private room',0,-1,0,8,0,0,0.329607,9.892261,6.380551,85
'Entire home/apt',4,2496,0.04,1,0,0,0.122062,10.12886,8.507429,115
'Entire home/apt',21,2227,0.2,1,0,0,0.292671,7.173827,2.424446,148
'Shared room',7,2180,0.07,1,37,0,0.401396,5.457888,3.536013,125
'Entire home/apt',36,310,0.35,1,93,3,0.337121,4.203524,2.235836,100
'Entire home/apt',0,-1,0,1,0,0,0.310672,6.591132,1.573045,650
'Entire home/apt',4,3047,0.04,1,0,0,0.213095,9.894873,7.697711,50
'Private room',2,85,0.14,8,101,1,0.250898,9.928985,6.33273,60
'Entire home/apt',4,2201,0.04,1,0,0,0.078634,7.770114,2.722717,145
'Entire home/apt',4,2154,0.04,1,0,0,0.054527,7.715514,1.965662,200
'Entire home/apt',0,-1,0,1,0,0,0.291544,6.579064,0.395732,175
'Entire home/apt',19,2703,0.18,1,0,0,0.178637,9.1185,4.958716,150
'Entire home/apt',0,-1,0,1,0,0,0.100125,5.873362,1.42532,560
'Entire home/apt',0,-1,0,1,0,0,0.124475,6.087771,0.249903,240
'Entire home/apt',0,-1,0,1,0,0,0.135773,7.772122,2.068458,156
'Entire home/apt',0,-1,0,1,0,0,0.064075,7.998104,2.283896,325
'Entire home/apt',0,-1,0,1,0,0,0.018674,5.810226,0.594907,750
'Private room',0,-1,0,1,0,0,0.130046,7.213856,2.041421,120
'Entire home/apt',12,1080,0.12,1,0,0,0.219714,6.017673,5.179498,105
'Entire home/apt',131,91,1.55,1,18,12,0.236047,3.109239,3.211218,145
'Entire home/apt',7,471,0.09,33,281,0,0.627007,5.065464,3.282224,169
'Private room',196,1520,1.9,1,190,0,0.107752,7.672445,2.957,71
'Entire home/apt',95,1602,0.93,1,0,0,0.117975,8.5797,3.651687,299
'Entire home/apt',6,1083,0.06,33,339,0,0.636406,5.053673,3.281278,169
'Private room',9,1070,0.12,1,218,0,0.198869,4.966729,3.830734,95
'Entire home/apt',0,-1,0,1,0,0,0.339837,9.212492,5.531589,199
'Entire home/apt',0,-1,0,1,0,0,0.139849,5.990881,4.087896,1200
'Entire home/apt',0,-1,0,1,0,0,0.201037,4.281579,2.454002,150
'Entire home/apt',47,93,0.46,2,47,6,0.18829,4.497557,4.396712,175
'Private room',4,2261,0.04,1,0,0,0.125973,6.475129,3.819323,55
'Private room',4,3080,0.04,1,0,0,0.186148,6.070218,6.241308,60
'Entire home/apt',28,2717,0.28,1,309,0,0.143453,7.042332,1.805504,700
'Private room',9,2752,0.09,1,0,0,0.277835,5.55754,2.231476,100
'Entire home/apt',2,3130,0.02,1,0,0,0.259828,2.843272,3.516868,65
'Entire home/apt',73,887,0.69,1,75,0,0.087315,5.734722,3.77016,58
'Private room',239,94,2.31,1,22,37,0.148856,3.059111,3.275893,59
'Private room',0,-1,0,1,0,0,0.595345,6.715115,3.127588,95
'Entire home/apt',1,1774,0.02,1,0,0,0.251281,5.503784,5.390528,95
'Entire home/apt',93,71,0.92,2,322,6,0.369276,7.838671,6.708002,265
'Entire home/apt',28,1048,0.27,1,37,0,0.248811,9.974388,6.584345,290
'Entire home/apt',10,990,0.1,1,280,0,0.184226,3.143147,6.746914,296
'Entire home/apt',0,-1,0,1,0,0,0.256128,4.649424,4.274292,100
'Entire home/apt',2,2703,0.02,1,0,0,0.127461,4.678594,1.741056,180
'Entire home/apt',23,2536,0.23,1,0,0,0.072871,7.416525,1.402111,107
'Entire home/apt',21,295,0.21,98,327,2,0.242344,6.389189,0.530119,175
'Private room',0,-1,0,2,0,0,0.154986,6.282274,3.366306,59
'Entire home/apt',147,989,1.42,1,0,0,0.152466,9.399607,5.303281,43
'Entire home/apt',26,1850,0.3,1,0,0,0.170133,7.842224,2.156392,200
'Entire home/apt',0,-1,0,2,0,0,0.240939,10.921232,10.244097,43
'Entire home/apt',28,1778,0.27,2,0,0,0.222545,10.925541,10.265265,51
'Private room',8,1482,0.13,1,0,0,0.160735,9.899417,7.466507,65
'Entire home/apt',14,76,0.18,1,237,12,0.182456,7.510356,2.584348,350
'Entire home/apt',0,-1,0,1,0,0,0.085367,8.053945,2.917464,5250
'Entire home/apt',0,-1,0,1,0,0,0.161678,5.09451,3.319665,1500
'Entire home/apt',25,1544,0.26,1,0,0,0.20689,7.572701,2.045575,210
'Private room',95,170,0.91,3,0,19,0.22839,6.662643,5.219764,73
'Entire home/apt',75,2095,0.78,1,0,0,0.096231,4.333893,2.347231,155
'Entire home/apt',0,-1,0,1,0,0,0.233176,5.796315,2.610645,900
'Entire home/apt',3,1904,0.03,1,0,0,0.191487,4.132443,2.611816,110
'Entire home/apt',141,87,1.38,1,86,7,0.18237,4.335898,9.586436,85
'Entire home/apt',154,73,2.58,3,197,54,0.175282,6.613534,0.34674,225
'Entire home/apt',358,72,3.44,1,293,38,0.21201,8.350945,6.394606,114
'Entire home/apt',0,-1,0,1,0,0,0.200514,7.43166,1.795825,1000
'Entire home/apt',141,317,1.35,1,0,2,0.306018,8.853751,6.952136,85
'Entire home/apt',14,2375,0.16,1,0,0,0.110401,5.383571,2.042538,225
'Entire home/apt',215,379,2.08,2,264,1,0.316652,8.048826,6.274555,130
'Entire home/apt',3,109,1.23,1,14,3,0.042006,6.823695,6.573644,195
'Entire home/apt',0,-1,0,1,0,0,0.200049,5.736859,1.974282,1000
'Private room',0,-1,0,2,0,0,0.230925,8.062245,5.914949,107
'Private room',13,1125,0.15,1,0,0,0.153011,5.434649,2.857412,75
'Private room',1,2456,0.01,1,0,0,0.170964,7.159764,2.03172,129
'Entire home/apt',173,115,1.69,1,328,1,0.551615,7.059114,5.507186,143
'Entire home/apt',154,142,1.46,2,313,4,0.432711,7.084867,5.80571,160
'Private room',23,86,0.39,2,319,7,0.178388,5.289156,5.725409,75
'Private room',0,-1,0,1,0,0,0.160907,7.321001,2.608221,75
'Entire home/apt',26,1434,0.26,1,0,0,0.088819,8.055664,2.328919,185
'Entire home/apt',6,73,0.53,1,31,6,0.078763,8.16737,5.200137,112
'Private room',5,2508,0.05,2,0,0,0.210397,5.482439,4.576599,40
'Entire home/apt',5,2146,0.05,1,0,0,0.163799,4.191419,2.459301,175
'Entire home/apt',22,94,0.22,3,0,1,0.251143,8.044869,5.263266,275
'Private room',1,3128,0.01,1,0,0,0.182804,8.026918,2.562282,100
'Private room',0,-1,0,1,0,0,0.087746,6.176115,6.948173,300
'Private room',1,3237,0.01,1,0,0,0.214844,8.477779,6.179747,40
'Private room',207,93,2.06,3,88,23,0.296983,6.555875,0.478317,115
'Entire home/apt',41,167,0.42,1,237,4,0.390396,5.436987,3.622757,195
'Entire home/apt',0,-1,0,1,0,0,0.166658,7.817743,2.255484,900
'Entire home/apt',14,79,0.3,2,241,8,0.159636,4.78734,1.652308,125
'Entire home/apt',5,107,0.06,33,329,1,0.627596,5.048032,3.250491,169
'Entire home/apt',26,653,0.26,1,103,0,0.411742,6.184077,2.82429,250
'Entire home/apt',374,91,4.16,1,231,42,0.123302,7.219911,1.236058,189
'Entire home/apt',0,-1,0,1,0,0,0.26476,6.650427,1.565248,2000
'Entire home/apt',0,-1,0,1,0,0,0.116843,5.068655,3.033068,750
'Entire home/apt',11,389,0.11,1,0,1,0.164643,7.636282,1.760161,625
'Entire home/apt',177,78,1.75,1,114,43,0.455957,7.25687,5.258162,130
'Private room',3,2506,0.03,1,0,0,0.37514,6.625706,3.38434,75
'Private room',13,1968,0.17,1,0,0,0.108593,6.711949,1.953004,100
'Entire home/apt',0,-1,0,1,0,0,0.111931,6.762541,0.494377,350
'Private room',69,171,0.67,1,26,3,0.175231,8.765979,6.364262,70
'Entire home/apt',0,-1,0,1,0,0,0.103471,7.935667,2.437137,200
'Private room',17,87,0.16,1,82,2,0.146684,5.543364,2.367703,55
'Private room',19,70,3.83,1,81,19,0.080867,6.080263,4.226182,118
'Entire home/apt',1,2506,0.01,1,0,0,0.183424,8.490852,2.957825,110
'Private room',0,-1,0,1,0,0,0.162236,6.197318,3.79176,70
'Private room',0,-1,0,1,0,0,0.058345,8.533529,3.161268,500
'Shared room',0,-1,0,1,0,0,0.234987,2.553129,3.769595,65
'Private room',52,85,0.99,2,170,10,0.136294,5.511476,5.792566,150
'Entire home/apt',15,2608,0.17,1,0,0,0.255426,6.007997,0.87369,175
'Entire home/apt',328,128,3.16,1,146,1,0.38317,7.332616,5.241393,104
'Entire home/apt',184,778,2.09,1,190,0,0.296316,7.173899,6.09623,145
'Entire home/apt',43,1592,0.43,2,0,0,0.258528,6.37171,5.680218,81
'Entire home/apt',1,3005,0.01,1,0,0,0.097621,5.663537,2.575922,150
'Private room',161,137,1.64,2,30,6,0.143629,4.672251,3.468239,49
'Entire home/apt',4,444,0.05,33,326,0,0.611634,5.060974,3.238968,199
'Entire home/apt',2,380,0.06,33,340,1,0.538469,5.122712,3.190864,169
'Entire home/apt',25,206,0.25,1,37,7,0.179114,5.793855,2.924031,325
'Private room',263,85,2.54,1,258,26,0.165513,9.32564,7.312849,74
'Entire home/apt',7,165,0.07,33,326,4,0.57495,5.157456,3.321379,169
'Private room',54,1465,0.56,1,196,0,0.449729,7.023352,2.550904,100
'Private room',48,117,0.47,2,35,6,0.63044,3.315757,8.251109,69
'Entire home/apt',0,-1,0,1,0,0,0.206048,8.875566,3.868229,575
'Entire home/apt',21,107,0.47,1,249,1,0.202938,9.152482,5.171465,125
'Entire home/apt',20,215,0.2,1,357,2,0.182049,4.940198,11.158225,120
'Entire home/apt',8,2073,0.08,1,0,0,0.520522,6.748252,0.693272,100
'Private room',0,-1,0,2,18,0,0.060432,10.010436,7.572826,39
'Entire home/apt',0,-1,0,1,0,0,0.087437,7.965777,4.956216,6500
'Entire home/apt',0,-1,0,1,219,0,0.294595,3.286477,3.404327,247
'Entire home/apt',2,1675,0.04,1,0,0,0.158736,4.204913,3.61488,132
'Entire home/apt',0,-1,0,1,0,0,0.22385,4.353182,2.147591,99
'Entire home/apt',48,2179,0.46,1,0,0,0.132439,5.746009,1.822023,150
'Entire home/apt',8,2704,0.09,1,0,0,0.161261,7.497951,1.792157,199
'Entire home/apt',12,1972,0.12,1,0,0,0.136655,5.416343,3.455969,60
'Entire home/apt',31,199,0.3,1,37,1,0.28638,9.473123,5.586035,180
'Private room',229,90,2.23,2,122,5,0.527148,6.815792,2.384342,145
'Entire home/apt',6,2235,0.06,1,299,0,0.100505,8.637836,3.566241,130
'Private room',1,1642,0.02,1,0,0,0.180873,7.477654,1.729774,175
'Entire home/apt',35,113,0.35,1,0,3,0.397618,4.951249,1.369292,80
'Entire home/apt',2,564,0.04,33,305,0,0.608925,5.112294,3.320043,169
'Entire home/apt',0,-1,0,1,0,0,0.063466,4.127322,2.790944,180
'Entire home/apt',0,-1,0,1,0,0,0.231846,6.352387,1.131567,2750
'Private room',0,-1,0,1,0,0,0.363784,6.899197,5.51961,18
'Entire home/apt',3,2584,0.03,1,0,0,0.177472,6.0173,3.131288,250
'Entire home/apt',2,1805,0.02,1,329,0,0.016579,6.160446,0.289106,135
'Entire home/apt',198,81,1.96,1,265,7,0.160371,7.475019,2.579925,133
'Private room',13,1287,0.13,1,340,0,0.066612,5.701637,5.678235,100
'Private room',276,71,2.79,3,143,47,0.343747,6.526153,3.327346,132
'Entire home/apt',0,-1,0,1,0,0,0.12424,7.02239,1.717437,3750
'Private room',26,79,7.36,1,130,26,0.260462,5.979501,6.33807,84
'Private room',62,71,1.27,3,224,42,0.096586,5.947662,0.441587,324
'Entire home/apt',6,1413,0.06,1,0,0,0.055846,6.139316,3.5936,120
'Entire home/apt',25,2002,0.25,1,0,0,0.367606,6.854275,2.2411,160
'Entire home/apt',192,103,1.9,2,299,30,0.086181,4.50647,4.498496,165
'Private room',28,1196,0.28,1,220,0,0.04448,4.625961,3.368332,92
'Private room',0,-1,0,1,0,0,0.120956,9.614193,7.105663,57
'Entire home/apt',0,-1,0,1,0,0,0.178462,6.460485,0.221544,850
'Entire home/apt',0,-1,0,1,0,0,0.228349,6.199751,3.008424,500
'Entire home/apt',7,444,0.07,33,303,0,0.625596,5.068228,3.284074,149
'Private room',29,168,0.41,2,232,5,3.400953,5.182068,11.479099,90
'Entire home/apt',0,-1,0,1,0,0,0.313963,6.168219,1.689825,800
'Entire home/apt',0,-1,0,1,0,0,0.045383,5.395263,0.941086,950
'Private room',2,2756,0.02,1,0,0,0.188581,6.272968,3.086741,90
'Entire home/apt',0,-1,0,1,0,0,0.167482,8.34225,3.012028,1500
'Entire home/apt',0,-1,0,1,0,0,0.219656,4.499075,1.863589,1600
'Entire home/apt',0,-1,0,1,0,0,0.16309,5.521057,2.859488,80
'Private room',2,2515,0.02,1,0,0,0.157995,6.0759,5.166205,49
'Entire home/apt',20,1414,0.2,1,81,0,0.132733,5.139595,2.970987,200
'Private room',318,74,3.08,1,114,53,0.103062,6.256115,0.87599,128
'Entire home/apt',7,2255,0.08,1,0,0,0.181558,8.826445,4.823388,160
'Private room',0,-1,0,1,0,0,0.130351,5.949192,3.546874,73
'Entire home/apt',8,1786,0.08,1,0,0,0.042061,7.139016,1.139317,160
'Private room',92,141,0.89,2,60,9,0.098563,5.226935,5.451823,68
'Entire home/apt',201,86,1.97,3,104,10,0.078903,4.432347,4.042989,282
'Private room',0,-1,0,1,0,0,0.10566,4.895873,9.023041,30
'Entire home/apt',3,2989,0.03,1,0,0,0.156311,4.142637,2.631436,675
'Entire home/apt',50,292,0.72,1,0,1,0.273061,8.973946,6.647705,94
'Entire home/apt',22,1044,0.27,1,0,0,0.207428,4.366854,2.411176,115
'Entire home/apt',74,1357,0.72,1,297,0,0.165393,7.426664,1.345962,230
'Private room',0,-1,0,1,0,0,0.096991,5.863554,0.596561,600
'Entire home/apt',35,101,0.34,4,161,7,0.150329,8.317411,5.068029,345
'Entire home/apt',13,96,0.13,1,157,6,0.133683,6.658188,3.887383,131
'Entire home/apt',2,2140,0.03,1,0,0,0.136753,5.819882,2.081204,300
'Private room',9,1880,0.09,1,0,0,0.118286,5.96122,6.631903,55
'Entire home/apt',0,-1,0,1,0,0,0.281864,6.807085,0.510601,800
'Entire home/apt',8,435,0.09,1,336,0,0.736912,7.798923,9.543028,304
'Entire home/apt',247,90,2.39,1,269,46,0.112102,5.88618,3.85919,168
'Entire home/apt',8,2242,0.09,1,0,0,0.228549,6.488462,0.43202,200
'Private room',41,72,0.78,1,359,9,0.272572,5.143657,4.340978,100
'Entire home/apt',10,1213,0.12,1,0,0,0.315697,6.783125,4.886397,85
'Entire home/apt',33,1210,0.32,1,0,0,0.127018,5.681851,4.864525,150
'Entire home/apt',94,72,1.16,12,291,25,0.195495,3.304274,7.200092,152
'Entire home/apt',21,2513,0.21,1,0,0,0.616263,8.956774,9.480217,90
'Entire home/apt',69,96,0.77,1,90,1,0.276256,6.95746,0.652711,140
'Entire home/apt',0,-1,0,1,0,0,0.172891,6.17344,0.67255,425
'Entire home/apt',4,1639,0.04,1,0,0,0.080416,8.45634,4.721885,200
'Entire home/apt',2,2969,0.02,1,0,0,0.146509,7.023189,1.874084,180
'Private room',32,1842,0.47,1,0,0,0.203565,7.053599,0.88717,119
'Entire home/apt',20,1624,0.2,1,0,0,0.150328,4.358407,2.182776,128
'Private room',0,-1,0,1,0,0,0.158663,8.390925,6.22424,150
'Entire home/apt',1,2594,0.01,1,0,0,0.106446,6.317087,0.210859,975
'Entire home/apt',22,93,0.21,1,0,8,0.354459,9.201017,6.035248,250
'Entire home/apt',3,2682,0.03,1,0,0,0.12225,7.389504,1.654847,199
'Entire home/apt',69,259,0.74,1,0,2,0.174239,7.869121,2.952046,140
'Entire home/apt',202,89,2.67,1,69,46,0.403136,6.184916,1.201655,125
'Entire home/apt',284,70,2.77,1,3,24,0.269774,5.972298,5.971774,104
'Entire home/apt',21,1598,0.22,1,0,0,0.098924,5.468987,2.57021,168
'Entire home/apt',5,331,0.06,1,305,2,0.201168,9.80675,6.374857,175
'Private room',88,903,0.88,5,341,0,3.428522,5.564462,9.34036,55
'Entire home/apt',11,1598,0.14,1,0,0,0.36072,6.608059,0.543512,150
'Entire home/apt',0,-1,0,1,0,0,0.332041,5.774844,2.683722,225
'Private room',14,345,0.16,2,0,5,0.073441,9.652496,7.156202,35
'Private room',2,2244,0.02,2,122,0,0.151812,5.563598,5.051764,65
'Entire home/apt',30,2357,0.29,1,0,0,0.214348,5.648419,1.754904,650
'Entire home/apt',149,1142,1.45,2,364,0,2.789449,2.266916,13.291402,150
'Private room',4,2823,0.04,1,0,0,0.141596,7.86553,2.919634,75
'Entire home/apt',124,101,1.2,1,326,1,0.076916,7.785517,2.736252,250
'Private room',13,444,0.16,5,0,0,0.179842,5.659443,3.815103,70
'Entire home/apt',0,-1,0,1,0,0,0.099957,5.170856,5.217867,250
'Private room',20,103,0.2,2,319,3,0.223151,4.742941,4.635955,100
'Private room',0,-1,0,1,0,0,0.19035,6.120573,5.042761,145
'Entire home/apt',244,107,2.34,2,192,3,0.141749,5.9543,4.168136,110
'Entire home/apt',58,454,0.57,1,320,0,0.202014,5.200794,1.868171,395
'Entire home/apt',35,1773,0.34,1,37,0,0.260111,5.365761,2.964245,70
'Entire home/apt',0,-1,0,1,0,0,0.200211,5.512487,2.209948,70
'Entire home/apt',0,-1,0,1,0,0,0.270482,6.573636,1.395877,749
'Private room',1,2780,0.01,2,0,0,0.341348,3.162775,3.147332,70
'Private room',18,1201,0.18,2,0,0,0.137213,5.69969,5.726291,55
'Private room',3,1049,0.06,1,0,0,0.108653,2.581614,4.836819,79
'Entire home/apt',23,1049,0.23,1,0,0,0.296062,4.461927,1.951356,220
'Entire home/apt',24,2095,0.23,1,0,0,0.168891,8.77132,5.815819,550
'Entire home/apt',50,1101,0.5,1,293,0,0.097968,6.0142,1.508517,200
'Entire home/apt',53,95,0.51,1,4,11,0.208146,9.138537,4.959503,195
'Entire home/apt',7,96,0.09,33,292,1,0.634117,5.043309,3.256334,149
'Private room',1,2298,0.01,1,0,0,0.051766,2.607855,3.968603,50
'Private room',274,102,2.63,1,28,6,0.087931,5.526027,0.798271,150
'Entire home/apt',0,-1,0,1,0,0,0.187548,5.786608,1.483045,400
'Entire home/apt',17,1714,0.21,1,0,0,0.395627,7.931401,6.873999,80
'Entire home/apt',102,273,1.04,1,52,2,0.154718,4.4495,4.217163,101
'Private room',45,169,0.44,1,327,3,0.153795,3.116766,3.403032,70
'Private room',1,2346,0.01,1,0,0,0.326989,7.120662,2.383383,90
'Entire home/apt',4,1046,0.04,1,0,0,0.222363,9.206067,5.052048,165
'Entire home/apt',260,84,2.54,2,285,39,0.27271,7.756095,5.213434,179
'Entire home/apt',9,2874,0.09,1,0,0,0.288354,5.120603,3.811395,99
'Entire home/apt',55,1049,0.56,1,0,0,0.044745,7.662758,2.599987,225
'Entire home/apt',3,2520,0.04,1,0,0,0.100701,7.140055,1.901,245
'Entire home/apt',73,1310,0.71,1,304,0,0.189673,7.24427,2.225026,250
'Entire home/apt',1,3001,0.01,1,0,0,0.33289,2.480316,3.88981,150
'Entire home/apt',2,2144,0.03,1,0,0,0.116413,6.769474,1.774246,130
'Entire home/apt',117,88,1.15,1,245,9,0.236912,7.441515,5.790904,140
'Entire home/apt',10,1115,0.11,1,0,0,0.334548,9.217522,5.268129,185
'Entire home/apt',0,-1,0,79,250,0,0.11621,6.046828,0.553609,449
'Private room',387,76,3.78,1,0,38,0.115113,4.856904,3.39043,239
'Private room',1,1609,0.02,1,0,0,0.333889,9.804539,7.881485,30
'Entire home/apt',28,318,0.3,1,183,1,0.16309,8.079175,5.17263,800
'Entire home/apt',2,3130,0.02,1,0,0,0.332576,8.224957,5.971914,60
'Private room',12,1384,0.12,1,0,0,0.178111,6.307841,4.020305,55
'Private room',20,327,0.23,1,364,1,0.141111,4.76043,3.734576,79
'Shared room',10,2646,0.11,1,0,0,0.098563,4.051388,3.594168,55
'Entire home/apt',19,1560,0.19,1,0,0,0.116671,5.637029,2.669482,140
'Entire home/apt',16,1810,0.16,5,72,0,0.124809,6.082948,0.253628,129
'Private room',2,1045,0.02,3,0,0,0.218952,8.490458,5.803344,75
'Entire home/apt',6,2270,0.07,1,0,0,0.1913,9.183731,5.149101,350
'Entire home/apt',54,108,0.53,1,68,5,0.159374,6.588969,3.582701,106
'Private room',52,1744,0.51,5,313,0,3.423763,5.570198,9.343859,86
'Entire home/apt',3,1605,0.03,1,0,0,0.166642,9.144365,5.133852,215
'Private room',2,2313,0.02,1,0,0,0.291652,6.036804,6.386689,89
'Private room',0,-1,0,1,0,0,0.037127,5.940952,0.52083,250
'Private room',0,-1,0,1,0,0,0.115481,4.962386,4.7383,99
'Entire home/apt',1,3092,0.01,1,0,0,0.615115,3.858597,2.460178,225
'Entire home/apt',32,1652,0.31,1,0,0,0.230414,6.526297,1.267985,210
'Entire home/apt',2,1652,0.04,1,0,0,0.249349,6.066664,2.987998,89
'Private room',1,2632,0.01,1,0,0,0.23119,5.749716,1.52694,65
'Entire home/apt',2,1414,0.02,1,0,0,0.19003,5.485544,1.929379,110
'Entire home/apt',3,1119,0.03,2,365,0,0.315087,7.70718,1.568671,275
'Private room',3,2372,0.04,1,0,0,0.212168,7.312071,5.985769,75
'Private room',10,652,0.12,1,191,0,0.140062,9.401741,8.468281,57
'Entire home/apt',304,78,3.02,2,298,55,0.214195,6.398064,5.170453,215
'Entire home/apt',14,2937,0.14,1,14,0,0.232626,4.203512,15.212936,140
'Private room',26,1937,0.27,1,0,0,0.159317,8.373161,3.937104,500
'Entire home/apt',8,1092,0.08,1,0,0,0.115914,7.411848,2.026955,200
'Entire home/apt',156,83,1.52,7,292,19,0.058958,4.561922,4.622175,135
'Entire home/apt',3,2256,0.03,1,0,0,0.107337,6.00999,0.582478,409
'Entire home/apt',72,99,0.71,1,45,10,0.111721,7.053731,1.725076,253
'Private room',44,1693,0.59,3,0,0,0.080451,6.211923,3.160708,70
'Entire home/apt',33,2582,0.33,1,0,0,0.073748,5.783251,3.996283,169
'Entire home/apt',0,-1,0,1,0,0,0.296776,4.331767,2.130347,219
'Entire home/apt',12,1558,0.12,1,0,0,0.361677,9.166767,5.455009,325
'Private room',113,1049,1.11,1,0,0,0.152133,8.825457,5.407261,105
'Entire home/apt',10,94,0.14,31,285,3,0.255368,4.544755,1.890911,117
'Private room',4,1048,0.04,2,0,0,0.31517,6.3032,5.649586,54
'Private room',11,988,0.11,1,0,0,0.061787,6.538995,4.704539,49
'Private room',6,74,0.71,2,314,6,0.08549,6.743622,6.56507,50
'Private room',32,775,0.32,2,35,0,0.213979,9.946035,7.725671,39
'Entire home/apt',346,85,3.41,3,206,52,0.218606,7.725923,5.137311,103
'Private room',2,1277,0.05,1,0,0,0.200015,6.285035,3.828101,50
'Private room',392,981,3.86,1,0,0,0.272534,6.452601,3.262487,80
'Entire home/apt',0,-1,0,1,0,0,0.357356,8.535505,3.263939,325
'Private room',33,1072,0.33,1,0,0,0.183733,7.506727,5.8673,531
'Private room',48,168,0.47,2,365,2,0.211692,7.289602,2.54338,170
'Entire home/apt',3,2210,0.03,1,0,0,0.114724,9.087939,5.576451,195
'Private room',1,3154,0.01,1,0,0,0.253702,7.1809,5.057868,30
'Private room',2,1779,0.02,1,0,0,0.338029,5.770177,2.660311,89
'Entire home/apt',20,101,0.2,1,243,4,0.514893,4.464619,9.855112,60
'Entire home/apt',2,2709,0.02,2,147,0,0.112059,7.895646,2.615695,1100
'Entire home/apt',9,2667,0.09,1,0,0,0.189386,5.57336,1.856271,200
'Private room',0,-1,0,1,0,0,0.115679,7.011983,1.823112,174
'Entire home/apt',96,94,0.95,1,1,3,0.110156,9.090567,5.078781,136
'Entire home/apt',15,1542,0.15,1,0,0,0.270011,5.411992,1.038543,99
'Entire home/apt',0,-1,0,1,0,0,0.213056,5.483919,1.987312,145
'Shared room',13,1020,0.13,2,363,0,0.450124,6.198564,9.271118,60
'Private room',9,2587,0.09,1,0,0,0.23218,5.94405,5.217014,80
'Entire home/apt',7,1141,0.09,1,281,0,0.026955,9.979178,6.750407,120
'Private room',29,1106,0.29,1,65,0,0.179745,6.136637,1.487943,159
'Entire home/apt',18,1819,0.18,1,0,0,0.135447,3.548016,3.632325,149
'Entire home/apt',9,170,0.13,31,318,1,0.220203,4.54095,1.871476,100
'Entire home/apt',1,569,0.06,31,291,0,0.14879,4.637579,1.780239,116
'Entire home/apt',2,2234,0.03,1,0,0,0.146744,4.558102,2.129766,119
'Entire home/apt',0,-1,0,1,0,0,0.069244,5.077252,2.890398,90
'Entire home/apt',4,350,0.08,31,259,2,0.200327,4.575153,1.911855,148
'Entire home/apt',8,167,0.09,31,329,2,0.186229,4.631722,1.8022,145
'Entire home/apt',8,188,0.09,31,276,1,0.142105,4.649191,1.769248,119
'Private room',17,76,0.22,3,0,5,0.186437,6.480781,4.823694,77
'Private room',4,107,0.28,3,0,3,0.174875,6.372223,4.714337,75
'Entire home/apt',3,2163,0.04,1,0,0,0.192222,6.615832,4.907372,68
'Entire home/apt',5,2427,0.05,1,0,0,0.090303,9.274551,7.59525,150
'Entire home/apt',81,80,1.05,1,14,9,0.361568,9.166405,5.352818,339
'Private room',127,87,1.39,3,260,32,0.134292,5.472449,2.640175,71
'Entire home/apt',16,2291,0.18,1,0,0,0.170439,6.896457,8.382093,160
'Entire home/apt',0,-1,0,1,0,0,0.145551,9.345111,5.242483,150
'Private room',337,87,3.31,1,37,24,0.062677,5.410777,2.961757,82
'Entire home/apt',12,2039,0.12,1,0,0,0.16433,8.176763,5.005372,195
'Private room',10,1093,0.1,1,0,0,0.177119,5.831626,6.403732,50
'Entire home/apt',209,288,2.2,1,223,1,0.029517,7.507133,1.632937,299
'Entire home/apt',1,3123,0.01,1,0,0,0.302395,4.308613,2.14825,175
'Private room',4,107,0.08,1,260,3,0.351892,7.122639,2.601286,150
'Entire home/apt',109,92,1.07,2,242,4,0.119583,4.940429,4.737131,135
'Entire home/apt',9,2035,0.09,1,0,0,0.267927,5.326996,2.31636,189
'Entire home/apt',1,2737,0.01,2,0,0,0.071182,8.463698,4.74676,150
'Private room',5,2360,0.05,2,0,0,0.265235,7.019629,2.016889,120
'Entire home/apt',5,287,0.07,31,259,1,0.186666,4.587891,1.829354,148
'Entire home/apt',123,80,1.32,1,219,22,0.056969,8.54524,4.209227,114
'Private room',6,1829,0.1,1,0,0,0.258176,6.397349,0.545075,120
'Entire home/apt',109,70,1.12,1,246,27,0.088203,7.061802,1.173469,250
'Entire home/apt',33,1065,0.33,2,0,0,0.132354,7.644982,2.517925,430
'Private room',218,78,2.75,2,116,41,0.090271,6.177588,3.717095,145
'Entire home/apt',46,1850,0.46,1,280,0,0.285005,8.289249,3.801792,125
'Entire home/apt',57,974,1.22,1,0,0,0.331619,2.455007,3.935063,83
