X,Y,NAME,ADDRESS,LINE,TRAININFO_URL,WEB_URL,GIS_ID,MAR_ID,GLOBALID,OBJECTID,CREATOR,CREATED,EDITOR,EDITED,SE_ANNO_CAD_DATA
-76.9959391944564,38.9210674808595,Rhode Island Ave,"801 RHODE ISLAND AVENUE NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B04|Rhode%20Island%20Ave-Brentwood,https://www.wmata.com/rider-guide/stations/rhode-island-ave.cfm,MetroStnFullPt_44,316413,{B0E99A94-2671-4A83-9408-AA14150A9512},364,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.9467499947779,38.8991990121813,Minnesota Ave,"4120 MINNESOTA AVENUE NE, WASHINGTON, DC",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D09|Minnesota Ave,https://www.wmata.com/rider-guide/stations/minnesota-ave.cfm,MetroStnFullPt_45,316352,{73A2019B-6A30-445E-9910-330E84F1B22E},365,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0629884805507,38.9432730819699,Van Ness-UDC,"4230 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A06|Van%20Ness-UDC,https://www.wmata.com/rider-guide/stations/van-ness.cfm,MetroStnFullPt_46,316424,{7B646C8F-9F60-4AEA-98F1-18D3E497EC43},366,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0580448171052,38.9347706829249,Cleveland Park,"3514 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A05|Cleveland Park,https://www.wmata.com/rider-guide/stations/cleveland-park.cfm,MetroStnFullPt_47,277555,{4B4902E7-99C8-4F3A-A763-E5AF1BBD3589},367,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0325544073219,38.9278457591984,Columbia Heights,"3030 14TH STREET NW, WASHINGTON, DC","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E04|Columbia Heights,https://www.wmata.com/rider-guide/stations/columbia-hghts.cfm,MetroStnFullPt_48,294815,{8AF08D02-304E-41FF-9C61-07FC10778F05},368,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.2415603517124,38.9289596276567,Spring Hill,"1576 SPRING HILL ROAD VIENNA, VA 22182",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N04|Spring%20Hill,https://www.wmata.com/rider-guide/stations/spring-hill.cfm,MetroStnFullPt_49,,{2AF0ADB2-4343-41F8-94F3-382B8F4F52FD},369,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.233880199548,38.9209631790513,Greensboro,"8305 LEESBURG PIKE VIENNA, VA 22182",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N03|Greensboro,https://www.wmata.com/rider-guide/stations/greensboro.cfm,MetroStnFullPt_50,,{4C628A11-4D06-4CDF-AA62-D78443C18656},370,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.2217180330483,38.9206820540508,Tysons,"1943 CHAIN BRIDGE ROAD MCLEAN, VA 22102",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N02|Tysons%20Corner,https://www.wmata.com/rider-guide/stations/tysons.cfm,MetroStnFullPt_51,,{1EF88247-08BA-4730-9FF0-32AF302FF769},371,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.2100812932053,38.9245295516699,McLean,"1824 DOLLEY MADISON BOULIVARD MCLEAN, VA 22102",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N01|McLean,https://www.wmata.com/rider-guide/stations/mclean.cfm,MetroStnFullPt_52,,{6277291A-ED2C-49D6-BC2A-0B5782E60A0F},372,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.3400622192864,38.9477406642851,Wiehle-Reston East,"1862 WIEHLE AVENUE RESTON, VA 20190",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N06|Wiehle-Reston%20East,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm,MetroStnFullPt_53,,{E84C9485-B088-4883-B655-D60F0E6DC586},373,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.9281272420476,38.9786414397642,College Park-U of Md,"4931 CALVERT ROAD, COLLEGE PARK, MD","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E09|College Park-U of MD,https://www.wmata.com/rider-guide/stations/college-park.cfm,MetroStnFullPt_54,,{6098B50C-BDED-4CE9-B4C6-2859397DE510},374,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.911810364184,38.889473645299,Capitol Heights,"133 CENTRAL AVENUE, CAPITOL HEIGHTS, MD","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G02|Capitol Heights,https://www.wmata.com/rider-guide/stations/capitol-hghts.cfm,MetroStnFullPt_55,,{4FDA06EA-D870-4773-B2E9-26F30736FF02},375,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.8680770044389,38.8938427191441,Morgan Boulevard,"300 GARRETT MORGAN BLVD., LANDOVER, MD","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G04|Morgan Boulevard,https://www.wmata.com/rider-guide/stations/morgan-blvd.cfm,MetroStnFullPt_56,,{A2937176-211C-4B3F-8E4D-213823483BBA},376,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0234631914466,38.9374424240925,Georgia Ave Petworth,"3750 GEORGIA AVENUE NW, WASHINGTON, DC","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E05|Georgia Ave-Petworth,https://www.wmata.com/rider-guide/stations/georgia-ave.cfm,MetroStnFullPt_57,316437,{AE4109AE-FB58-43F8-9730-3E2007F9D8C9},377,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0181789867943,38.9760863329941,Takoma,"327 CEDAR STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B07|Takoma,https://www.wmata.com/rider-guide/stations/takoma.cfm,MetroStnFullPt_58,294822,{D1980E8D-7C09-470D-8FBD-424111625913},378,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0535596637348,39.061791583367,Glenmont,"12501 GEORGIA AVENUE, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B11|Glenmont,https://www.wmata.com/rider-guide/stations/glenmont.cfm,MetroStnFullPt_59,,{32143231-DB2A-4D84-A426-9F685D6A1666},379,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0501093553323,39.037534956767,Wheaton,"11171 GEORGIA AVENUE, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B10|Wheaton,https://www.wmata.com/rider-guide/stations/wheaton.cfm,MetroStnFullPt_60,,{61BC61D3-54BB-4CA8-A8A4-3639E00F3656},380,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0429188530732,39.0149620841024,Forest Glen,"9730 GEORGIA AVENUE, FOREST GLEN, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B09|Forest Glen,https://www.wmata.com/rider-guide/stations/forest-glen.cfm,MetroStnFullPt_61,,{165DEB3C-D0B8-4759-BFBC-EAFC4915CE26},381,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0310201199989,38.9939571798124,Silver Spring,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B08|Silver%20Spring,https://www.wmata.com/rider-guide/stations/silver-spring.cfm,MetroStnFullPt_62,,{19F107AF-A8A6-4D31-9414-A50C0861A40E},382,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.9945365631974,38.9332187855283,Brookland-CUA,"890 MONROE STREET NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B05|Brookland-CUA,https://www.wmata.com/rider-guide/stations/brookland.cfm,MetroStnFullPt_63,316412,{EF6F8E72-08A4-40A6-B5AA-7DEF85525EA5},383,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0022053584327,38.9518545652334,Fort Totten,"201 GALLOWAY STREET NE, WASHINGTON, DC","red, green,yellow","https://www.wmata.com/js/nexttrain/nexttrain.html#B06,E06|Fort Totten",https://www.wmata.com/rider-guide/stations/fort-totten.cfm,MetroStnFullPt_64,316355,{17F2219B-DB36-4FE9-8736-303987AA0FF2},384,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.9558837759004,38.9653932479519,Hyattsville Crossing,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E08|Prince%20George%27s%20Plaza,https://www.wmata.com/rider-guide/stations/hyattsville-xing.cfm,MetroStnFullPt_65,,{A29107EB-EDEE-4188-8E81-4D4BDDA13561},385,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.9695789467579,38.9550479702246,West Hyattsville,"2700 HAMILTON ST., HYATTSVILLE, MD","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E07|West%20Hyattsville,https://www.wmata.com/rider-guide/stations/west-hyattsville.cfm,MetroStnFullPt_66,,{96FD7D3C-533E-4BAD-A542-3B546B821873},386,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.9383671261511,38.8909834637487,Benning Road,"4500 CENTRAL AVENUE NE, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G01|Benning Road,https://www.wmata.com/rider-guide/stations/benning-rd.cfm,MetroStnFullPt_67,316344,{F5CA27DC-D209-42F0-906F-F9459A52BE17},387,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.8941101539901,38.886755605367,Addison Road Seat Pleasant,"100 ADDISON ROAD S., CAPITOL HEIGHTS, MD","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G03|Addison Road-Seat Pleasant,https://www.wmata.com/rider-guide/stations/addison-rd.cfm,MetroStnFullPt_68,,{0C7EF392-D03C-410E-A95E-666689721DF7},388,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.9352590411544,38.9081862878493,Deanwood,"4720 MINNESOTA AVENUE NE, WASHINGTON, DC",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D10|Deanwood,https://www.wmata.com/rider-guide/stations/deanwood.cfm,MetroStnFullPt_69,294855,{115D0C4C-4F37-4848-BFB8-FC2DDDE2E878},389,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.8718435273078,38.9477926575059,New Carrollton,"4700 GARDEN CITY DRIVE, NEW CARROLLTON, MD",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D13|New Carrollton,https://www.wmata.com/rider-guide/stations/new-carrollton.cfm,MetroStnFullPt_70,,{658ED827-F7B3-40C8-9C6A-7C9CFB87169B},390,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.8912002135252,38.9335140325296,Landover,"3000 PENNSY DRIVE, HYATTSVILLE, MD",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D12|Landover,https://www.wmata.com/rider-guide/stations/landover.cfm,MetroStnFullPt_71,,{FFD29946-8F8B-47A5-9F17-FD06D6E050A7},391,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.9166302968683,38.9166396483886,Cheverly,"5501 COLUMBIA PARK, CHEVERLY, MD 
",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D11|Cheverly,https://www.wmata.com/rider-guide/stations/cheverly.cfm,MetroStnFullPt_72,,{339FB4DA-A3F8-4719-AA52-031B1272A8E9},392,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.8445538708846,38.9006075165335,Downtown Largo," LARGO TOWN CENTER, 9000 LOTTSFORD ROAD, LARGO, MD","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G05|Largo Town Center,https://www.wmata.com/rider-guide/stations/downtown-largo.cfm,MetroStnFullPt_73,,{898C687D-59F8-4EF2-9531-F536EDAA0561},393,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0030227264183,38.9070240007291,NoMa - Gallaudet U,"1301 2ND STREET NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B35|NoMa-Gallaudet U,https://www.wmata.com/rider-guide/stations/new-york-ave.cfm,MetroStnFullPt_74,316364,{8E692112-0620-49A9-836F-E6D1CF479FFF},394,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0709109849919,38.8959868801064,Rosslyn,"1850 N. MOORE STREET, ARLINGTON, VA","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#C05|Rosslyn,https://www.wmata.com/rider-guide/stations/rosslyn.cfm,MetroStnFullPt_75,,{E2C94C61-E18E-4ED0-9F15-E5BEC69D3EB2},395,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0628124255369,38.8846946403712,Arlington|Cemetery,"1000 NORTH MEMORIAL DRIVE, ARLINGTON, VA",blue,https://www.wmata.com/js/nexttrain/nexttrain.html#C06|Arlington Cemetery,https://www.wmata.com/rider-guide/stations/arlington-cemetery.cfm,MetroStnFullPt_76,,{65038B81-9163-4C79-9E16-1E8C903C4125},396,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0434166516056,38.9096058451658,Dupont Circle,"1525 20TH STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A03|Dupont Circle,https://www.wmata.com/rider-guide/stations/dupont-circle.cfm,MetroStnFullPt_77,,{F453DF1C-8A7E-4ECE-9667-A796E809B71F},397,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
