@relation 'chicago_listings - full-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute host_is_superhost {t,f}
@attribute host_listings_count numeric
@attribute host_total_listings_count numeric
@attribute host_has_profile_pic {t,f}
@attribute host_identity_verified {t,f}
@attribute neighbourhood_cleansed {'Hyde Park','West Town','Lincoln Park','Logan Square',Uptown,'Near South Side',Edgewater,'North Center',Pullman,'West Ridge','Near West Side',Bridgeport,Kenwood,'Lake View',Loop,'Lincoln Square','Grand Boulevard','Forest Glen','Near North Side','Lower West Side','East Garfield Park','Rogers Park','North Lawndale',Beverly,Chatham,Woodlawn,Avondale,'Humboldt Park','Portage Park','Washington Park','South Lawndale','South Shore','Morgan Park',Dunning,'West Lawn','Irving Park','Armour Square','Albany Park','South Deering','West Garfield Park',Hermosa,'Mckinley Park',Douglas,Hegewisch,'West Elsdon',Ashburn,'Greater Grand Crossing','Norwood Park','Garfield Ridge',Austin,'North Park','Belmont Cragin',Oakland,'West Pullman','Archer Heights','Jefferson Park','Edison Park','Brighton Park',Englewood,'Chicago Lawn','South Chicago','Mount Greenwood',Montclare,'West Englewood',Roseland,'Calumet Heights','Fuller Park',Ohare,'Auburn Gresham','New City','Avalon Park',Burnside,Clearing,'Gage Park','Washington Heights','East Side',Riverdale}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute accommodates numeric
@attribute bedrooms numeric
@attribute beds numeric
@attribute minimum_nights numeric
@attribute maximum_nights numeric
@attribute has_availability {t,f}
@attribute availability_30 numeric
@attribute availability_60 numeric
@attribute availability_90 numeric
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute number_of_reviews_l30d numeric
@attribute review_scores_rating numeric
@attribute review_scores_accuracy numeric
@attribute review_scores_cleanliness numeric
@attribute review_scores_checkin numeric
@attribute review_scores_communication numeric
@attribute review_scores_location numeric
@attribute review_scores_value numeric
@attribute instant_bookable {t,f}
@attribute calculated_host_listings_count numeric
@attribute calculated_host_listings_count_entire_homes numeric
@attribute calculated_host_listings_count_private_rooms numeric
@attribute calculated_host_listings_count_shared_rooms numeric
@attribute reviews_per_month numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
f,1,2,t,t,'Logan Square',41.92589,-87.69737,'Private room',1,1,1,2,14,t,9,39,69,344,20,0,0,4.89,4.95,4.95,5,4.95,5,4.95,f,1,0,1,0,0.16,0.255847,10.109361,4.948199,88
f,1,2,t,t,'Near South Side',41.85923,-87.62198,'Entire home/apt',2,1,1,180,365,t,23,53,83,358,39,0,0,4.84,4.94,4.53,4.94,4.97,4.82,4.47,f,1,1,0,0,0.3,0.23607,8.731678,1.370251,170
t,2,5,t,t,'West Ridge',42.0076,-87.6825,'Entire home/apt',1,1,1,33,90,t,0,0,0,256,28,5,0,4.89,5,4.89,5,5,4.81,4.96,f,2,2,0,0,0.21,0.38876,12.301417,9.387369,48
f,1,2,t,t,'Near West Side',41.88413,-87.64315,'Entire home/apt',3,2,2,32,720,t,27,57,87,362,67,1,0,4.84,4.79,4.79,4.95,4.92,4.87,4.76,f,1,1,0,0,0.53,0.109649,9.023899,0.8393,195
t,1,1,t,t,Edgewater,41.97806,-87.65676,'Private room',1,1,1,30,120,t,0,0,1,164,66,3,0,4.78,4.82,4.67,4.88,4.94,4.8,4.83,f,1,0,1,0,0.51,0.106365,13.543035,7.052571,32
t,1,2,t,t,'Logan Square',41.92063,-87.68353,'Entire home/apt',6,2,2,1,1125,t,18,48,78,353,100,19,0,4.86,4.87,4.83,4.95,4.95,4.57,4.79,f,1,1,0,0,0.8,0.356326,10.021808,4.149464,479
f,2,2,t,t,Bridgeport,41.82712,-87.64046,'Entire home/apt',6,3,3,32,90,t,0,0,0,0,50,0,0,4.84,4.94,4.62,4.96,5,4.72,4.86,t,2,2,0,0,0.38,0.599948,6.738558,3.565448,130
f,2,2,t,t,Bridgeport,41.82741,-87.63934,'Entire home/apt',6,2,3,32,120,t,0,0,0,0,39,0,0,4.74,4.72,4.82,4.95,4.97,4.64,4.85,t,2,2,0,0,0.41,0.536489,6.802455,3.536184,146
t,2,4,t,t,Kenwood,41.80774,-87.59459,'Private room',2,1,1,2,7,t,3,28,52,322,261,22,0,4.96,4.95,4.97,4.95,4.97,4.88,4.9,t,1,0,1,0,2.05,0.225829,8.7462,5.221623,94
f,1,2,t,t,'Hyde Park',41.80241,-87.58825,'Entire home/apt',7,4,4,32,90,t,0,14,44,319,9,1,0,5,4.78,4.44,4.78,4.89,4.67,4.78,f,1,1,0,0,0.07,0.040242,9.034002,5.694062,449
t,3,5,t,t,'Lake View',41.94107,-87.65492,'Entire home/apt',4,2,2,3,14,t,3,15,32,294,645,63,7,4.9,4.92,4.88,4.89,4.91,4.92,4.85,t,1,1,0,0,5.03,0.110054,11.950632,4.556267,248
t,2,5,t,f,'West Town',41.89629,-87.65704,'Entire home/apt',12,3,5,2,1125,t,11,39,69,344,260,33,2,4.85,4.86,4.74,4.92,4.94,4.75,4.77,f,2,2,0,0,2.17,0.077585,9.220861,1.946118,285
f,3,4,t,f,'West Town',41.88947,-87.66933,'Entire home/apt',3,2,3,5,365,t,16,37,55,55,202,8,1,4.54,4.58,4.41,4.9,4.89,4.66,4.43,f,1,1,0,0,1.63,0.29444,8.458475,2.2965,194
f,1,14,t,t,Loop,41.86765,-87.62271,'Private room',2,1,1,32,1125,f,0,0,0,0,38,0,0,4.72,4.31,4.83,4.79,4.83,4.93,4.66,f,1,0,1,0,0.3,0.126821,9.049032,0.818395,119
f,2,9,t,t,'Logan Square',41.92518,-87.69549,'Entire home/apt',4,1,2,2,360,t,0,0,0,0,644,0,0,4.81,4.87,4.8,4.91,4.91,4.81,4.82,f,1,1,0,0,5.26,0.226409,10.093723,4.839123,48
f,1,3,t,t,Uptown,41.96978,-87.67389,'Entire home/apt',6,3,3,7,30,t,10,40,70,250,17,3,0,4.81,5,4.81,4.93,4.87,4.93,4.87,f,1,1,0,0,0.14,0.184447,12.622366,6.768488,230
