@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute host_is_superhost {FALSE,TRUE}
@attribute host_listings_count numeric
@attribute host_total_listings_count numeric
@attribute host_has_profile_pic {TRUE,FALSE}
@attribute host_identity_verified {TRUE,FALSE}
@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute accommodates numeric
@attribute bedrooms numeric
@attribute beds numeric
@attribute minimum_nights numeric
@attribute maximum_nights numeric
@attribute has_availability {TRUE,FALSE}
@attribute availability_30 numeric
@attribute availability_60 numeric
@attribute availability_90 numeric
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute number_of_reviews_l30d numeric
@attribute review_scores_rating numeric
@attribute review_scores_accuracy numeric
@attribute review_scores_cleanliness numeric
@attribute review_scores_checkin numeric
@attribute review_scores_communication numeric
@attribute review_scores_location numeric
@attribute review_scores_value numeric
@attribute instant_bookable {FALSE,TRUE}
@attribute calculated_host_listings_count numeric
@attribute calculated_host_listings_count_entire_homes numeric
@attribute calculated_host_listings_count_private_rooms numeric
@attribute calculated_host_listings_count_shared_rooms numeric
@attribute reviews_per_month numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
FALSE,1,1,TRUE,TRUE,'Entire home/apt',2,?,1,31,35,FALSE,0,0,0,0,9,0,0,5,5,4.89,5,5,4.89,4.89,FALSE,1,1,0,0,0.12,0.035794,5.780752,2.193795,85
TRUE,23,30,TRUE,TRUE,'Entire home/apt',4,1,2,31,500,TRUE,30,60,90,365,9,0,0,4.67,5,4.78,5,5,5,4.78,FALSE,19,19,0,0,0.12,0.425976,3.276305,2.205689,265
FALSE,1,3,TRUE,TRUE,'Private room',2,?,1,31,1125,TRUE,0,0,0,0,9,0,0,4.38,4.43,4.29,4.29,4.75,4.88,4.63,FALSE,1,0,1,0,0.12,0.858456,4.378064,2.618735,40
FALSE,68,147,TRUE,TRUE,'Entire home/apt',5,2,2,30,365,TRUE,2,3,3,3,6,0,0,4,4,3.67,4.67,4.67,5,3.67,FALSE,17,17,0,0,0.12,0.402478,3.8465,0.398499,298
FALSE,1,1,TRUE,TRUE,'Entire home/apt',4,2,2,31,1125,TRUE,13,43,72,72,9,3,0,4.75,5,4.75,5,5,5,4.75,FALSE,1,1,0,0,0.12,0.308709,3.820336,1.86002,199
TRUE,2,3,TRUE,TRUE,'Entire home/apt',2,1,1,3,28,TRUE,10,26,56,62,8,7,1,5,5,5,4.88,5,5,4.86,FALSE,1,1,0,0,0.12,0.115888,3.337503,0.73596,300
TRUE,2,4,TRUE,TRUE,'Entire home/apt',4,2,3,31,1125,TRUE,0,0,0,113,6,3,0,4.83,4.83,5,5,5,4.67,4.33,FALSE,2,2,0,0,0.12,0.503305,4.559786,1.398731,201
FALSE,2,2,TRUE,FALSE,'Private room',2,2,2,31,365,TRUE,0,0,0,0,5,1,0,5,5,5,5,5,5,5,FALSE,2,1,1,0,0.12,0.213449,3.847831,0.500137,157
FALSE,1,3,TRUE,TRUE,'Entire home/apt',6,3,4,31,1125,FALSE,0,0,0,0,7,0,0,5,5,5,5,5,5,5,FALSE,1,1,0,0,0.12,0.644734,4.928559,1.49728,99
FALSE,1,1,TRUE,FALSE,'Entire home/apt',3,?,2,31,1125,FALSE,0,0,0,0,7,0,0,4.86,5,4.86,5,5,4.71,5,FALSE,1,1,0,0,0.12,0.744861,5.253557,2.887979,32
FALSE,1,2,TRUE,TRUE,'Entire home/apt',4,2,2,31,1125,TRUE,21,51,81,170,2,1,0,5,5,5,5,5,5,5,FALSE,1,1,0,0,0.12,0.65187,3.701967,2.451117,156
FALSE,1,2,TRUE,TRUE,'Private room',2,1,1,2,50,TRUE,27,57,87,87,6,4,0,4.8,4.8,4.8,5,5,4.8,5,FALSE,1,0,1,0,0.12,0.647091,6.569974,6.350604,73
FALSE,?,?,?,?,'Entire home/apt',4,2,2,31,731,TRUE,7,37,67,342,4,0,0,4.5,5,5,4.75,4.75,4.75,4.25,TRUE,157,157,0,0,0.12,0.40344,3.800889,1.186586,164
FALSE,3,3,TRUE,FALSE,'Entire home/apt',8,3,4,2,365,TRUE,10,29,59,238,5,1,0,4.4,4.6,5,4.8,4.4,3.8,4.4,FALSE,3,3,0,0,0.12,1.014744,4.618224,3.109669,242
TRUE,2,2,TRUE,FALSE,'Private room',2,?,1,20,360,TRUE,1,16,46,136,5,3,0,5,5,5,5,5,5,5,FALSE,2,1,1,0,0.12,0.41724,6.451486,3.19007,56
FALSE,?,?,?,?,'Entire home/apt',4,2,2,31,731,TRUE,1,1,16,291,4,0,0,4.75,4.75,5,5,5,5,5,TRUE,157,157,0,0,0.12,0.294269,6.164298,2.555403,125
FALSE,8,10,TRUE,TRUE,'Private room',2,1,1,31,1125,TRUE,30,60,90,326,4,1,0,3.5,3.5,4.5,4,4,4,3,TRUE,8,0,8,0,0.12,0.224086,3.07666,2.299833,335
FALSE,?,?,?,?,'Entire home/apt',4,2,2,31,731,TRUE,0,14,44,319,3,0,0,5,5,5,5,5,5,5,TRUE,157,157,0,0,0.12,0.786314,4.073508,2.444496,119
FALSE,14,44,TRUE,TRUE,'Private room',2,1,1,2,799,TRUE,1,23,53,328,4,1,1,5,5,5,5,5,5,5,TRUE,12,2,10,0,0.12,0.195823,4.16824,0.541149,155
FALSE,9,14,TRUE,TRUE,'Private room',4,1,2,31,1125,TRUE,29,59,89,269,4,1,0,4.75,4.5,4.75,4.75,5,4.75,4.75,FALSE,4,0,4,0,0.12,0.501488,3.226064,5.161231,132
FALSE,?,?,?,?,'Entire home/apt',2,1,1,31,731,TRUE,30,60,90,365,3,1,0,4,5,5,5,3.67,5,3.33,TRUE,157,157,0,0,0.12,0.336405,4.293549,0.680332,124
FALSE,?,?,?,?,'Entire home/apt',2,?,1,31,731,TRUE,1,1,14,289,4,0,0,4.75,5,4.5,5,4.75,5,4.75,TRUE,157,157,0,0,0.12,0.094857,3.78706,0.712687,104
FALSE,35,36,TRUE,TRUE,'Entire home/apt',2,1,2,31,1125,TRUE,1,14,44,319,4,2,0,4.75,4.75,4.25,5,5,5,4.5,FALSE,33,33,0,0,0.12,0.562629,3.518856,2.247767,85
FALSE,3,5,TRUE,TRUE,'Private room',1,1,1,31,1125,TRUE,30,60,90,151,1,1,0,4,4,4,4,4,4,4,FALSE,3,0,3,0,0.12,0.096272,3.906705,3.420438,74
FALSE,?,?,?,?,'Entire home/apt',2,?,?,31,731,TRUE,23,53,83,353,3,1,0,5,5,5,4.33,5,5,5,TRUE,157,157,0,0,0.12,0.384533,3.228262,2.171287,104
FALSE,1,3,TRUE,TRUE,'Entire home/apt',3,1,1,31,1125,TRUE,0,0,0,0,4,0,0,5,5,4.5,5,4.75,5,4.75,FALSE,1,1,0,0,0.12,0.315035,4.018914,1.491795,80
FALSE,1,9,TRUE,FALSE,'Entire home/apt',2,1,2,31,1125,TRUE,19,49,79,79,4,0,0,5,5,5,5,5,5,5,FALSE,1,1,0,0,0.12,0.879972,4.768915,2.667733,115
FALSE,1,2,TRUE,FALSE,'Entire home/apt',5,4,5,60,1125,TRUE,0,0,0,246,3,2,0,4.33,4.67,4,4.33,5,5,4,FALSE,1,1,0,0,0.12,0.088889,3.373758,0.926385,180
FALSE,?,?,?,?,'Entire home/apt',2,?,?,31,731,TRUE,5,35,65,340,3,1,0,4.67,5,5,5,4.67,5,4.33,TRUE,157,157,0,0,0.12,0.296126,3.532428,1.079455,91
FALSE,?,?,?,?,'Entire home/apt',4,2,2,31,731,TRUE,0,14,44,319,3,1,0,4.33,5,4.33,5,5,5,4,TRUE,157,157,0,0,0.12,0.315318,3.542816,1.094678,162
FALSE,?,?,?,?,'Entire home/apt',2,?,?,31,731,TRUE,5,35,65,340,2,1,0,3,4,4,4.5,3.5,4,3,TRUE,157,157,0,0,0.12,0.232461,3.384268,1.068319,91
FALSE,99,387,TRUE,TRUE,'Private room',1,1,1,91,365,TRUE,28,58,88,362,1,1,0,3,4,5,5,4,4,2,TRUE,63,4,59,0,0.12,0.936404,4.360096,2.684186,65
FALSE,1,1,TRUE,TRUE,'Entire home/apt',4,?,2,31,1125,FALSE,0,0,0,0,3,0,0,4,5,4.33,5,3.67,5,4.67,FALSE,1,1,0,0,0.12,1.277776,7.305688,3.528844,200
FALSE,2,2,TRUE,TRUE,'Entire home/apt',2,1,1,2,500,TRUE,4,7,21,200,3,0,0,4.67,4.33,5,5,5,3.67,5,FALSE,2,2,0,0,0.12,0.422413,2.787394,3.893754,95
FALSE,201,253,TRUE,TRUE,'Entire home/apt',2,1,1,31,365,TRUE,28,54,84,359,2,1,1,4.5,5,5,5,4.5,5,4.5,FALSE,156,150,5,0,0.12,0.321388,4.114506,0.318157,108
FALSE,5,14,TRUE,TRUE,'Private room',1,1,2,31,32,TRUE,30,60,90,90,2,1,0,4.5,4,5,5,5,3.5,5,TRUE,3,0,3,0,0.12,1.519408,2.873866,6.078701,44
FALSE,1,1,TRUE,TRUE,'Entire home/apt',4,2,2,31,1125,TRUE,0,0,0,257,1,1,0,5,5,5,5,5,5,5,FALSE,1,1,0,0,0.12,0.132102,5.137372,1.33928,128
FALSE,35,158,TRUE,TRUE,'Entire home/apt',5,3,3,31,1125,TRUE,0,0,0,0,1,1,0,5,5,5,5,5,5,5,FALSE,32,32,0,0,0.12,0.634657,3.992766,1.108135,316
FALSE,35,158,TRUE,TRUE,'Entire home/apt',6,3,4,31,1125,TRUE,8,8,8,82,1,1,0,5,5,5,5,5,5,5,TRUE,32,32,0,0,0.12,0.268646,7.585454,4.154411,267
FALSE,4,7,TRUE,FALSE,'Entire home/apt',10,3,2,32,360,TRUE,0,0,0,117,1,1,0,4,5,5,5,5,5,5,TRUE,1,1,0,0,0.12,0.422957,5.560078,1.887806,226
FALSE,1,2,TRUE,FALSE,'Entire home/apt',6,3,3,31,365,TRUE,30,60,90,364,1,1,0,2,2,2,3,3,4,3,FALSE,1,1,0,0,0.12,0.304265,5.632531,1.908951,110
TRUE,3,7,TRUE,TRUE,'Entire home/apt',4,1,2,31,1125,TRUE,0,0,0,80,1,1,0,5,5,5,5,5,5,5,FALSE,3,1,0,2,0.12,1.080011,5.819231,2.700338,55
FALSE,1,3,TRUE,FALSE,'Private room',2,1,1,31,365,TRUE,0,0,0,0,1,1,0,5,5,5,5,5,5,5,FALSE,1,0,1,0,0.12,1.036268,4.32681,2.767697,188
FALSE,1,2,TRUE,TRUE,'Private room',2,1,1,31,90,TRUE,10,40,70,345,1,1,0,5,5,5,5,5,5,5,TRUE,1,0,1,0,0.12,0.394369,5.624521,1.837301,70
FALSE,1,1,TRUE,TRUE,'Private room',2,1,1,1,1125,TRUE,0,0,0,256,10,0,0,5,4.9,5,5,5,4.9,5,FALSE,1,0,1,0,0.12,0.914107,8.889117,5.229544,60
FALSE,1,1,TRUE,TRUE,'Private room',2,1,1,31,1125,TRUE,30,60,90,180,5,0,0,3.2,3.6,3,3.4,4,3,3,FALSE,1,0,1,0,0.12,2.050016,3.309967,6.636722,32
FALSE,2,2,TRUE,TRUE,'Entire home/apt',2,1,1,60,1125,TRUE,0,0,4,279,6,0,0,4.5,4.83,4.67,4.33,4.83,4.83,4.33,FALSE,2,2,0,0,0.12,0.168389,3.353634,2.025783,68
FALSE,7,11,TRUE,TRUE,'Entire home/apt',2,1,1,70,1125,TRUE,16,16,16,242,8,1,0,4.88,5,4.5,4.88,4.75,4.75,4.25,FALSE,4,4,0,0,0.12,0.141228,3.362921,1.969553,72
TRUE,4,4,TRUE,TRUE,'Private room',3,1,2,1,1125,TRUE,3,10,23,298,443,9,0,4.82,4.88,4.91,4.94,4.9,4.55,4.74,FALSE,4,0,4,0,2.73,0.349523,4.48759,1.745074,75
FALSE,25,30,TRUE,TRUE,'Private room',2,1,1,1,365,TRUE,11,37,67,342,6,6,0,4.5,4.5,4.67,4.5,4.5,4.5,4.83,TRUE,11,4,6,1,2.73,1.028011,4.748084,2.823544,41
FALSE,120,175,TRUE,TRUE,'Entire home/apt',4,2,2,15,365,TRUE,25,51,81,355,5,5,2,4.8,4.8,5,4.8,5,4.8,5,FALSE,15,15,0,0,2.73,0.106767,4.391573,0.898817,234
FALSE,1,1,TRUE,TRUE,'Entire home/apt',2,?,1,20,90,TRUE,4,34,64,338,3,3,2,4.33,4.67,5,4,4.33,4.67,4.33,TRUE,1,1,0,0,2.73,0.410428,5.071622,1.27735,120
FALSE,1,1,TRUE,TRUE,'Entire home/apt',5,2,3,2,365,TRUE,21,49,79,347,3,3,2,5,5,4.67,5,5,4.67,5,FALSE,1,1,0,0,2.73,0.957649,4.085012,2.657723,206
FALSE,1,1,TRUE,FALSE,'Entire home/apt',4,2,3,2,30,TRUE,8,22,40,100,6,6,1,4.83,4.83,4.83,5,5,4.67,4.83,TRUE,1,1,0,0,2.73,1.208585,7.126495,3.352721,111
TRUE,2,2,TRUE,TRUE,'Entire home/apt',4,1,1,2,365,TRUE,14,39,69,248,3,3,2,5,5,5,5,5,5,4.67,TRUE,1,1,0,0,2.73,0.597446,6.472779,2.78428,120
TRUE,4,10,TRUE,TRUE,'Entire home/apt',2,1,1,31,1125,TRUE,30,60,90,90,69,22,0,4.78,4.85,4.69,4.51,4.66,4.96,4.67,FALSE,1,1,0,0,0.59,0.199721,3.427924,1.230804,250
FALSE,1,1,TRUE,TRUE,'Entire home/apt',3,1,2,1,1125,TRUE,0,30,60,240,43,12,0,4.57,4.83,4.86,4.86,4.95,4.71,4.64,FALSE,1,1,0,0,0.59,0.395398,7.349521,3.886666,107
FALSE,2,2,TRUE,TRUE,'Entire home/apt',3,?,2,31,1125,TRUE,0,0,1,110,53,2,1,4.3,4.44,4.4,4.56,4.66,4.42,4.46,TRUE,2,2,0,0,0.59,0.999921,7.874756,4.075485,60
TRUE,1,2,TRUE,TRUE,'Entire home/apt',4,1,1,31,1125,TRUE,0,0,1,276,24,6,0,4.83,4.92,4.79,4.96,4.96,4.83,4.88,FALSE,1,1,0,0,0.59,1.230388,7.397415,3.626247,75
FALSE,14,44,TRUE,TRUE,'Entire home/apt',4,2,2,31,765,TRUE,0,14,44,133,50,3,0,4.5,4.68,4.2,4.84,4.78,4.96,4.45,TRUE,12,2,10,0,0.59,0.358904,4.298081,0.531682,200
