neighbourhood_group,neighbourhood,latitude,longitude,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
NA,"Shaw, Logan Circle",38.90638,-77.01587,Entire home/apt,140,2.26,8,271,23,80,0.330178271,3.930356215,1.149631159,450
NA,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.905,-77.03016,Entire home/apt,4,0.07,4,0,0,1830,0.315889009,3.67322459,0.398083137,165
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91301,-77.00682,Private room,1,0.02,1,0,0,1782,0.46215063,4.528316389,1.690587306,50
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91508,-77.01158,Entire home/apt,8,0.14,2,0,0,949,0.574873348,4.573604217,1.485550494,400
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92126,-77.03461,Entire home/apt,7,0.11,1,0,0,1766,0.468072594,4.7750157,0.978164158,150
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91972,-77.01191,Entire home/apt,39,0.64,1,208,19,51,0.695312215,4.87359037,1.614937575,354
NA,"Brightwood Park, Crestwood, Petworth",38.94683,-77.03171,Private room,118,1.86,1,341,9,116,0.788872195,6.544538943,2.749113858,40
NA,"Capitol Hill, Lincoln Park",38.87975,-76.9876,Entire home/apt,10,0.17,10,303,4,80,0.155538644,3.334926824,3.291368252,500
NA,"Capitol Hill, Lincoln Park",38.88611,-76.99037,Entire home/apt,36,0.65,1,0,0,607,0.324091785,3.490600244,2.927792594,145
NA,"Capitol Hill, Lincoln Park",38.88763,-76.98048,Entire home/apt,77,1.25,1,106,13,40,0.195463065,3.971129892,3.363490525,126
NA,"Georgetown, Burleith/Hillandale",38.90673,-77.06816,Entire home/apt,213,3.48,1,12,34,69,0.75633996,4.120121815,1.707104066,536
NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92383,-77.04273,Private room,6,0.1,1,0,0,950,0.536219678,4.956992982,1.190803825,26
NA,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.9022,-77.01132,Private room,325,5.3,2,0,53,68,0.37241898,3.74490162,1.438647456,60
NA,"Capitol Hill, Lincoln Park",38.89184,-76.99908,Entire home/apt,148,2.44,5,129,39,58,0.525081842,3.458990537,2.321070914,125
NA,"Union Station, Stanton Park, Kingman Park",38.89346,-76.99714,Entire home/apt,91,1.49,5,286,20,53,0.612418949,3.612204886,2.368883114,187
NA,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.87157,-76.97075,Entire home/apt,81,1.34,1,162,0,766,1.047108922,3.894363566,4.36910766,232
NA,"Union Station, Stanton Park, Kingman Park",38.89706,-76.99897,Private room,138,3.04,1,89,44,37,0.46380544,3.754328001,2.185972093,60
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92655,-77.03313,Entire home/apt,11,0.19,1,360,3,117,0.094770038,5.143098503,1.350924295,300
NA,"Shaw, Logan Circle",38.91382,-77.02631,Entire home/apt,503,8.13,1,139,95,42,0.229483988,4.303824321,0.736871358,146
NA,"Capitol Hill, Lincoln Park",38.88836,-76.99037,Entire home/apt,268,4.45,1,117,55,39,0.401055154,3.59680968,2.853809617,157
NA,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.90151,-76.93816,Entire home/apt,65,1.07,1,336,21,37,0.487133952,6.415562482,5.405480846,89
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93737,-77.03686,Entire home/apt,4,0.07,1,0,0,1755,0.697954749,5.883807482,2.081731146,60
NA,"Dupont Circle, Connecticut Avenue/K Street",38.90747,-77.04633,Private room,5,0.12,2,0,1,152,0.216845362,3.849497555,0.515214937,157
NA,"Brightwood Park, Crestwood, Petworth",38.95764,-77.02244,Entire home/apt,117,1.91,2,17,15,102,1.174718898,7.329751248,3.568787083,199
NA,"Dupont Circle, Connecticut Avenue/K Street",38.91308,-77.047,Private room,4,0.07,1,0,0,1847,0.309423992,4.238168587,0.684628987,62
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91084,-77.00718,Entire home/apt,228,3.82,2,258,62,38,0.347637841,4.382192577,1.642033977,272
NA,"Dupont Circle, Connecticut Avenue/K Street",38.90698,-77.04627,Entire home/apt,202,3.26,4,337,35,38,0.238953857,3.815540941,0.511827157,215
NA,"West End, Foggy Bottom, GWU",38.90773,-77.0493,Entire home/apt,305,5.11,8,355,64,57,0.346326966,3.890398996,0.678026936,125
NA,"Shaw, Logan Circle",38.90863,-77.02253,Entire home/apt,66,1.11,1,0,0,1305,0.154466314,3.987508756,0.790781934,350
NA,"Shaw, Logan Circle",38.90719,-77.01581,Private room,294,4.82,4,0,0,423,0.337367748,3.98463231,1.151514207,75
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93224,-77.03706,Private room,52,0.85,2,0,0,948,0.390448918,5.529769378,1.727782086,50
NA,"Near Southeast, Navy Yard",38.877,-76.98814,Private room,14,0.23,33,363,0,1226,0.32812404,3.205196916,3.380834576,85
NA,"Ivy City, Arboretum, Trinidad, Carver Langston",38.9013,-76.98399,Entire home/apt,2,0.03,1,0,0,1788,1.074427446,4.48593911,2.91742913,150
NA,"West End, Foggy Bottom, GWU",38.90382,-77.05144,Private room,0,NA,1,0,0,-1,0.22401979,3.646714792,0.827431794,50
NA,"Takoma, Brightwood, Manor Park",38.9671,-77.02659,Private room,6,0.1,5,256,0,842,0.771604062,7.958140307,4.171258958,65
NA,"Union Station, Stanton Park, Kingman Park",38.89292,-76.98007,Entire home/apt,256,4.35,1,6,28,39,0.457875735,4.222933941,3.255603725,115
NA,"Georgetown, Burleith/Hillandale",38.90686,-77.06202,Private room,241,3.9,2,90,38,108,0.768897635,4.005032824,1.371752624,102
NA,"Capitol Hill, Lincoln Park",38.88588,-77.00575,Entire home/apt,102,1.7,1,0,0,997,0.064997294,2.911241315,2.248724748,400
NA,"Georgetown, Burleith/Hillandale",38.90573,-77.0601,Private room,221,3.6,2,89,46,95,0.63848186,3.897397306,1.270774411,102
NA,"Union Station, Stanton Park, Kingman Park",38.89924,-76.99838,Entire home/apt,122,2.07,4,339,14,142,0.503661424,3.897198118,2.173725182,161
NA,"Capitol Hill, Lincoln Park",38.87726,-76.98744,Private room,13,0.22,33,362,0,1144,0.296387623,3.247082936,3.40008297,120
NA,"Capitol Hill, Lincoln Park",38.87909,-76.98778,Hotel room,66,1.11,33,357,23,63,0.195392493,3.300965835,3.309815085,26
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91297,-77.01579,Entire home/apt,185,3.04,1,89,25,68,0.336250307,4.367031064,1.219429411,101
NA,"Howard University, Le Droit Park, Cardozo/Shaw",38.92149,-77.01564,Entire home/apt,7,0.12,1,0,0,1751,0.649967822,4.937048718,1.523044016,99
NA,"Capitol Hill, Lincoln Park",38.8792,-76.98784,Hotel room,62,1.04,33,348,23,49,0.191777445,3.30255301,3.302715415,26
NA,"Union Station, Stanton Park, Kingman Park",38.9001,-76.99818,Entire home/apt,136,2.31,4,339,30,106,0.529242332,3.952809564,2.170131692,170
NA,"Capitol Hill, Lincoln Park",38.88579,-76.99464,Entire home/apt,12,0.65,32,240,7,119,0.109304195,3.306145766,2.739792336,50
NA,"Union Station, Stanton Park, Kingman Park",38.89875,-76.99699,Entire home/apt,71,1.21,4,365,11,136,0.573261477,3.911643627,2.255740033,170
NA,"Capitol Hill, Lincoln Park",38.8775,-76.98734,Shared room,31,0.52,33,358,12,60,0.278971586,3.2605696,3.394397826,25
NA,"West End, Foggy Bottom, GWU",38.90749,-77.04734,Entire home/apt,25,0.42,32,105,0,422,0.25923382,3.85800551,0.570375105,183
NA,"Brookland, Brentwood, Langdon",38.92213,-76.99104,Entire home/apt,110,2,1,115,24,38,0.277360621,5.462464196,2.707590419,137
NA,"West End, Foggy Bottom, GWU",38.90719,-77.04937,Entire home/apt,174,2.95,6,70,36,46,0.365302843,3.854271284,0.68086235,158
NA,"Union Station, Stanton Park, Kingman Park",38.89914,-76.99614,Entire home/apt,118,1.97,4,332,16,158,0.622875113,3.960224027,2.293932027,161
NA,"Howard University, Le Droit Park, Cardozo/Shaw",38.92006,-77.02991,Entire home/apt,0,NA,1,0,0,-1,0.248243272,4.708475494,0.965935842,100
NA,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313,Entire home/apt,0,NA,29,356,0,-1,0.102244457,3.3085761,0.543242491,294
NA,"Brightwood Park, Crestwood, Petworth",38.93594,-77.04564,Entire home/apt,16,0.28,1,0,0,1610,0.68209189,5.801193611,2.039669243,94
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92092,-77.03648,Private room,0,NA,1,0,0,-1,0.523743534,4.749044891,0.946957707,50
NA,"West End, Foggy Bottom, GWU",38.89726,-77.04601,Entire home/apt,6,0.13,5,120,1,63,0.332994806,3.148923821,0.84724062,80
NA,"Near Southeast, Navy Yard",38.87715,-76.98889,Shared room,31,0.52,33,340,12,114,0.339360024,3.176323338,3.342252198,25
NA,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.9122,-77.08421,Entire home/apt,69,1.12,1,0,0,1189,1.33370206,4.862756168,2.60606311,90
NA,"Near Southeast, Navy Yard",38.87707,-76.9876,Hotel room,21,0.35,33,358,8,60,0.311774831,3.232697494,3.401146252,25
NA,"Capitol Hill, Lincoln Park",38.87918,-76.98947,Shared room,27,0.45,33,350,17,50,0.260500388,3.228789043,3.231778205,29
NA,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.033127,Entire home/apt,0,NA,11,356,0,-1,0.102288879,3.308588449,0.543304578,342
NA,"Capitol Hill, Lincoln Park",38.87909,-76.98961,Hotel room,74,1.22,33,335,33,54,0.270305961,3.218961384,3.229382131,95
NA,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.033127,Entire home/apt,1,0.07,11,356,0,479,0.102288879,3.308588449,0.543304578,342
NA,"Dupont Circle, Connecticut Avenue/K Street",38.91523,-77.04346,Entire home/apt,5,0.08,4,0,0,1624,0.388073568,4.367320166,0.659760268,110
NA,"Shaw, Logan Circle",38.90606,-77.02992,Entire home/apt,5,0.08,4,0,0,1471,0.3836892,3.747375323,0.389140981,169
NA,"Union Station, Stanton Park, Kingman Park",38.8935,-76.99832,Private room,104,1.75,3,204,18,66,0.577621349,3.575275601,2.308852426,47
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91959,-77.0125,Entire home/apt,60,0.99,1,245,13,74,0.664580377,4.855778465,1.582951208,92
NA,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90097,-76.97652,Entire home/apt,32,0.62,4,344,1,61,0.983959611,4.746361896,3.32465571,119
NA,"Brightwood Park, Crestwood, Petworth",38.95546,-77.02257,Private room,0,NA,1,0,0,-1,1.139399502,7.179506187,3.42062543,95
NA,"Capitol Hill, Lincoln Park",38.89,-76.99119,Entire home/apt,2,0.04,1,0,0,1676,0.454268514,3.64509288,2.763574165,80
NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92446,-77.0421,Entire home/apt,20,0.34,8,144,3,49,0.565179302,4.998624336,1.224315584,97
NA,"Howard University, Le Droit Park, Cardozo/Shaw",38.91648,-77.02868,Entire home/apt,260,4.34,1,176,67,43,0.07417618,4.469418931,0.781947513,98
NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91679,-77.04417,Entire home/apt,472,7.85,2,118,83,36,0.497409994,4.477580153,0.771636621,140
NA,"Howard University, Le Droit Park, Cardozo/Shaw",38.91726,-77.02594,Entire home/apt,199,3.68,1,246,68,70,0.086805202,4.541635458,0.916478068,99
NA,"Cathedral Heights, McLean Gardens, Glover Park",38.92045,-77.0748,Entire home/apt,175,3.03,1,26,40,65,1.263228457,5.132838678,2.262304378,82
NA,"Union Station, Stanton Park, Kingman Park",38.90007,-76.99026,Entire home/apt,191,3.16,2,338,36,133,0.846065024,4.202861935,2.593630819,226
NA,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.8711,-77.01347,Private room,228,3.87,14,152,48,53,0.431128107,1.862392412,2.800202673,91
NA,"Ivy City, Arboretum, Trinidad, Carver Langston",38.89871,-76.97101,Entire home/apt,150,2.53,5,365,5,170,0.891651984,4.858077642,3.64497681,120
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91114,-77.01358,Entire home/apt,55,1.12,1,0,18,38,0.482939846,4.281290892,1.301971369,299
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93211,-77.02683,Entire home/apt,1,0.02,1,0,0,1855,0.411303162,5.552483075,1.804589509,307
NA,"Dupont Circle, Connecticut Avenue/K Street",38.90982,-77.04691,Entire home/apt,68,1.11,1,272,7,80,0.191308414,4.014321731,0.575668254,115
NA,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.94348,-77.09491,Entire home/apt,83,1.38,1,23,10,44,0.915141546,7.036626455,4.03716382,159
NA,"Union Station, Stanton Park, Kingman Park",38.89229,-76.99726,Entire home/apt,76,1.27,5,134,16,72,0.532971168,3.544684152,2.396412697,135
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9326,-77.03523,Entire home/apt,247,4.15,1,50,71,45,0.359100815,5.556132995,1.754970347,85
NA,"Friendship Heights, American University Park, Tenleytown",38.9453,-77.08925,Entire home/apt,221,3.68,1,315,51,38,0.581827256,7.019847062,3.883432923,127
NA,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9567,-76.99628,Entire home/apt,50,0.85,1,110,6,54,0.465239588,7.563375496,4.072408101,85
NA,"West End, Foggy Bottom, GWU",38.89981,-77.05298,Entire home/apt,185,3.18,1,328,39,66,0.159851772,3.396101878,1.015300949,190
NA,"Brightwood Park, Crestwood, Petworth",38.939182,-77.023918,Entire home/apt,166,2.82,1,250,34,41,0.122572856,6.055574003,2.317801263,126
NA,"Capitol Hill, Lincoln Park",38.8772,-76.98764,Hotel room,37,0.61,33,85,12,51,0.304285823,3.235642117,3.393939694,29
NA,"Brightwood Park, Crestwood, Petworth",38.94837,-77.01926,Entire home/apt,0,NA,1,0,0,-1,0.78815489,6.718474386,2.999565518,65
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90684,-77.01213,Entire home/apt,93,1.58,2,232,30,57,0.497418993,4.026770609,1.352670096,98
NA,"Shaw, Logan Circle",38.90576,-77.02533,Entire home/apt,137,2.31,1,6,30,67,0.192261113,3.763608518,0.639488151,230
NA,"Brightwood Park, Crestwood, Petworth",38.9561,-77.02281,Entire home/apt,13,0.21,1,0,0,1823,1.162525589,7.221888183,3.460692827,99
NA,"Hawthorne, Barnaby Woods, Chevy Chase",38.98157,-77.05661,Private room,5,0.09,1,0,0,1665,1.637903264,8.992915944,5.243160631,199
NA,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90522,-76.98539,Entire home/apt,85,1.54,1,0,5,112,0.970760615,4.646589886,2.815762335,175
NA,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9702,-77.01131,Private room,14,0.24,2,0,0,1505,0.552832221,8.275280945,4.566028467,69
NA,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.97184,-77.01228,Private room,20,0.34,2,0,0,1437,0.43541447,8.37780019,4.658330244,66
NA,"Capitol Hill, Lincoln Park",38.87732,-76.98804,Hotel room,79,1.31,33,363,5,74,0.305929965,3.22168021,3.371588859,29
NA,"Capitol Hill, Lincoln Park",38.87896,-76.98772,Hotel room,60,1.01,33,337,10,64,0.200381533,3.298623056,3.317730472,25
NA,"Capitol Hill, Lincoln Park",38.87718,-76.98758,Hotel room,32,0.54,33,355,9,158,0.304321158,3.23767198,3.397377623,25
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91671,-77.0098,Entire home/apt,21,0.35,8,292,5,115,0.697860539,4.711117934,1.618634928,2499
NA,"Capitol Hill, Lincoln Park",38.87871,-76.98767,Shared room,50,0.82,33,351,9,62,0.212830253,3.291227399,3.330094168,25
NA,"Capitol Hill, Lincoln Park",38.87925,-76.98816,Hotel room,30,0.5,33,353,14,76,0.201442084,3.290129417,3.286534928,25
NA,"Capitol Hill, Lincoln Park",38.8792,-76.98741,Hotel room,15,0.25,33,339,3,132,0.176986835,3.321931796,3.3217857,25
NA,"Shaw, Logan Circle",38.9109,-77.03088,Entire home/apt,146,2.47,1,0,0,955,0.460264961,4.074237448,0.416192889,150
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92959,-77.0201,Entire home/apt,58,1.06,1,0,21,58,0.572088875,5.432449403,1.796705181,86
NA,"Union Station, Stanton Park, Kingman Park",38.8952,-76.98829,Entire home/apt,73,1.22,1,0,0,1528,0.842191142,4.015127239,2.780263056,250
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91692,-77.00879,Entire home/apt,4,0.07,8,361,2,89,0.751934957,4.742897092,1.67494511,999
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.929,-77.03892,Private room,42,0.7,7,0,10,129,0.356569397,5.306520161,1.508238033,47
NA,"West End, Foggy Bottom, GWU",38.90042,-77.05129,Entire home/apt,187,3.09,1,150,31,51,0.058564151,3.415686949,0.914423651,202
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93286,-77.03822,Private room,0,NA,1,0,0,-1,0.464107658,5.572513166,1.772006282,160
NA,"Shaw, Logan Circle",38.91185574,-77.02932919,Entire home/apt,62,1.12,1,139,5,36,0.369440884,4.148382213,0.523517591,192
NA,"Shaw, Logan Circle",38.91208,-77.02798,Entire home/apt,118,2,1,0,0,673,0.341198807,4.172488094,0.59209841,109
NA,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91029,-77.07944,Entire home/apt,10,0.19,3,0,0,505,1.091267069,4.616894429,2.332449242,265
NA,"Howard University, Le Droit Park, Cardozo/Shaw",38.91561,-77.03228,Entire home/apt,7,0.14,1,0,0,1200,0.278389491,4.392159836,0.632746044,375
NA,"Brightwood Park, Crestwood, Petworth",38.94295,-77.02035,Entire home/apt,12,0.2,1,106,4,80,0.416306084,6.339799583,2.627052101,55
NA,"Georgetown, Burleith/Hillandale",38.90975,-77.07907,Private room,5,0.09,3,0,0,1280,1.048951763,4.574518238,2.309195047,85
NA,"Capitol Hill, Lincoln Park",38.87777,-76.98958,Shared room,9,0.15,33,362,2,52,0.328697136,3.168497049,3.286180405,29
NA,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90564,-76.98327,Entire home/apt,36,0.65,1,192,0,1074,1.082718663,4.74116465,2.930175745,258
NA,"Dupont Circle, Connecticut Avenue/K Street",38.90966,-77.03465,Private room,72,1.44,1,0,0,948,0.478673673,3.975122891,0.209532313,99
NA,"Shaw, Logan Circle",38.91128,-77.03027,Entire home/apt,0,NA,1,0,0,-1,0.423358022,4.103505899,0.458580486,1000
NA,"Union Station, Stanton Park, Kingman Park",38.90231,-76.9958,Entire home/apt,214,3.59,1,44,55,39,0.511193324,4.151589555,2.269284202,127
NA,"Union Station, Stanton Park, Kingman Park",38.90268,-76.99216,Entire home/apt,118,2.01,1,2,35,66,0.664541405,4.285093667,2.462632842,126
NA,"Shaw, Logan Circle",38.91255,-77.02197,Private room,38,0.62,3,0,6,105,0.064564007,4.258522494,0.89486697,82
NA,"Dupont Circle, Connecticut Avenue/K Street",38.90627,-77.04464,Entire home/apt,3,0.05,4,0,0,1816,0.2396695,3.756904725,0.42744816,175
NA,"Capitol Hill, Lincoln Park",38.88073,-76.9819,Entire home/apt,256,5.06,1,90,57,141,0.199944705,3.630942395,3.514805193,129
NA,"Dupont Circle, Connecticut Avenue/K Street",38.91533,-77.03948,Entire home/apt,83,1.41,8,72,47,62,0.449664419,4.363956005,0.578386665,103
NA,"Capitol Hill, Lincoln Park",38.87884,-76.98915,Hotel room,29,0.47,33,338,10,68,0.260589198,3.229594047,3.259824214,26
NA,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.8711,-77.01347,Private room,304,5.15,14,170,34,37,0.431128107,1.862392412,2.800202673,90
NA,"West End, Foggy Bottom, GWU",38.90166,-77.05084,Entire home/apt,107,2.02,6,40,6,353,0.072593125,3.49412345,0.851723224,198
NA,"Capitol Hill, Lincoln Park",38.87726,-76.98803,Hotel room,15,0.25,33,361,2,62,0.309380533,3.219905718,3.374553764,29
NA,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93586,-77.05811,Entire home/apt,4,0.08,1,0,0,1321,0.075247285,5.885927962,2.291676529,80
NA,"Capitol Hill, Lincoln Park",38.89004,-76.99218,Entire home/apt,2,0.04,1,262,0,1038,0.427694518,3.609646823,2.713652191,100
NA,"Capitol Hill, Lincoln Park",38.88156,-76.98692,Private room,18,0.31,1,0,0,1530,0.080181737,3.437785312,3.252209399,60
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92455,-77.03025,Entire home/apt,255,4.25,1,54,49,37,0.259894236,5.015558743,1.251000588,113
NA,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.8993,-77.02031,Entire home/apt,6,0.1,4,0,0,1806,0.110610825,3.3923405,1.057181637,240
NA,"Georgetown, Burleith/Hillandale",38.9106,-77.06636,Entire home/apt,79,1.32,79,162,25,44,1.038471758,4.329267447,1.62553403,144
NA,"Capitol Hill, Lincoln Park",38.88922,-76.99256,Entire home/apt,184,3.12,1,45,68,45,0.368307838,3.554408234,2.720331721,138
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9305,-77.01925,Private room,6,0.1,1,0,0,1752,0.531399406,5.502566355,1.874405961,94
NA,"Dupont Circle, Connecticut Avenue/K Street",38.91516,-77.03645,Entire home/apt,144,2.45,1,60,0,436,0.505166674,4.35167267,0.549789289,120
NA,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90048,-77.01628,Entire home/apt,2,0.03,1,0,0,1757,0.302993749,3.537108248,1.217596759,79
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91646,-77.00751,Entire home/apt,31,0.51,1,168,11,107,0.695656378,4.736840378,1.727219487,120
NA,"Takoma, Brightwood, Manor Park",38.96359,-77.01617,Entire home/apt,70,1.27,1,57,21,41,0.869195936,7.782083924,4.052194857,82
NA,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89853,-77.02038,Entire home/apt,95,1.64,4,2,15,94,0.085144605,3.340282507,1.082344077,315
NA,"Shaw, Logan Circle",38.90987,-77.02368,Shared room,48,0.8,15,118,20,122,0.255209658,4.058935776,0.744951848,54
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91715,-77.00186,Entire home/apt,0,NA,1,0,0,-1,0.421394016,4.896412878,2.032639644,150
NA,"Shaw, Logan Circle",38.90987,-77.02368,Shared room,72,1.2,15,119,1,142,0.255209658,4.058935776,0.744951848,54
NA,"Takoma, Brightwood, Manor Park",38.96444,-77.01746,Entire home/apt,246,4.26,1,334,70,44,0.804555075,7.829816408,4.089699879,81
NA,"Union Station, Stanton Park, Kingman Park",38.89475,-76.97904,Private room,2,0.03,1,0,0,1524,0.564406266,4.349422415,3.273871338,150
NA,"West End, Foggy Bottom, GWU",38.903,-77.05091,Private room,0,NA,1,0,0,-1,0.161994305,3.585429872,0.818001481,97
NA,"Capitol Hill, Lincoln Park",38.87753,-76.98328,Entire home/apt,69,1.25,1,194,1,78,0.285119597,3.450609697,3.572435711,57
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92566,-77.03135,Entire home/apt,1,0.02,1,0,0,1794,0.164530791,5.0874567,1.309290177,100
NA,"North Michigan Park, Michigan Park, University Heights",38.94672,-76.99333,Private room,54,0.9,3,364,8,44,0.600291659,6.963704124,3.618721379,75
NA,"North Cleveland Park, Forest Hills, Van Ness",38.94302,-77.06159,Entire home/apt,0,NA,1,0,0,-1,0.078328362,6.407684634,2.815317248,150
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9119,-77.01638,Entire home/apt,27,0.46,12,106,3,154,0.321331188,4.287214566,1.166382752,125
NA,"Ivy City, Arboretum, Trinidad, Carver Langston",38.9041,-76.97904,Entire home/apt,40,0.69,1,0,0,1382,1.20414586,4.809454566,3.166389086,70
NA,"Brightwood Park, Crestwood, Petworth",38.94094,-77.0363,Entire home/apt,149,2.57,1,354,16,121,0.741274696,6.130434541,2.328290485,125
NA,"Shaw, Logan Circle",38.91088,-77.02675,Entire home/apt,52,0.88,4,206,5,141,0.31940601,4.099625419,0.609591603,120
NA,"Union Station, Stanton Park, Kingman Park",38.90546,-77.00552,Entire home/apt,0,NA,1,0,0,-1,0.173889167,4.079524188,1.717549351,100
NA,"Capitol Hill, Lincoln Park",38.88663,-76.98857,Entire home/apt,134,2.34,2,20,53,44,0.406040388,3.587695161,2.996307408,348
NA,"Ivy City, Arboretum, Trinidad, Carver Langston",38.9159,-76.9836,Entire home/apt,7,0.12,1,0,0,1739,0.762253633,5.301290983,2.971448758,32
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92052,-77.03582,Private room,0,NA,1,0,0,-1,0.51488153,4.722092245,0.920969745,60
NA,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90478,-76.98926,Entire home/apt,360,6.15,1,262,84,50,0.767231296,4.495205332,2.606498116,118
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91849,-77.01323,Entire home/apt,26,0.43,1,345,5,89,0.586594974,4.7717251,1.509008885,119
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93692,-77.03263,Private room,296,5.1,4,353,54,44,0.501804213,5.859115327,2.063890417,68
NA,"Georgetown, Burleith/Hillandale",38.90955,-77.05489,Entire home/apt,9,0.16,5,0,1,291,0.626456763,4.073686421,0.995547861,600
NA,"Brightwood Park, Crestwood, Petworth",38.94878,-77.02984,Entire home/apt,173,3.36,2,168,29,79,0.856275296,6.684699541,2.894800081,141
NA,"Union Station, Stanton Park, Kingman Park",38.9024,-76.99078,Entire home/apt,7,1.39,1,120,7,121,0.740693069,4.313687802,2.539839155,296
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91418,-77.01133,Entire home/apt,55,1.59,1,180,24,44,0.579874118,4.518971314,1.476859663,80
NA,"Capitol Hill, Lincoln Park",38.88537,-76.98029,Entire home/apt,27,0.49,2,311,7,78,0.197842416,3.885166615,3.438393406,239
NA,"West End, Foggy Bottom, GWU",38.90124,-77.05086,Entire home/apt,275,4.58,10,142,44,52,0.048594796,3.465992591,0.866078269,216
NA,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92476,-77.10143,Entire home/apt,160,2.8,4,340,44,52,2.046235149,6.10284713,3.725853211,91
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92105,-77.03344,Entire home/apt,16,0.27,1,0,0,1622,0.427726961,4.763224405,0.974143818,109
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93563,-77.0314,Private room,93,1.62,4,343,24,44,0.451033613,5.773815785,1.984522431,76
