neighbourhood_group,neighbourhood,latitude,longitude,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
NA,"Brookland, Brentwood, Langdon",38.93268,-76.98863,Entire home/apt,41,0.41,1,64,0,405,0.324633896,6.171804861,3.168133136,200
NA,"Brightwood Park, Crestwood, Petworth",38.94771,-77.02368,Entire home/apt,157,1.17,1,160,25,52,0.708561913,6.641334484,2.886884081,272
NA,"Takoma, Brightwood, Manor Park",38.96165,-77.01858,Private room,0,NA,2,365,0,-1,0.996347377,7.630676176,3.887926025,399
NA,"Shaw, Logan Circle",38.91054,-77.02149,Private room,23,0.2,4,364,0,2163,0.204496098,4.128314314,0.872377334,72
NA,"Brightwood Park, Crestwood, Petworth",38.9413,-77.03284,Private room,13,0.11,1,126,1,72,0.577031433,6.160510526,2.363319415,50
NA,"Takoma, Brightwood, Manor Park",38.96923,-77.02041,Entire home/apt,7,0.06,1,359,1,201,0.488517691,8.136899289,4.373743995,125
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.93395,-77.01625,Private room,153,1.14,1,138,20,81,0.461714184,5.767773058,2.162874653,47
NA,"Brightwood Park, Crestwood, Petworth",38.95528,-77.03463,Private room,9,0.06,3,365,0,1521,1.373533797,7.121389147,3.319834419,53
NA,"Friendship Heights, American University Park, Tenleytown",38.9604,-77.08253,Private room,378,3.28,1,313,39,37,0.148620532,7.863419777,4.436421602,92
NA,"Takoma, Brightwood, Manor Park",38.97474,-77.01997,Entire home/apt,220,1.64,1,358,30,107,0.134879676,8.517333564,4.7510523,90
NA,"Dupont Circle, Connecticut Avenue/K Street",38.9135,-77.04356,Entire home/apt,93,0.81,4,298,15,94,0.268810322,4.248677,0.566740885,595
NA,"Union Station, Stanton Park, Kingman Park",38.90053,-76.99133,Entire home/apt,15,0.1,1,365,0,2288,0.779977605,4.192368109,2.530328583,645
NA,"Union Station, Stanton Park, Kingman Park",38.89455,-76.9911,Entire home/apt,56,0.7,4,174,1,382,0.734972901,3.879725275,2.648635042,500
NA,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9665,-77.00645,Entire home/apt,11,0.07,2,260,1,67,0.920674141,8.075868441,4.41657649,65
NA,"Congress Heights, Bellevue, Washington Highlands",38.82768,-76.99624,Private room,116,0.87,2,155,2,118,1.310731006,2.821848005,5.918987411,33
NA,"Shaw, Logan Circle",38.91007,-77.03316,Entire home/apt,389,3.43,1,340,59,38,0.560928113,4.007593455,0.284455892,160
NA,"Brightwood Park, Crestwood, Petworth",38.95132,-77.02831,Entire home/apt,50,0.55,1,134,0,1921,0.993448492,6.865338142,3.08019721,70
NA,"Brightwood Park, Crestwood, Petworth",38.95777,-77.02146,Entire home/apt,31,0.23,1,321,17,144,1.127757562,7.344929437,3.589723292,103
NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,Private room,15,0.11,4,314,0,959,0.573089336,4.546190773,0.875610951,209
NA,"Brightwood Park, Crestwood, Petworth",38.95152,-77.021,Entire home/apt,324,2.9,2,0,4,72,0.980619343,6.920292091,3.178918109,229
NA,"Shaw, Logan Circle",38.9077,-77.02431,Entire home/apt,196,1.34,3,272,10,69,0.156778966,3.905409571,0.6882792,85
NA,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,11,0.08,4,360,5,92,0.82141384,9.420802883,5.626730867,90
NA,"Dupont Circle, Connecticut Avenue/K Street",38.90946774,-77.0451262,Entire home/apt,402,3.54,4,139,41,41,0.093826625,3.979103467,0.475626241,143
NA,"Union Station, Stanton Park, Kingman Park",38.89864,-76.987747,Private room,94,0.88,1,169,36,38,1.007635074,4.213097725,2.74797927,145
NA,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96885,-77.00968,Private room,13,0.24,2,206,5,66,0.681648646,8.199705875,4.506003321,22
