host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
t,1,5,t,t,Logan Square,41.93142,-87.69989,Entire home/apt,3,2,3,3,90,t,13,36,60,335,273,9,1,4.87,4.95,4.92,4.93,4.95,4.82,4.84,f,1,1,0,0,2.19,0.443446136,10.43566152,5.308568584,182
t,3,6,t,t,Grand Boulevard,41.82295,-87.6156,Entire home/apt,3,1,2,32,32,t,25,55,85,360,255,19,0,4.83,4.91,4.87,4.91,4.93,4.46,4.8,f,3,3,0,0,2.09,0.324044387,7.892600821,3.883530575,91
t,4,6,t,t,Lincoln Square,41.96528,-87.6831,Private room,2,1,1,32,50,t,13,41,71,161,55,8,0,4.54,4.59,4.33,4.61,4.61,4.69,4.46,f,2,0,2,0,0.45,0.21723594,12.13966125,6.682396681,58
f,6,6,t,t,West Town,41.88986,-87.66039,Private room,4,1,3,32,120,t,0,0,13,288,136,6,0,4.46,4.32,4.26,4.84,4.92,4.64,4.37,f,6,0,5,1,1.1,0.415140854,8.751976213,1.856892479,69
f,6,6,t,t,West Town,41.89001,-87.66069,Private room,4,1,2,1,80,t,2,32,62,337,150,7,2,4.48,4.59,4.1,4.82,4.88,4.69,4.39,f,6,0,5,1,1.22,0.412166482,8.751069903,1.876149814,90
f,6,6,t,t,West Town,41.89171,-87.66237,Shared room,4,1,3,32,60,t,13,43,73,348,67,1,0,4.55,4.41,4.38,4.81,4.94,4.54,4.29,f,6,0,5,1,0.54,0.466866174,8.795931107,2.011049269,69
f,6,6,t,t,West Town,41.89134,-87.66254,Private room,2,1,1,2,125,t,3,3,3,273,103,5,3,4.54,4.39,4.31,4.88,4.92,4.74,4.46,f,6,0,5,1,0.84,0.439713059,8.769575267,2.007515862,62
t,2,2,t,t,Edgewater,41.99688,-87.66449,Private room,2,1,1,2,14,t,0,0,0,256,109,22,3,4.92,4.93,4.89,4.95,4.96,4.94,4.92,f,2,0,2,0,0.89,0.334540047,13.18141219,8.411835816,70
t,1,2,t,t,Lake View,41.94256,-87.67171,Entire home/apt,4,2,2,7,14,t,13,24,40,107,70,13,2,4.99,4.99,4.99,4.99,4.99,4.94,4.87,f,1,1,0,0,1.35,0.079811644,11.66661598,5.001864045,280
t,2,3,t,t,Forest Glen,41.99178,-87.75747,Private room,2,1,1,2,180,t,8,38,68,343,85,15,3,4.95,4.98,4.93,4.9,4.93,4.8,4.93,f,2,0,2,0,0.73,0.589817521,8.095460948,10.49375446,65
