neighbourhood_group,latitude,longitude,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,dist_from_airport_in_miles,dist_from_subway_in_miles,dist_from_city_center,price
NA,41.92546,-87.6573,Entire home/apt,39,0.34,3,365,2,107,10.93443163,0.24287809,3.596287046,119
NA,41.92708,-87.71212,Private room,145,1.29,1,3,0,944,9.979970502,0.270043757,5.623513824,110
NA,41.91215,-87.64006,Entire home/apt,400,3.48,1,109,50,51,10.64856706,0.117730905,2.41531258,125
NA,41.88538,-87.69801,Private room,23,0.2,1,358,0,1447,7.472781797,0.089645502,3.757989173,136
NA,41.9055,-87.66685,Private room,133,1.15,1,0,0,961,9.476785302,0.117151514,2.768865137,50
NA,41.89602,-87.65659,Entire home/apt,361,3.19,19,343,42,52,9.21941089,0.053934314,1.915325963,262
NA,41.86801,-87.67877,Entire home/apt,41,0.35,1,104,1,66,6.941531706,0.541299187,2.762917226,157
NA,42.00588,-87.66853,Private room,262,2.28,4,341,39,37,13.03694567,0.203153836,9.066867892,89
NA,42.00477,-87.66842,Private room,294,2.58,4,341,37,38,13.03205584,0.260617852,8.99099737,79
NA,42.00378,-87.66807,Private room,277,2.41,4,351,30,39,13.0417059,0.313495839,8.920111112,79
NA,42.00456,-87.67058,Entire home/apt,224,1.98,4,326,29,39,12.91324987,0.346828069,9.005344672,179
NA,41.89395,-87.62593,Entire home/apt,35,0.3,1,143,3,80,10.15710739,0.182975691,1.113875602,96
NA,41.85428,-87.70852,Private room,6,0.07,4,0,0,2271,5.285646494,0.167690225,4.6016434,45
NA,41.8544,-87.70852,Private room,11,0.13,4,89,0,409,5.293028246,0.168210687,4.598692516,45
NA,41.85454,-87.70802,Private room,5,0.1,4,0,0,1102,5.314037342,0.142366453,4.569741847,45
NA,41.85395,-87.62468,Entire home/apt,23,0.2,68,348,0,505,8.403291158,0.11467928,1.689636542,140
NA,41.97271,-87.65236,Entire home/apt,63,0.55,1,2,14,62,13.78921437,0.342184489,6.643284667,82
NA,41.93597,-87.65182,Entire home/apt,11,0.15,1,141,6,38,11.71500319,0.083396882,4.170107269,323
NA,41.92655,-87.64226,Entire home/apt,624,5.57,3,24,61,37,11.41128638,0.582826517,3.411570483,127
NA,41.87096,-87.68338,Entire home/apt,339,3,1,258,22,44,6.96917738,0.360105955,2.9666609,243
NA,41.90914,-87.67859,Entire home/apt,199,1.76,2,342,11,40,9.404086001,0.072126501,3.418139882,144
NA,42.01938,-87.67985,Entire home/apt,15,0.17,2,347,1,126,12.60046584,0.34925099,10.12410767,149
NA,41.86967,-87.68284,Private room,112,1.02,1,354,7,81,6.910632915,0.452776982,2.953821815,103
NA,41.93089,-87.66946,Entire home/apt,102,0.94,1,316,10,56,10.9753633,0.88800315,4.237569135,454
NA,41.91984,-87.68962,Private room,371,3.39,1,301,44,45,9.850716429,0.25254116,4.354609642,86
NA,41.9459,-87.65461,Private room,42,0.4,5,147,0,514,12.25728579,0.099853465,4.870376458,270
NA,41.96909,-87.67407,Entire home/apt,26,0.23,1,242,2,78,12.61493605,0.136082859,6.727536838,175
NA,41.97515537,-87.6722681,Entire home/apt,0,NA,1,0,0,-1,12.69846628,0.564911352,7.086892484,114
NA,42.01653,-87.68788,Shared room,172,1.55,17,176,8,61,12.12954802,0.802669805,10.06432841,27
NA,41.91175,-87.63834,Entire home/apt,80,0.73,9,144,23,48,10.68050451,0.094435368,2.368207802,192
NA,41.91184,-87.63963,Entire home/apt,16,0.16,9,40,0,1143,10.64465306,0.093909571,2.389127367,279
NA,41.71554,-87.67197,Private room,194,1.77,2,295,20,45,6.551516054,0.277463401,11.45052122,56
NA,41.85592,-87.66249,Private room,279,4.92,2,107,66,48,6.883095717,0.386922304,2.351161537,70
NA,41.90532,-87.64761,Entire home/apt,34,0.31,3,46,5,91,10.02609436,0.380172981,2.114987574,236
NA,42.01177,-87.67758,Entire home/apt,161,1.47,1,353,29,38,12.61556107,0.15704438,9.585079366,119
NA,41.93455,-87.66141,Private room,311,3.04,1,258,28,43,11.39061357,0.456481546,4.260301166,64
NA,41.92817,-87.64282,Private room,49,0.45,1,74,26,52,11.49048385,0.577855397,3.527211046,157
NA,41.85922,-87.64592,Entire home/apt,53,0.81,1,12,3,199,7.702433904,0.090804379,1.572179042,103
NA,41.72706,-87.61164,Private room,105,0.96,1,252,10,79,8.695295027,0.549754177,10.46882157,55
NA,41.89322,-87.68572,Entire home/apt,350,3.32,3,335,14,176,8.245615888,0.309373421,3.226555254,80
NA,41.89678,-87.6971,Entire home/apt,116,1.41,1,0,0,517,8.218678957,0.707813178,3.894079216,86
NA,41.93512,-87.65749,Private room,28,0.26,6,73,0,1114,11.52069511,0.239938018,4.214867611,73
NA,41.89103,-87.66243,Private room,107,0.99,6,336,12,44,8.755223208,0.422281314,1.992500625,80
NA,41.89269,-87.62227,Entire home/apt,7,0.07,68,365,0,2963,10.23127866,0.304742503,1.087427919,153
NA,41.93396,-87.65897,Entire home/apt,59,0.59,1,293,13,44,11.41291806,0.327976031,4.170440359,242
NA,41.84801,-87.68127,Private room,132,1.22,3,317,7,38,5.778595077,0.477734878,3.494026398,96
NA,41.94747,-87.65417,Entire home/apt,12,0.83,6,75,7,71,12.36528876,0.024695153,4.968034936,379
NA,41.94842,-87.65307,Entire home/apt,13,0.12,6,57,7,59,12.45042918,0.081482683,5.015671171,693
NA,41.94774,-87.65421,Entire home/apt,24,1.4,6,63,15,66,12.38113171,0.036568373,4.986570078,879
NA,41.9475,-87.6542,Entire home/apt,19,1.11,6,72,13,64,12.36644363,0.026914126,4.970468125,922
NA,41.77738,-87.60041,Private room,352,3.37,2,131,15,48,8.320099642,0.351507138,7.132537763,80
NA,41.79989,-87.59432,Entire home/apt,57,0.54,1,365,4,49,8.684386601,0.40552368,5.733661932,115
NA,41.93264,-87.64311,Entire home/apt,155,1.46,1,359,1,71,11.74684616,0.548837084,3.832787042,239
NA,41.94663,-87.70783,Entire home/apt,274,2.97,7,298,15,58,10.9784667,0.572497931,6.364802133,99
NA,41.93564,-87.6424,Entire home/apt,0,NA,1,97,0,-1,11.94505578,0.597364334,4.029423461,100
NA,41.85487,-87.62024,Entire home/apt,14,0.14,68,348,0,2195,8.640285946,0.249896031,1.685719781,200
NA,41.92118,-87.68678,Private room,251,2.36,2,68,32,58,9.991999463,0.321234196,4.302890672,90
NA,41.89821,-87.6572,Entire home/apt,181,1.71,2,342,23,54,9.32562572,0.163950208,2.040475849,265
NA,41.93338,-87.63913,Private room,137,1.35,1,316,0,984,11.90231173,0.767324907,3.848187075,75
NA,41.88849,-87.70648,Entire home/apt,508,4.81,7,337,44,64,7.503233056,0.016629359,4.247664216,88
NA,41.84828,-87.68021,Private room,167,1.62,3,330,18,38,5.831367687,0.442587613,3.436460992,96
NA,41.80239,-87.60244,Private room,43,0.42,15,222,15,51,8.265719975,0.791421195,5.433385433,48
NA,41.94594,-87.65431,Private room,60,0.59,5,108,4,115,12.26691306,0.090181689,4.868499654,312
NA,41.94594,-87.65431,Shared room,388,4.11,5,106,58,38,12.26691306,0.090181689,4.868499654,64
NA,41.90798,-87.68158,Entire home/apt,167,1.6,2,0,6,60,9.262496759,0.242528409,3.499097219,148
NA,41.89634,-87.65608,Entire home/apt,442,4.27,19,328,35,53,9.253398567,0.026993053,1.908632192,318
NA,41.94272,-87.68409,Entire home/apt,93,0.92,2,231,12,49,11.4389355,0.583444592,5.354194832,226
NA,41.96703,-87.75087,Private room,67,0.66,1,87,0,1977,8.442408551,0.500423541,9.01943797,325
NA,41.88209,-87.65127,Entire home/apt,57,0.58,1,43,16,43,8.628531587,0.237089287,1.20415688,168
NA,41.96316,-87.69208,Entire home/apt,226,2.21,1,72,28,38,11.66327059,0.234160939,6.783076218,86
NA,41.90006,-87.68096,Entire home/apt,171,1.65,2,163,15,42,8.783867893,0.699836041,3.177841762,179
NA,41.88152,-87.69768,Private room,154,1.55,3,257,21,37,7.236574502,0.18162495,3.713752926,43
NA,41.79606,-87.62382,Private room,97,0.95,1,353,13,59,7.054870446,0.309747343,5.670168538,87
NA,41.85669,-87.65132,Private room,245,2.38,1,89,13,142,7.365634274,0.34843033,1.887588924,65
NA,41.85295,-87.70686,Private room,7,0.08,4,179,0,401,5.246360356,0.11490681,4.55129585,45
NA,41.85226,-87.62299,Entire home/apt,16,0.16,68,318,0,1600,8.416110317,0.188770567,1.821318461,120
NA,41.79077,-87.58937,Entire home/apt,103,1.04,1,0,0,976,8.907686938,0.096986009,6.417387569,125
NA,41.75205,-87.56057,Private room,10,0.12,4,257,4,58,10.73282846,0.361178529,9.483339021,35
NA,41.88765,-87.61765,Entire home/apt,25,0.25,68,361,0,1573,10.16504152,0.437705994,0.935040852,160
NA,41.85255,-87.62121,Entire home/apt,6,0.06,68,365,0,2674,8.508653339,0.274083489,1.82427159,200
NA,41.91387,-87.67182,Entire home/apt,129,2.09,2,91,8,98,9.859289824,0.289116135,3.369783595,248
NA,41.93308,-87.6511,Entire home/apt,151,2.47,1,263,13,66,11.55800201,0.114811188,3.96788044,277
NA,41.85361,-87.62434,Entire home/apt,15,0.15,68,343,0,838,8.40566035,0.120785374,1.715905296,120
NA,41.68451,-87.67925,Entire home/apt,144,1.42,2,144,10,68,8.061739644,0.415868561,13.62784849,103
NA,41.68451,-87.67913,Entire home/apt,145,1.61,2,110,3,54,8.064987812,0.409340718,13.62655191,89
NA,41.85247,-87.62204,Entire home/apt,8,0.08,68,341,0,2147,8.467545795,0.239104919,1.8185171,200
NA,41.9443,-87.79831,Private room,29,0.29,2,105,4,46,6.277577664,1.539394747,10.27213141,45
NA,41.85434,-87.62194,Entire home/apt,7,0.07,68,348,0,1565,8.542676914,0.261150425,1.694679435,135
NA,41.89098,-87.62238,Entire home/apt,5,0.05,68,365,0,2831,10.14250774,0.292565554,0.976706289,155
NA,41.89288,-87.68458,Entire home/apt,157,1.55,3,300,5,115,8.252316496,0.323689494,3.160069944,84
NA,41.90026,-87.66871,Entire home/apt,187,2.58,2,133,60,54,9.112584021,0.242528131,2.617518689,236
NA,41.88445,-87.65146,Private room,67,0.67,1,329,8,108,8.747740481,0.074762599,1.261191235,136
NA,41.78225,-87.72806,Private room,330,3.35,2,313,7,81,1.354066678,0.653862949,8.516075881,37
NA,41.90332,-87.6697,Entire home/apt,269,2.68,1,0,0,793,9.269408524,0.117816066,2.788236533,159
NA,41.77206,-87.56982,Entire home/apt,245,2.42,1,302,0,1092,10.01532011,0.466247877,8.016233486,70
NA,41.91571,-87.67449,Entire home/apt,414,4.09,1,144,72,54,9.90961633,0.348016437,3.562085517,96
NA,41.96136,-87.6784,Entire home/apt,116,1.35,1,301,21,52,12.41854468,0.177931766,6.328168477,175
NA,41.91533279,-87.67047882,Entire home/apt,111,1.15,5,149,24,44,9.982314671,0.16754027,3.396057357,245
NA,42.00729,-87.67708,Entire home/apt,45,0.45,1,349,1,297,12.5901182,0.145038138,9.280379162,150
NA,41.91634,-87.69335,Entire home/apt,70,0.71,10,336,13,44,9.554037596,0.31678765,4.359096134,1234
NA,41.75377,-87.56226,Entire home/apt,10,0.12,4,256,0,1140,10.61730776,0.32897235,9.337789246,85
NA,41.98908,-87.66697,Entire home/apt,315,3.13,1,290,37,44,13.00563648,0.437785495,7.92199099,89
NA,41.94278,-87.65621,Entire home/apt,205,2.06,2,330,34,45,12.0254594,0.24413649,4.690093661,384
NA,41.88711,-87.6438,Entire home/apt,92,1.26,2,324,34,37,9.156167055,0.152507038,0.985294786,349
NA,41.88367,-87.70864,Entire home/apt,106,1.06,1,344,15,44,7.15036147,0.102604094,4.321786864,113
NA,41.93594,-87.66953,Entire home/apt,184,2.05,1,358,24,60,11.29215025,0.541029279,4.542404869,193
NA,41.94159,-87.65099,Private room,168,1.69,1,302,18,52,12.07961004,0.168763857,4.531013694,75
NA,41.94418,-87.79895,Private room,6,0.06,2,71,2,182,6.248368583,1.526539025,10.29977404,35
NA,42.00146,-87.66982,Private room,38,0.43,2,152,4,44,12.92650536,0.466013702,8.787835185,110
NA,41.90788,-87.68075,Private room,180,1.81,2,0,1,372,9.275250984,0.218322717,3.458480292,112
NA,41.94421,-87.64861,Entire home/apt,6,0.09,2,0,0,1494,12.29988853,0.343977807,4.675776484,375
NA,41.79963,-87.59186,Private room,358,3.64,1,60,29,38,8.815962509,0.271014665,5.797177236,85
NA,41.93047,-87.7196,Entire home/apt,151,1.52,4,271,6,77,10.12811978,0.483721709,6.090795724,65
NA,41.99103,-87.66166,Private room,42,0.42,3,256,4,40,13.30312036,0.154555284,7.983981988,43
NA,41.95965,-87.72016,Entire home/apt,44,0.45,1,318,9,66,10.16578496,0.665276178,7.483550483,76
NA,41.99595,-87.67545,Entire home/apt,5,0.1,2,292,0,746,12.57960352,0.347435995,8.505071318,80
NA,41.94882,-87.7183,Entire home/apt,15,3.88,1,337,15,58,10.38815372,0.153013495,6.86734791,122
NA,41.88853,-87.63399,Entire home/apt,14,0.14,68,365,0,1134,9.583906563,0.015008971,0.755157237,170
NA,42.0222,-87.67226,Private room,62,0.69,2,269,3,63,13.04822805,0.197981391,10.20959595,67
NA,41.81866,-87.61644,Private room,12,0.19,1,317,0,407,7.758111276,0.192949561,4.165724415,85
NA,42.0168,-87.68771,Shared room,137,1.39,17,175,7,80,12.14264193,0.800164598,10.07909545,28
NA,41.83615,-87.64638,Entire home/apt,66,0.87,1,5,16,52,6.744282848,0.73888362,3.032808905,89
NA,41.9733,-87.6516,Private room,18,0.18,1,272,0,1144,13.82955601,0.380600055,6.675769612,65
NA,41.898048,-87.702972,Entire home/apt,338,3.47,1,143,34,37,8.188924798,0.702707375,4.225643468,133
NA,41.877,-87.63055,Private room,4,0.27,1,292,2,144,9.14830198,0.035204892,0.086242174,57
NA,41.78392,-87.72921,Private room,440,4.46,2,335,22,50,1.274436979,0.549615194,8.467013839,37
NA,41.94842,-87.64798,Private room,38,0.43,1,273,1,68,12.57398114,0.322720037,4.952574146,88
NA,42.00544,-87.68377,Private room,2,0.05,2,0,0,1084,12.20950958,0.509889569,9.267431447,55
NA,41.97351,-87.66574,Entire home/apt,47,0.5,1,4,7,38,13.05740017,0.391587936,6.869528565,246
NA,41.8198,-87.61423,Private room,7,0.07,4,363,0,424,7.896526032,0.333686739,4.111547483,127
NA,41.94306,-87.79432,Private room,24,0.25,3,255,2,68,6.51161366,1.503438321,10.03897542,95
NA,41.89874,-87.61862,Entire home/apt,1,0.07,1,0,0,458,10.67105079,0.524547565,1.549468957,110
NA,41.88503,-87.68664,Entire home/apt,105,1.07,1,339,25,44,7.719107875,0.287745663,3.140085245,100
NA,41.95669,-87.64847,Entire home/apt,296,3.03,1,87,45,48,13.07350057,0.391004948,5.517691855,125
NA,41.9011,-87.69184,Entire home/apt,3,0.04,1,0,0,1920,8.602871596,0.840979122,3.740713751,135
NA,41.9032,-87.63664,Private room,19,0.19,4,0,1,361,10.26392666,0.212773311,1.771709053,101
NA,41.9391,-87.64573,Private room,21,0.24,2,0,0,1528,12.06318553,0.417154551,4.297929126,79
NA,41.94047,-87.64578,Entire home/apt,32,0.33,2,0,0,1053,12.14474419,0.416073824,4.391086502,132
NA,41.84828,-87.68021,Private room,110,1.17,3,198,14,37,5.831367687,0.442587613,3.436460992,96
NA,41.90384,-87.66765,Entire home/apt,337,3.5,1,2,24,59,9.355614174,0.007007214,2.724934131,150
NA,41.80392,-87.6108,Entire home/apt,3,0.1,1,42,0,962,7.829783758,0.426284929,5.222491939,150
NA,41.96264,-87.67296,Private room,22,0.23,2,168,4,78,12.70627563,0.138437432,6.291278419,120
NA,41.99701,-87.66099,Entire home/apt,204,2.11,1,154,2,82,13.37249688,0.201297835,8.379659861,42
NA,41.94987,-87.64611,Entire home/apt,421,4.37,1,202,47,45,12.70953324,0.450956951,5.031563186,143
NA,41.96705,-87.65772,Entire home/apt,91,1.02,1,71,18,37,13.51408725,0.10775494,6.324034545,252
NA,41.93297,-87.65748,Entire home/apt,74,0.77,6,74,21,52,11.38864492,0.236305477,4.07653474,234
NA,41.94559645,-87.70312576,Entire home/apt,0,NA,1,152,0,-1,11.24442404,0.670447562,6.141557574,100
NA,41.95107,-87.71005,Private room,109,1.14,1,135,24,37,10.80168961,0.550555751,6.674531956,56
