id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,days_since_last_review,
5.72587E+17,"One Private room in my home, close to downtown R3G",226582852,Jane And Kris,,Grand Boulevard,41.80847,-87.62309,Private room,49,32,2,6/17/2022,0.55,18,90,2,R03733937930,124,
5.72612E+17,Lovely Private Room in my Home R5G,226582852,Jane And Kris,,New City,41.80064,-87.64853,Private room,35,32,0,,,18,90,0,R03733937930,-1,
5.72612E+17,Great Private Room in House R4G,226582852,Jane And Kris,,New City,41.80132,-87.65008,Private room,37,32,0,,,18,80,0,R03733937930,-1,
5.72824E+17,Modern 5bd/2ba Duplex w/ Garage Parking,66223998,Rafael,,Humboldt Park,41.89531,-87.7103,Entire home/apt,335,3,36,9/12/2022,5.84,3,341,36,R19000051607,37,
5.73074E+17,"Loop 1BR w/ Gym, Pool & Lounge, 1 block from L",107434423,Blueground,,Loop,41.8860812,-87.6342223,Entire home/apt,182,32,0,,,525,0,0,,-1,
5.73075E+17,Lovely S. Loop Studio nr L & Grant Park,107434423,Blueground,,Loop,41.8676695,-87.6261192,Entire home/apt,138,32,0,,,525,0,0,,-1,
5.73187E+17,Centrally Located Old Town Gem,409349669,Mark,,Lincoln Park,41.91162,-87.64975,Entire home/apt,188,2,10,7/1/2022,2.31,4,235,10,R22000078864,110,
5.73298E+17,BAPS INN COZY LOVELY 3 BEDROOM APARTMENT,436829776,Sabrina,,East Garfield Park,41.87185,-87.70154,Entire home/apt,160,1,20,9/4/2022,3.64,1,345,20,R22000079171,45,
5.73422E+17,Convenient & Spacious 3BR Condo w/Free Parking,184986442,Yuyi,,Bridgeport,41.8438,-87.64723,Entire home/apt,215,1,27,9/5/2022,4.35,2,319,27,R22000076523,44,
5.73756E+17,"S. Loop 2BR w/ Spa, Pool & Gym next to Grant Park",107434423,Blueground,,Near South Side,41.8670646,-87.6231114,Entire home/apt,268,32,0,,,525,291,0,,-1,
5.73908E+17,"Edgewater Studio 3blks to Beach, Train, WholeFoods",273461025,John,,Edgewater,41.99163,-87.65812,Entire home/apt,181,2,18,8/30/2022,2.98,3,355,18,R22000077060,50,
5.74407E+17,Self Check-in 8 min Downtown Chicago,260588213,Zaine Lizandra,,Bridgeport,41.82791,-87.65096,Private room,43,2,9,9/4/2022,1.58,14,358,9,R22000077560,45,
5.74606E+17,2 BDRM/1 BATH Apt. W/Laundry Room & Parking Tags,419345704,Siyonke,,Greater Grand Crossing,41.7660702,-87.61461865,Entire home/apt,114,32,0,,,1,279,0,2857395,-1,
5.747E+17,Modern 2b 2b Condo W/ Workspace & Parking.,447775573,Danielle,,East Garfield Park,41.87704,-87.69281,Entire home/apt,254,1,13,8/29/2022,2.75,1,355,13,R22000080345,51,
5.74725E+17,Self Check-in 8 min Downtown Chicago,342199553,Eduardo,,Bridgeport,41.82903,-87.65084,Private room,46,2,6,9/2/2022,1.04,3,351,6,R22000077560,47,
5.74736E+17,Gather Together & WFH in Piece of Chicago History,6114614,Stacy,,North Center,41.93704,-87.67346,Entire home/apt,430,2,12,8/31/2022,5.29,1,105,12,R22000078558,49,
5.74751E+17,Self Check-in 8 min Downtown Chicago,342199553,Eduardo,,Bridgeport,41.82918,-87.64874,Private room,47,2,11,9/13/2022,2.5,3,346,11,R22000077560,36,
5.75181E+17,"Lincoln Park Studio w/ W/D & Lounge, nr L",107434423,Blueground,,Near North Side,41.9089458,-87.6504842,Entire home/apt,107,32,0,,,525,311,0,,-1,
5.75182E+17,"Lincoln Park Studio w/ W/D & Lounge, nr L",107434423,Blueground,,Near North Side,41.9089458,-87.6504842,Entire home/apt,130,32,0,,,525,163,0,,-1,
5.75182E+17,"Medical District 1BR w/ Gym & W/D, 1 block to L",107434423,Blueground,,Near West Side,41.8746756,-87.6745347,Entire home/apt,164,32,0,,,525,331,0,,-1,
5.75246E+17,Logan Square Studio - no cleaning fee,86913754,Stephen,,Logan Square,41.92492,-87.70695,Entire home/apt,182,2,17,9/5/2022,3.38,2,107,17,R22000078207,44,
5.75296E+17,🏙HEART OF CHICAGO 1 Bedroom CONDO FREE PARKING,275175580,Dejaune,,Near West Side,41.88101,-87.64088,Entire home/apt,117,32,1,6/2/2022,0.29,1,352,1,,139,
5.753E+17,Upscale 4-Bedroom Townhouse w/Garage - LOCATION,95946390,Jared,,West Town,41.89249,-87.64975,Entire home/apt,526,2,30,9/11/2022,4.84,1,320,30,R22000078101,38,
5.75984E+17,Lakeview | Amazing location | Cute 2 bedroom oasis,66237201,Lauren,,Lake View,41.95207,-87.67316,Entire home/apt,232,2,7,9/11/2022,3.13,2,2,7,R22000082344,38,
5.76142E+17,Discover Northside Chicago from Modern Apartment,228485415,Syed,,West Ridge,41.99732,-87.69348,Entire home/apt,115,2,26,9/4/2022,4.73,8,334,26,R21000060516,45,
5.76618E+17,Central Chicago Suite (#2): Access to Patio!,170785489,Dmd,,West Town,41.89712,-87.65807,Entire home/apt,225,2,13,8/17/2022,2.58,36,347,13,2637367,63,
5.76656E+17,Remodeled garden unit in the heart of Logan Square,14815697,Ian,,Logan Square,41.91447,-87.7064,Entire home/apt,161,4,14,9/4/2022,2.37,1,5,14,R22000077219,45,
5.76776E+17,"2BR w/office, 3 mi to downtown, 2 blocks Sox Park!",25561251,Jason,,Bridgeport,41.82767,-87.6384,Entire home/apt,82,32,1,8/14/2022,0.94,6,148,1,,66,
5.76812E+17,South Loop Luxury Lofts,139765116,Jose,,Bridgeport,41.84093,-87.65934,Private room,54,2,3,8/25/2022,0.62,6,359,3,R22000078019,55,
5.77062E+17,🥇⛺️ MODERN TINY HOME IN CHICAGO,77414650,Daz,,Greater Grand Crossing,41.76679,-87.62086,Entire home/apt,200,1,0,,,24,365,0,R19000046222,-1,
5.77343E+17,"G2 - Next to Downtown, Best Location",448388996,Jesus,,Lake View,41.94194,-87.6661,Private room,78,2,23,9/10/2022,4.18,3,26,23,R22000079236,39,
5.77421E+17,Stylish 2 Bedroom condo 1 mile from U of C,100940771,Shani,,Woodlawn,41.77629,-87.60578,Entire home/apt,201,3,5,7/31/2022,1.39,1,106,5,R22000082229,80,
5.77513E+17,The Logan Square Guest House (Free Parking!),1109943,Mike,,Logan Square,41.92615,-87.69825,Entire home/apt,265,2,18,9/5/2022,4.39,1,347,18,R22000080808,44,
5.77742E+17,Bright 3BR APT 15 minutes to City center + O'Hare,295507051,Annelise,,Irving Park,41.9473,-87.712143,Entire home/apt,155,2,15,8/30/2022,2.53,3,45,15,R21000075040,50,
5.78044E+17,Restful in West town 2 full apartments - Sleeps 16,217291095,Michael,,West Town,41.89457,-87.67009,Entire home/apt,696,1,5,8/14/2022,1.04,5,348,5,R18000036353,66,
5.78114E+17,"Medical District 2BR w/ Gym & W/D, 1 block to L",107434423,Blueground,,Near West Side,41.8746756,-87.6745347,Entire home/apt,178,32,0,,,525,297,0,,-1,
5.78115E+17,"Medical District 2BR w/ Gym & W/D, 1 block to L",107434423,Blueground,,Near West Side,41.8746756,-87.6745347,Entire home/apt,200,32,0,,,525,318,0,,-1,
5.78289E+17,Room H8,327103193,Jorge,,South Chicago,41.74077,-87.55123,Private room,25,32,2,6/28/2022,0.39,28,75,2,,113,
5.78824E+17,"Medical District 1BR w/ Gym & W/D, 1 block to L",107434423,Blueground,,Near West Side,41.8746756,-87.6745347,Entire home/apt,199,32,0,,,525,142,0,,-1,
