host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,days_since_last_review,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
TRUE,4,8,TRUE,TRUE,"Georgetown, Burleith/Hillandale",38.91504,-77.07064,Private room,2,1,2,31,1125,TRUE,24,54,84,359,14,4,0,4.62,4.43,4.29,4.71,4.93,4.93,4.36,FALSE,4,2,2,0,0.12,51,1.188957,4.680692,1.868253,139
TRUE,2,7,TRUE,TRUE,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92539,-77.02934,Private room,1,1,1,31,180,TRUE,0,0,2,20,6,0,0,4.2,4.2,4.6,4.2,4.2,4.6,4.2,TRUE,2,0,2,0,0.12,67,0.240284,5.07637,1.317515,37
FALSE,2,2,TRUE,TRUE,"Georgetown, Burleith/Hillandale",38.90568,-77.0658,Entire home/apt,8,4,4,31,1125,TRUE,0,0,0,0,10,0,0,4.89,5,4.78,5,5,5,5,TRUE,2,1,1,0,0.12,67,0.721598,3.98578,1.535287,90
FALSE,1,1,TRUE,TRUE,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93435,-77.05844,Entire home/apt,2,,1,31,35,FALSE,0,0,0,0,9,0,0,5,5,4.89,5,5,4.89,4.89,FALSE,1,1,0,0,0.12,958,0.035794,5.780752,2.193795,85
TRUE,23,30,TRUE,TRUE,"Capitol Hill, Lincoln Park",38.89053,-77.00139,Entire home/apt,4,1,2,31,500,TRUE,30,60,90,365,9,0,0,4.67,5,4.78,5,5,5,4.78,FALSE,19,19,0,0,0.12,95,0.425976,3.276305,2.205689,265
FALSE,1,3,TRUE,TRUE,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90269,-76.98784,Private room,2,,1,31,1125,TRUE,0,0,0,0,9,0,0,4.38,4.43,4.29,4.29,4.75,4.88,4.63,FALSE,1,0,1,0,0.12,47,0.858456,4.378064,2.618735,40
FALSE,68,147,TRUE,TRUE,"Shaw, Logan Circle",38.90748,-77.02939,Entire home/apt,5,2,2,30,365,TRUE,2,3,3,3,6,0,0,4,4,3.67,4.67,4.67,5,3.67,FALSE,17,17,0,0,0.12,114,0.402478,3.8465,0.398499,298
FALSE,1,1,TRUE,TRUE,"Union Station, Stanton Park, Kingman Park",38.90058,-77.00288,Entire home/apt,4,2,2,31,1125,TRUE,13,43,72,72,9,3,0,4.75,5,4.75,5,5,5,4.75,FALSE,1,1,0,0,0.12,232,0.308709,3.820336,1.86002,199
TRUE,2,3,TRUE,TRUE,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89976,-77.02695,Entire home/apt,2,1,1,3,28,TRUE,10,26,56,62,8,7,1,5,5,5,4.88,5,5,4.86,FALSE,1,1,0,0,0.12,65,0.115888,3.337503,0.73596,300
TRUE,2,4,TRUE,TRUE,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91534,-77.01273,Entire home/apt,4,2,3,31,1125,TRUE,0,0,0,113,6,3,0,4.83,4.83,5,5,5,4.67,4.33,FALSE,2,2,0,0,0.12,120,0.503305,4.559786,1.398731,201
FALSE,2,2,TRUE,FALSE,"Dupont Circle, Connecticut Avenue/K Street",38.90747,-77.04633,Private room,2,2,2,31,365,TRUE,0,0,0,0,5,1,0,5,5,5,5,5,5,5,FALSE,2,1,1,0,0.12,1087,0.213449,3.847831,0.500137,157
FALSE,1,3,TRUE,TRUE,"Howard University, Le Droit Park, Cardozo/Shaw",38.92149,-77.01564,Entire home/apt,6,3,4,31,1125,FALSE,0,0,0,0,7,0,0,5,5,5,5,5,5,5,FALSE,1,1,0,0,0.12,72,0.644734,4.928559,1.49728,99
FALSE,1,1,TRUE,FALSE,"Ivy City, Arboretum, Trinidad, Carver Langston",38.9159,-76.9836,Entire home/apt,3,,2,31,1125,FALSE,0,0,0,0,7,0,0,4.86,5,4.86,5,5,4.71,5,FALSE,1,1,0,0,0.12,3413,0.744861,5.253557,2.887979,32
FALSE,1,2,TRUE,TRUE,"Union Station, Stanton Park, Kingman Park",38.89395,-76.99399,Entire home/apt,4,2,2,31,1125,TRUE,21,51,81,170,2,1,0,5,5,5,5,5,5,5,FALSE,1,1,0,0,0.12,81,0.65187,3.701967,2.451117,156
