@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R1-5,10-18,22-30,32-34-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute calculated_host_listings_count numeric
@attribute reviews_per_month numeric
@attribute days_since_last_review numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',365,1,1,156,0.64,58,0.241892,2.893303,2.509949,119
'Entire home/apt',173,1,1,157,0.64,63,0.148207,3.226361,2.555187,136
'Entire home/apt',44,1,1,4,0.64,79,0.989937,8.38136,4.768813,395
'Entire home/apt',32,1,1,4,0.64,-1,0.183642,4.569181,0.982375,139
'Private room',365,44,1,1,0.64,94,0.51292,5.524103,6.735487,70
'Private room',365,2,2,11,0.64,50,1.380185,4.067505,6.849836,49
'Entire home/apt',91,24,10,2,0.64,650,0.554301,9.766837,5.985402,120
'Entire home/apt',14,27,6,6,0.64,49,0.34246,9.505161,5.967852,85
'Entire home/apt',249,39,4,1,0.64,38,0.2545,3.753991,2.047835,115
'Private room',364,23,0,4,0.2,51,0.20442,4.122834,0.848622,72
'Private room',365,25,2,4,0.2,2019,1.134239,4.768396,1.896016,139
'Entire home/apt',334,21,2,1,0.2,1162,0.529435,4.637028,0.955546,80
'Private room',0,15,0,1,0.2,53,0.985827,6.823395,3.845394,45
'Entire home/apt',362,14,1,29,0.2,374,0.102028,3.308033,0.540986,364
'Entire home/apt',364,10,3,1,0.2,444,0.716406,5.683106,1.902448,130
'Entire home/apt',266,13,4,1,0.2,1241,1.306271,4.723714,2.005701,125
'Entire home/apt',0,13,0,1,0.2,59,0.826549,3.901867,2.529613,1200
'Shared room',0,13,0,1,0.2,1899,0.462804,3.610627,2.734158,58
'Entire home/apt',106,12,4,1,0.2,63,0.414297,6.335712,2.618062,55
'Entire home/apt',0,11,0,1,0.2,1259,0.436134,5.427382,1.63187,150
'Private room',365,10,2,12,0.2,-1,1.658704,2.262066,5.680541,48
'Entire home/apt',0,10,0,1,0.2,60,0.731941,7.466081,3.898156,69
'Private room',59,8,1,46,0.2,58,0.061067,5.881533,2.156244,39
'Private room',0,9,0,1,0.2,506,0.391174,5.242605,1.530146,70
'Private room',116,8,1,46,0.2,79,0.530378,4.78447,1.414381,35
'Entire home/apt',152,8,4,17,0.2,68,0.178475,2.123021,2.403851,395
'Private room',325,2,2,14,0.2,2272,0.231666,3.783225,0.451808,412
'Entire home/apt',90,7,0,2,0.2,976,0.581703,3.950145,2.182033,250
'Shared room',351,6,3,8,0.2,60,0.310196,3.71241,0.509847,59
'Shared room',351,3,1,8,0.2,52,0.305489,3.751638,0.498664,63
'Entire home/apt',306,3,2,157,0.2,1677,0.366997,3.558641,2.058872,183
'Entire home/apt',44,7,0,1,0.2,136,0.263845,3.236485,2.43411,285
'Entire home/apt',300,4,1,157,0.2,59,0.242983,3.363374,1.080903,87
'Entire home/apt',274,4,3,157,0.2,2095,0.235213,3.40688,1.066922,88
'Entire home/apt',259,5,3,157,0.2,38,0.320235,3.539127,1.102117,91
'Entire home/apt',343,3,2,157,0.2,945,0.236426,3.510099,1.027339,110
'Entire home/apt',250,2,2,157,0.2,70,0.247482,3.371461,1.084558,91
'Entire home/apt',274,2,2,157,0.2,80,0.045133,3.376223,3.245776,103
'Entire home/apt',0,4,2,96,0.2,80,0.355994,4.287224,0.51664,110
'Entire home/apt',251,3,2,1,0.2,2282,0.747986,7.318448,3.610244,225
'Entire home/apt',218,2,2,20,0.2,2243,0.133241,3.478336,0.324527,929
'Entire home/apt',364,3,1,1,0.2,-1,0.827994,4.816669,2.59649,190
'Entire home/apt',364,1,1,9,0.2,39,0.221582,4.701239,1.061982,159
'Entire home/apt',89,2,2,1,0.2,1058,0.182082,5.409363,2.550145,58
'Private room',0,2,2,1,0.2,38,0.639815,3.803718,1.447082,40
'Entire home/apt',278,1,1,10,0.2,121,0.19598,3.615102,0.77823,117
'Entire home/apt',110,1,1,3,0.2,68,0.692892,5.421361,2.950103,91
'Entire home/apt',354,30,2,1,0.2,105,0.379346,8.025854,6.621857,59
'Private room',327,13,3,2,0.2,50,1.318129,6.994113,4.339607,34
'Private room',329,19,3,46,0.2,-1,0.555697,9.868177,6.086318,28
'Entire home/apt',238,2,2,5,0.2,1405,0.3885,3.874747,2.15227,249
'Entire home/apt',316,2,2,157,0.2,1258,0.202411,9.620127,5.821976,103
'Entire home/apt',272,3,1,5,0.2,2261,0.363515,9.536335,5.99322,135
'Entire home/apt',361,5,2,157,0.2,149,0.308841,3.451179,2.671071,109
'Entire home/apt',0,5,1,157,0.2,61,0.15095,3.835694,3.25851,137
'Private room',256,105,20,4,0.69,39,1.132696,5.525584,2.481629,60
'Entire home/apt',258,55,12,19,0.69,58,0.376515,3.208038,2.129709,275
'Private room',63,44,2,1,0.69,49,0.56067,5.881305,2.081736,60
'Entire home/apt',0,40,0,1,0.69,1841,1.203874,4.747474,3.074031,70
'Private room',299,39,1,2,0.69,52,0.673213,6.050408,5.934467,49
'Entire home/apt',0,37,13,6,0.69,39,0.520237,4.387112,0.585282,350
'Entire home/apt',128,34,6,2,0.69,66,0.765963,8.204307,4.40591,81
'Private room',354,27,5,1,0.69,2104,0.555747,2.758405,4.597778,75
'Entire home/apt',330,3,3,1,0.69,67,1.218977,7.361404,3.591093,400
'Entire home/apt',341,13,9,1,0.69,76,0.825539,5.337884,5.294981,70
'Private room',102,3,3,2,0.69,141,0.34043,2.566423,5.150529,300
'Entire home/apt',365,12,8,8,0.69,2095,0.488592,3.406896,2.149124,297
'Entire home/apt',314,10,7,156,0.69,43,0.333951,4.236472,0.457007,112
'Entire home/apt',0,7,7,1,0.69,62,0.563199,6.488362,6.428412,86
'Entire home/apt',365,6,6,1,0.69,1882,0.880418,6.78629,6.126847,477
'Entire home/apt',45,2,2,1,0.69,1999,0.592631,4.708586,0.908499,153
'Private room',0,4,4,8,0.69,2018,0.138526,5.888447,6.65381,45
'Private room',126,13,1,1,0.11,2120,0.563763,6.160181,2.362719,50
'Private room',314,15,0,4,0.11,1236,0.572102,4.544892,0.867468,209
'Private room',349,14,7,2,0.11,126,0.580439,8.790919,4.995737,90
'Entire home/apt',341,12,1,4,0.11,47,1.063046,4.736377,1.814879,299
'Entire home/apt',356,10,2,13,0.11,683,0.102028,3.308033,0.540986,294
'Entire home/apt',0,11,1,1,0.11,100,0.588387,4.641008,0.841736,99
'Private room',0,8,0,3,0.11,82,0.547767,6.319241,2.667409,130
'Private room',179,9,0,1,0.11,2161,0.659559,4.317699,3.126501,80
'Shared room',363,7,2,3,0.11,81,1.149502,5.95839,2.849783,28
'Entire home/apt',0,7,0,1,0.11,-1,0.468598,3.867598,0.282628,499
'Entire home/apt',223,7,2,1,0.11,55,0.460737,5.694273,1.902129,110
'Entire home/apt',0,7,0,1,0.11,52,0.152549,3.372981,1.225038,85
'Entire home/apt',0,7,0,1,0.11,37,0.467295,4.774844,0.977703,150
'Entire home/apt',0,6,0,1,0.11,1648,0.216481,4.001423,1.668647,130
'Private room',0,6,0,1,0.11,116,0.963661,3.250083,4.495086,50
'Entire home/apt',0,4,0,4,0.11,1541,0.722508,3.848051,2.670802,104
'Entire home/apt',345,4,1,1,0.11,165,0.434122,4.072726,0.279713,75
'Entire home/apt',0,2,0,6,0.11,960,0.288882,3.686814,0.897244,259
'Entire home/apt',352,3,1,157,0.11,44,0.293872,4.256513,0.637405,151
'Entire home/apt',306,1,1,157,0.11,49,0.231946,4.207045,0.564291,192
'Entire home/apt',0,4,0,1,0.11,779,0.645535,3.966253,1.17448,175
'Entire home/apt',255,3,0,157,0.11,110,0.354303,3.744335,0.307738,138
'Entire home/apt',318,1,1,235,0.11,1788,0.182069,3.258743,0.982365,207
'Private room',320,4,3,46,0.11,39,0.081501,5.855254,2.125208,38
'Entire home/apt',54,2,1,1,0.11,1599,0.324896,5.490515,2.697216,85
'Entire home/apt',71,2,1,1,0.11,71,0.85255,4.59551,2.646809,70
'Entire home/apt',337,2,1,235,0.11,55,0.135202,3.098941,1.100385,171
'Entire home/apt',314,3,1,157,0.11,94,0.209312,2.380466,2.508479,111
'Private room',362,1,1,63,0.11,1008,0.419771,4.045599,2.083116,55
'Private room',0,2,0,7,0.11,58,0.427893,5.516395,1.814982,30
'Entire home/apt',269,2,0,96,0.11,65,0.279161,3.84059,0.571344,90
'Entire home/apt',199,2,0,156,0.11,67,0.193448,4.345587,0.64712,123
'Private room',28,2,0,39,0.11,55,0.243643,4.033558,0.7045,115
'Private room',26,2,0,39,0.11,59,0.173579,3.921647,0.661215,115
'Entire home/apt',309,1,1,156,0.11,1022,0.126643,2.965947,2.202932,127
'Entire home/apt',263,1,1,235,0.11,2068,0.269802,2.558017,2.93112,134
'Entire home/apt',0,1,1,96,0.11,1151,0.087857,3.119234,2.745442,120
'Entire home/apt',0,1,1,1,0.11,-1,0.575497,6.561027,3.028148,300
'Entire home/apt',0,1,1,235,0.11,1422,0.153679,4.513689,0.925688,203
'Private room',341,4,0,46,0.11,1823,0.549534,9.739947,5.958235,34
'Entire home/apt',282,6,1,2,0.11,1924,0.255014,3.248742,1.969855,68
'Entire home/apt',338,4,0,157,0.11,141,0.323494,9.502392,5.705181,103
'Entire home/apt',303,5,2,157,0.11,2215,0.563917,3.263052,2.438858,182
'Entire home/apt',348,3,0,6,0.11,201,0.161942,3.364471,2.032307,177
'Entire home/apt',288,7,2,4,0.11,2096,0.205365,3.304338,1.999323,65
'Entire home/apt',5,7,1,4,0.11,-1,0.32583,3.194477,2.049479,65
'Private room',349,4,1,46,0.11,38,0.6326,9.745948,5.968766,29
'Entire home/apt',160,157,25,1,1.17,-1,0.708556,6.638787,2.881668,272
'Entire home/apt',0,90,0,1,1.17,176,0.818731,3.898969,2.541559,80
'Entire home/apt',361,45,10,3,1.17,125,0.58377,6.489678,5.768334,60
'Entire home/apt',220,23,22,1,1.17,65,0.542273,3.681576,2.692215,185
'Entire home/apt',365,18,14,156,1.17,1232,0.272017,4.236734,0.508611,364
'Private room',340,3,3,2,1.17,1613,0.533327,9.266784,5.468179,72
'Entire home/apt',335,3,3,1,1.17,52,0.284299,2.436269,2.990242,135
'Entire home/apt',338,72,9,1,1.17,-1,0.232105,7.841144,6.603308,87
'Entire home/apt',267,92,7,1,1.17,64,0.72453,10.521851,6.721975,99
'Private room',313,378,39,1,3.28,2106,0.145049,7.841386,4.395837,92
'Entire home/apt',263,239,44,2,3.28,57,0.504637,4.964293,1.199074,78
'Private room',37,62,28,39,3.28,45,0.165981,3.916394,0.665469,79
'Entire home/apt',100,26,26,1,3.28,61,0.389022,8.236234,4.469224,75
'Private room',365,9,0,3,0.06,-1,1.365697,7.121275,3.319701,53
'Entire home/apt',359,7,1,1,0.06,69,0.48764,8.133737,4.368389,125
'Entire home/apt',288,6,1,4,0.06,373,1.161724,4.612784,1.788765,159
'Entire home/apt',0,1,0,1,0.06,62,0.14381,5.160047,1.596866,600
'Shared room',365,5,1,7,0.06,111,0.464292,4.558472,1.36345,78
'Private room',364,5,0,1,0.06,44,1.324602,7.438767,3.641045,88
'Entire home/apt',102,2,0,1,0.06,51,0.89093,2.038615,5.021437,125
'Entire home/apt',356,2,0,29,0.06,37,0.102028,3.308033,0.540986,294
'Entire home/apt',0,5,0,1,0.06,49,0.311543,5.524817,1.725225,80
'Private room',0,5,0,1,0.06,935,0.11687,3.864307,0.686385,99
'Private room',0,5,0,1,0.06,267,0.717949,4.770149,1.621742,65
'Entire home/apt',271,4,2,1,0.06,45,0.94729,4.189786,2.738616,150
'Entire home/apt',365,4,0,2,0.06,52,0.221614,4.536681,1.080395,105
'Private room',185,4,2,9,0.06,-1,0.63764,3.773883,1.338315,183
'Private room',175,4,1,9,0.06,-1,0.648039,3.757957,1.360529,189
'Entire home/apt',0,4,0,1,0.06,74,0.342064,4.417307,0.631956,79
'Private room',0,4,0,12,0.06,-1,0.355133,4.293944,0.527842,85
'Entire home/apt',0,4,0,1,0.06,148,0.38437,4.12737,2.101788,120
'Entire home/apt',44,4,0,2,0.06,195,0.605664,5.574282,1.788086,449
'Entire home/apt',0,4,0,1,0.06,38,0.099239,5.959761,2.209549,117
'Entire home/apt',13,3,0,11,0.06,2041,0.173834,3.368607,0.773067,616
'Entire home/apt',0,3,0,3,0.06,35,0.916607,7.961012,4.162592,159
'Entire home/apt',0,3,0,1,0.06,41,0.040288,5.843682,2.239955,75
'Private room',169,3,0,2,0.06,101,0.50717,2.646044,4.261115,45
'Private room',0,3,0,2,0.06,1099,0.073461,3.491918,0.803908,132
'Entire home/apt',0,2,0,20,0.06,108,0.310674,3.946413,0.535331,176
'Private room',0,3,0,1,0.06,67,1.17147,4.865395,3.28893,75
'Entire home/apt',0,3,0,1,0.06,142,0.312415,2.859606,2.749985,200
'Private room',0,3,0,1,0.06,-1,1.068283,7.410162,3.657987,75
'Entire home/apt',3,2,0,1,0.06,1237,0.441379,3.740619,3.036519,100
'Entire home/apt',45,1,0,157,0.06,-1,0.278348,4.256958,0.587995,201
'Entire home/apt',365,1,0,1,0.06,2097,0.82784,5.078862,1.691661,725
'Private room',320,2,0,14,0.06,304,0.286955,3.719258,0.454134,412
'Private room',321,2,0,4,0.06,-1,0.572102,4.544892,0.867468,170
'Entire home/apt',336,2,1,235,0.06,54,0.182069,3.258743,0.982365,203
'Entire home/apt',306,1,0,235,0.06,466,0.182069,3.258743,0.982365,207
'Entire home/apt',274,1,0,235,0.06,-1,0.182069,3.258743,0.982365,206
'Entire home/apt',284,1,0,235,0.06,43,0.182069,3.258743,0.982365,205
'Entire home/apt',202,2,0,20,0.06,1405,0.109841,3.570064,0.236696,1374
'Private room',0,2,0,1,0.06,142,0.3243,4.63011,1.186976,70
'Private room',365,2,0,1,0.06,52,0.927902,4.818615,2.712707,150
'Entire home/apt',0,2,0,1,0.06,1794,0.94059,4.210719,2.640897,140
'Private room',365,1,0,4,0.06,54,1.28971,5.279441,2.352637,99
'Private room',270,2,1,1,0.06,1084,0.296839,3.896934,1.092661,170
'Entire home/apt',349,1,0,157,0.06,76,0.241703,3.501208,1.038082,94
'Entire home/apt',0,1,0,2,0.06,1291,0.951919,8.039901,4.238971,103
'Entire home/apt',332,1,0,11,0.06,60,0.260256,3.180915,2.41653,128
'Entire home/apt',0,1,0,96,0.06,1487,0.435677,4.290432,0.49133,125
'Entire home/apt',0,1,0,96,0.06,136,0.503782,4.08342,0.336833,103
'Entire home/apt',237,1,0,1,0.06,-1,0.390309,3.066136,0.908553,65
'Entire home/apt',292,1,0,156,0.06,70,0.15333,4.454081,0.725309,112
'Entire home/apt',338,1,0,96,0.06,148,0.256148,4.206066,0.466102,145
'Entire home/apt',351,1,0,29,0.06,-1,0.061171,3.407126,0.788367,479
'Entire home/apt',350,1,0,96,0.06,-1,0.377925,4.302562,0.525896,120
'Private room',364,1,0,1,0.06,1074,1.030472,2.855316,5.790055,100
'Private room',254,1,0,1,0.06,61,0.303959,8.333606,4.563799,95
'Entire home/apt',250,5,1,1,0.06,828,1.741734,5.762138,4.38844,895
'Private room',363,2,0,1,0.06,1839,0.667939,10.682662,6.894643,29
'Entire home/apt',287,9,0,1,0.06,198,0.050113,3.470524,1.91992,200
'Entire home/apt',111,7,3,3,0.06,53,0.796813,9.526387,5.757513,90
'Entire home/apt',179,5,0,3,0.06,1121,0.082655,3.45013,2.018949,85
'Entire home/apt',79,2,0,2,0.06,126,0.232586,3.272391,1.97877,62
'Entire home/apt',243,186,0,3,1.4,398,0.077713,3.914783,0.783734,70
'Entire home/apt',326,106,7,1,1.4,109,0.417209,6.246925,2.569039,100
'Entire home/apt',160,106,0,1,1.4,-1,0.426855,4.390079,0.636134,136
'Entire home/apt',119,93,24,1,1.4,52,0.112478,3.04152,1.113646,280
'Entire home/apt',349,63,20,1,1.4,1924,1.195451,6.230886,3.657785,93
'Entire home/apt',0,27,15,3,1.4,-1,0.34414,4.641328,0.855316,113
'Entire home/apt',0,22,9,3,1.4,52,0.278263,6.164875,2.402526,350
'Private room',236,8,8,1,1.4,213,0.422922,5.544274,1.862797,69
'Private room',365,0,0,2,?,67,0.996333,7.626552,3.880488,399
'Entire home/apt',0,0,0,1,?,-1,0.594959,4.879259,1.101606,120
'Entire home/apt',0,0,0,2,?,1259,0.460963,3.933196,2.032341,125
'Entire home/apt',83,0,0,1,?,38,0.388085,4.740527,1.095888,105
'Entire home/apt',364,0,0,6,?,76,0.236114,5.125662,1.323529,248
'Private room',365,0,0,4,?,2078,0.412244,4.403823,3.766036,105
'Shared room',0,0,0,2,?,-1,0.24537,6.164025,6.561881,60
'Private room',0,0,0,15,?,135,0.443019,4.072175,1.222049,48
'Entire home/apt',0,0,0,1,?,1825,0.646277,4.810387,1.548215,129
'Entire home/apt',364,0,0,1,?,1882,0.182569,5.252015,1.664786,99
'Entire home/apt',180,0,0,2,?,59,0.870272,7.758245,4.014972,499
'Private room',0,0,0,1,?,74,0.390583,7.43065,3.941874,200
'Private room',0,0,0,1,?,2014,0.558604,4.748362,1.842464,299
'Entire home/apt',0,0,0,1,?,-1,0.589066,4.624419,0.908688,140
'Entire home/apt',0,0,0,1,?,126,0.357397,5.13896,1.341561,90
'Entire home/apt',0,0,0,1,?,-1,0.390285,5.362804,1.565979,100
'Private room',0,0,0,2,?,423,0.47638,4.284991,0.857877,75
'Private room',0,0,0,2,?,1213,0.539202,4.353558,0.918164,55
'Entire home/apt',0,0,0,1,?,2102,0.479604,4.823118,1.021616,99
'Entire home/apt',0,0,0,1,?,-1,0.584656,7.024685,3.468745,71
'Entire home/apt',0,0,0,1,?,299,0.173587,3.118206,2.831821,250
'Entire home/apt',0,0,0,1,?,-1,0.34376,3.865789,0.461615,239
'Private room',0,0,0,1,?,-1,0.225505,5.728163,1.983497,50
'Entire home/apt',0,0,0,1,?,292,0.512052,4.544676,1.403519,65
'Entire home/apt',0,0,0,1,?,-1,0.189026,5.305374,1.539697,70
'Private room',0,0,0,2,?,156,0.854681,4.149502,1.581837,225
'Private room',0,0,0,1,?,1786,0.399046,3.862749,1.979196,507
'Entire home/apt',0,0,0,1,?,-1,0.129979,6.413624,2.793192,90
'Private room',0,0,0,1,?,46,0.19321,3.697847,1.819558,600
'Entire home/apt',0,0,0,1,?,-1,1.142923,5.31129,2.283944,75
'Private room',83,0,0,1,?,219,0.240907,2.486361,3.999865,125
'Private room',0,0,0,2,?,163,0.124537,2.736795,2.323327,195
'Private room',0,0,0,1,?,117,0.805388,7.3155,3.597686,55
'Entire home/apt',0,0,0,1,?,79,0.342491,3.601864,1.090876,350
'Entire home/apt',0,0,0,2,?,2096,0.271304,3.505573,1.285516,550
'Shared room',0,0,0,1,?,2097,0.311338,3.835668,1.828405,140
'Entire home/apt',198,0,0,2,?,54,0.265183,3.402247,1.097059,157
'Private room',0,0,0,1,?,67,0.527096,5.262927,1.591488,55
'Entire home/apt',0,0,0,1,?,51,0.350575,7.168275,3.534537,50
'Shared room',0,0,0,1,?,1594,0.533147,5.721966,1.919852,25
'Entire home/apt',0,0,0,1,?,-1,0.34587,3.76526,0.791606,110
'Entire home/apt',0,0,0,1,?,50,0.649134,3.936416,2.279672,195
'Entire home/apt',0,0,0,1,?,75,0.984308,6.837977,3.048381,350
'Entire home/apt',0,0,0,2,?,761,0.180932,2.67433,2.294557,5995
'Entire home/apt',0,0,0,1,?,1007,0.19155,4.166281,0.475803,550
'Private room',0,0,0,1,?,156,0.218126,6.077306,2.314607,145
'Entire home/apt',0,0,0,1,?,-1,0.408261,4.237981,0.43784,125
'Entire home/apt',0,0,0,1,?,-1,0.229,2.536872,3.96372,100
'Entire home/apt',0,0,0,1,?,-1,1.033815,4.408641,2.847903,100
'Entire home/apt',0,0,0,1,?,1026,0.618597,4.137302,2.321633,299
'Entire home/apt',0,0,0,1,?,1578,0.45039,4.917941,1.119984,150
'Private room',300,0,0,9,?,1341,0.533054,4.233115,1.300595,57
'Entire home/apt',0,0,0,1,?,38,1.245006,4.664715,1.982402,3000
'Entire home/apt',0,0,0,1,?,129,1.370854,4.852543,2.730967,350
'Private room',0,0,0,1,?,2097,0.643373,2.990938,3.840782,1500
'Entire home/apt',0,0,0,1,?,89,0.612149,4.6929,1.738238,175
'Entire home/apt',0,0,0,1,?,89,0.260199,2.573444,2.486468,500
'Entire home/apt',0,0,0,2,?,82,0.797999,1.970851,4.838939,129
'Entire home/apt',0,0,0,1,?,-1,0.48458,3.639975,2.929615,900
'Entire home/apt',0,0,0,1,?,-1,0.266126,4.102705,0.32162,657
'Entire home/apt',0,0,0,1,?,2029,0.4302,3.709861,2.109097,650
'Entire home/apt',0,0,0,1,?,976,0.16612,2.148908,2.226353,2499
'Entire home/apt',0,0,0,1,?,1693,0.271916,4.473466,1.858405,275
'Entire home/apt',0,0,0,1,?,1893,0.279833,3.66355,0.579323,900
'Entire home/apt',0,0,0,2,?,151,0.619702,7.647526,4.439032,120
'Entire home/apt',0,0,0,1,?,-1,0.31459,2.117723,2.854988,750
'Entire home/apt',0,0,0,1,?,1955,0.366089,3.550325,2.981325,1350
'Entire home/apt',0,0,0,1,?,66,0.474667,4.539849,1.667522,600
'Private room',0,0,0,1,?,2128,0.56977,7.000504,3.405288,237
'Entire home/apt',0,0,0,1,?,39,0.439463,6.371696,2.622028,300
'Private room',0,0,0,1,?,97,0.286102,4.584829,0.808139,80
'Entire home/apt',0,0,0,1,?,-1,0.116186,3.259821,2.65085,120
'Entire home/apt',0,0,0,1,?,50,0.224733,4.52874,1.002445,750
'Entire home/apt',89,0,0,1,?,-1,0.187669,2.993985,2.547795,3000
'Entire home/apt',0,0,0,1,?,59,0.12421,4.033522,0.507052,2200
'Private room',0,0,0,1,?,1452,0.393227,5.624133,1.836259,250
'Private room',0,0,0,1,?,105,0.223212,5.061963,1.26117,300
'Private room',0,0,0,1,?,-1,0.502488,5.060983,1.278368,350
'Entire home/apt',0,0,0,1,?,2096,0.210143,2.713238,2.439374,349
'Shared room',0,0,0,1,?,49,0.318246,3.850973,1.794895,120
'Entire home/apt',0,0,0,1,?,1101,0.200231,5.651715,4.765742,750
'Entire home/apt',0,0,0,1,?,-1,0.345248,3.733918,1.109395,700
'Entire home/apt',0,0,0,1,?,-1,0.3992,4.983055,1.242613,299
'Entire home/apt',0,0,0,1,?,2096,0.215744,3.706037,0.622118,300
'Entire home/apt',0,0,0,1,?,-1,0.563081,5.751554,1.949423,79
'Entire home/apt',0,0,0,1,?,-1,0.489461,3.908657,0.821987,850
'Entire home/apt',0,0,0,1,?,-1,0.152722,2.142739,2.309359,350
'Entire home/apt',0,0,0,1,?,44,0.602997,5.742319,1.942018,500
'Private room',0,0,0,1,?,424,0.341621,5.132523,1.333928,31
'Entire home/apt',0,0,0,1,?,1882,0.415474,4.338813,0.557504,425
'Private room',0,0,0,1,?,51,0.443865,3.530756,2.521025,200
'Entire home/apt',0,0,0,1,?,-1,0.469577,3.981745,0.406175,4000
'Entire home/apt',0,0,0,1,?,1565,1.154478,3.728676,4.62944,238
'Entire home/apt',0,0,0,1,?,73,0.999657,4.294645,2.72173,1200
'Entire home/apt',0,0,0,1,?,2096,0.082697,5.150873,1.360734,99
'Private room',0,0,0,1,?,58,0.519829,4.081993,0.322492,119
'Entire home/apt',0,0,0,1,?,73,0.354892,3.663336,0.471761,1303
'Entire home/apt',0,0,0,1,?,-1,0.370521,2.817357,2.792842,800
'Private room',0,0,0,1,?,39,0.583133,7.104947,3.548447,600
'Entire home/apt',0,0,0,1,?,-1,0.195208,3.525696,0.647946,500
'Entire home/apt',0,0,0,1,?,-1,0.14366,3.353729,0.981529,500
'Entire home/apt',0,0,0,1,?,67,0.222418,4.072031,1.581347,999
'Private room',88,0,0,1,?,-1,0.11786,6.009127,2.295128,30
'Entire home/apt',0,0,0,1,?,-1,0.517461,6.949626,3.345348,450
'Entire home/apt',0,0,0,1,?,37,0.57062,6.592174,3.017776,146
'Private room',0,0,0,1,?,-1,0.410576,3.025408,3.041786,300
'Private room',0,0,0,2,?,2006,0.776209,4.974353,1.666119,250
'Entire home/apt',0,0,0,1,?,143,0.495024,4.379803,0.862523,1000
'Entire home/apt',0,0,0,1,?,-1,0.136426,5.218486,1.447385,300
'Entire home/apt',0,0,0,1,?,1165,0.462084,3.881712,1.255535,725
'Private room',0,0,0,2,?,542,0.790703,5.009514,1.672865,250
'Private room',0,0,0,1,?,-1,0.40034,3.457208,2.075157,290
'Entire home/apt',0,0,0,1,?,79,0.347214,4.061792,0.564872,245
'Entire home/apt',0,0,0,1,?,1835,0.469762,4.028762,0.254129,1925
'Entire home/apt',0,0,0,1,?,106,0.257057,2.295803,2.01421,489
'Entire home/apt',0,0,0,1,?,48,0.37284,3.505427,2.058503,112
'Entire home/apt',0,0,0,1,?,1874,0.204163,5.182904,1.424552,100
'Private room',0,0,0,3,?,-1,0.912312,9.320492,5.528623,200
'Private room',0,0,0,1,?,178,1.089862,3.43646,4.411667,250
'Entire home/apt',0,0,0,1,?,108,0.766487,4.18086,2.900144,375
'Private room',0,0,0,3,?,54,0.853046,9.32816,5.53395,150
'Entire home/apt',0,0,0,2,?,46,0.708649,4.182023,2.954912,1500
'Entire home/apt',0,0,0,3,?,38,0.908364,9.328074,5.536186,390
'Entire home/apt',0,0,0,1,?,1467,0.279208,2.213893,2.092937,550
'Entire home/apt',0,0,0,1,?,42,0.711387,5.805232,3.083812,200
'Private room',0,0,0,1,?,1607,0.175896,4.128442,1.902269,300
'Private room',0,0,0,1,?,-1,0.350125,5.409182,2.303181,200
'Private room',0,0,0,1,?,143,0.235906,3.870287,3.23628,300
'Private room',0,0,0,1,?,-1,0.798818,6.73089,3.001545,160
'Private room',0,0,0,1,?,437,0.590626,9.66534,5.866872,99
'Entire home/apt',0,0,0,1,?,1490,0.536211,4.070124,0.899739,100
'Private room',0,0,0,1,?,-1,0.072974,3.935859,3.413093,39
'Entire home/apt',365,0,0,3,?,-1,0.190285,5.285305,1.64736,110
'Entire home/apt',0,0,0,1,?,-1,0.494734,4.755755,0.955829,100
'Entire home/apt',102,0,0,1,?,-1,0.758479,5.502462,2.140463,91
'Entire home/apt',0,0,0,2,?,107,0.21109,4.060139,0.299725,169
'Entire home/apt',0,0,0,1,?,988,0.63203,3.083517,4.891234,69
'Private room',0,0,0,2,?,1238,0.432704,6.859692,3.276481,70
'Private room',0,0,0,1,?,1204,0.092155,3.459207,0.905412,40
'Private room',0,0,0,1,?,-1,0.902018,4.442477,2.672626,60
'Entire home/apt',0,0,0,1,?,-1,0.498449,6.226259,2.58214,150
'Private room',0,0,0,1,?,942,0.206932,3.530388,3.463426,65
'Private room',0,0,0,1,?,45,0.357328,4.287658,0.519284,160
'Private room',0,0,0,1,?,963,0.31141,2.304501,2.206165,80
'Entire home/apt',0,0,0,2,?,-1,0.579907,3.83327,5.186164,89
'Entire home/apt',0,0,0,1,?,-1,0.341538,7.135775,3.686958,50
'Entire home/apt',356,0,0,29,?,52,0.102028,3.308033,0.540986,294
'Private room',0,0,0,1,?,947,0.521205,4.749018,0.946942,50
'Private room',0,0,0,1,?,848,0.223502,3.642254,0.805138,50
'Entire home/apt',356,0,0,11,?,-1,0.10207,3.308045,0.541044,342
'Entire home/apt',0,0,0,1,?,-1,0.246218,4.707367,0.961572,100
'Private room',0,0,0,1,?,1323,1.107625,7.176762,3.415454,95
'Entire home/apt',0,0,0,1,?,-1,0.786223,6.714118,2.990622,65
'Private room',0,0,0,1,?,101,0.458115,5.572509,1.771922,160
'Entire home/apt',0,0,0,1,?,46,0.076149,6.400011,2.796616,150
