@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R1-5,10-18,22-30,32-34-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute calculated_host_listings_count numeric
@attribute reviews_per_month numeric
@attribute days_since_last_review numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',347,3,3,1,2.73,149,0.957649,4.085012,2.657723,206
'Entire home/apt',100,6,6,1,2.73,143,1.208585,7.126495,3.352721,111
'Entire home/apt',248,3,3,1,2.73,65,0.597446,6.472779,2.78428,120
'Entire home/apt',90,69,22,1,0.59,66,0.199721,3.427924,1.230804,250
'Entire home/apt',240,43,12,1,0.59,1018,0.395398,7.349521,3.886666,107
'Entire home/apt',110,53,2,2,0.59,1104,0.999921,7.874756,4.075485,60
'Entire home/apt',276,24,6,1,0.59,367,1.230388,7.397415,3.626247,75
'Entire home/apt',133,50,3,12,0.59,94,0.358904,4.298081,0.531682,200
'Entire home/apt',332,50,13,2,0.59,44,1.12017,5.299339,2.256589,1141
'Private room',0,1,1,2,0.59,52,0.278153,3.685217,3.278548,76
'Private room',0,46,0,1,0.59,1088,0.282306,2.274695,2.069484,88
'Entire home/apt',0,44,0,1,0.59,51,0.592354,4.759848,0.997819,95
'Private room',319,32,6,6,0.59,101,0.786228,7.3893,3.677683,47
'Entire home/apt',0,16,1,1,0.59,1200,0.611236,7.543005,4.106797,100
'Entire home/apt',106,13,7,3,0.59,38,0.483731,4.320184,0.518373,101
'Entire home/apt',70,11,10,2,0.59,64,0.808811,4.536858,2.600493,150
'Entire home/apt',85,7,7,5,0.59,452,0.461495,4.309807,0.511197,101
'Private room',350,7,7,2,0.59,-1,0.934684,3.565889,4.152315,95
'Private room',68,68,1,1,0.59,42,1.52299,7.265469,4.7778,45
'Private room',134,464,55,4,3.99,71,0.171074,3.868742,0.467022,113
'Entire home/apt',204,198,53,1,3.99,73,1.014265,4.268714,1.537013,175
'Entire home/apt',178,144,53,1,3.99,36,0.435439,3.788937,2.086496,106
'Private room',250,18,3,46,0.26,951,0.475167,4.693796,1.37466,35
'Private room',364,27,21,3,0.26,275,0.184823,5.996557,4.966186,46
'Entire home/apt',287,22,4,1,0.26,298,0.708903,6.601655,2.905797,110
'Entire home/apt',365,22,2,2,0.26,140,0.064673,5.184834,1.39036,135
'Private room',169,20,5,3,0.26,59,0.574771,4.55099,0.808093,67
'Private room',365,17,3,16,0.26,555,0.553881,6.190509,4.836258,45
'Entire home/apt',111,4,0,1,0.26,-1,0.556075,5.672802,1.873356,200
'Entire home/apt',324,19,2,1,0.26,1125,0.704256,4.886216,1.601349,174
'Entire home/apt',0,17,2,3,0.26,161,0.179404,4.075538,1.847985,207
'Hotel room',349,14,5,33,0.26,123,0.322256,3.115271,3.256796,29
'Entire home/apt',0,14,0,1,0.26,290,0.452035,3.597425,2.709352,140
'Entire home/apt',364,14,0,10,0.26,323,0.629879,4.594397,0.825463,192
'Private room',287,13,5,5,0.26,101,0.096958,6.625257,5.40289,67
'Private room',0,12,0,3,0.26,410,1.224748,5.898545,3.537001,29
'Private room',269,11,6,12,0.26,37,0.18533,4.134309,0.555845,200
'Private room',328,9,4,46,0.26,38,0.086771,5.945624,2.197388,39
'Entire home/apt',83,10,5,1,0.26,58,1.087201,4.759399,2.882522,90
'Entire home/apt',297,3,3,157,0.26,202,0.510305,5.01259,1.243458,99
'Entire home/apt',0,6,0,1,0.26,269,0.672915,5.630273,1.869212,85
'Entire home/apt',258,9,0,1,0.26,145,0.389261,4.89892,1.180789,150
'Entire home/apt',179,7,2,1,0.26,919,0.636094,3.668116,2.41675,249
'Entire home/apt',0,6,0,1,0.26,131,0.655812,4.313075,2.419273,84
'Entire home/apt',297,5,2,156,0.26,1569,0.043474,4.500165,0.810606,111
'Entire home/apt',365,1,1,4,0.26,54,1.208526,2.439177,5.598918,297
'Entire home/apt',249,1,1,10,0.26,391,0.340936,4.133812,1.052214,84
'Entire home/apt',365,1,1,1,0.26,53,0.107027,3.414908,2.013209,120
'Entire home/apt',323,1,1,20,0.26,52,1.758538,5.687969,4.254887,841
'Entire home/apt',91,1,1,1,0.26,67,1.109688,4.751066,7.367505,80
'Entire home/apt',292,9,2,2,0.26,204,0.476561,5.861694,7.321784,111
'Entire home/apt',173,11,0,1,0.26,52,0.25533,3.247444,1.954027,69
'Entire home/apt',152,17,2,1,0.26,2589,0.360365,8.877092,5.137603,700
'Entire home/apt',365,4,2,5,0.26,117,0.387907,9.518732,5.972023,135
'Private room',299,22,3,4,0.24,49,0.51816,3.074457,5.022286,65
'Private room',206,13,5,2,0.24,91,0.672465,8.191461,4.491827,22
'Private room',209,17,2,46,0.24,128,0.446452,4.674914,1.345183,35
'Entire home/apt',46,22,3,1,0.24,51,0.841143,5.681163,3.16963,75
'Entire home/apt',0,19,0,1,0.24,52,0.600273,4.550199,0.769776,99
'Entire home/apt',0,15,0,1,0.24,141,0.460553,4.406903,0.800771,105
