@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R1-5,10-18,22-30,32-34-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_cleansed {'Historic Anacostia','Cathedral Heights, McLean Gardens, Glover Park','Edgewood, Bloomingdale, Truxton Circle, Eckington','Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View','River Terrace, Benning, Greenway, Dupont Park','Fairfax Village, Naylor Gardens, Hillcrest, Summit Park','Near Southeast, Navy Yard','Dupont Circle, Connecticut Avenue/K Street','Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill','Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir','Takoma, Brightwood, Manor Park','Friendship Heights, American University Park, Tenleytown','Brightwood Park, Crestwood, Petworth','Colonial Village, Shepherd Park, North Portal Estates','Georgetown, Burleith/Hillandale','Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace','Capitol Hill, Lincoln Park','Ivy City, Arboretum, Trinidad, Carver Langston','Shaw, Logan Circle','Union Station, Stanton Park, Kingman Park','Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street','Howard University, Le Droit Park, Cardozo/Shaw','Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights','North Michigan Park, Michigan Park, University Heights','North Cleveland Park, Forest Hills, Van Ness','Douglas, Shipley Terrace','West End, Foggy Bottom, GWU','Congress Heights, Bellevue, Washington Highlands','Kalorama Heights, Adams Morgan, Lanier Heights','Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point','Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont','Woodridge, Fort Lincoln, Gateway','Mayfair, Hillbrook, Mahaning Heights','Eastland Gardens, Kenilworth','Brookland, Brentwood, Langdon','Capitol View, Marshall Heights, Benning Heights','Hawthorne, Barnaby Woods, Chevy Chase','Woodland/Fort Stanton, Garfield Heights, Knox Hill','Sheridan, Barry Farm, Buena Vista'}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute calculated_host_listings_count numeric
@attribute reviews_per_month numeric
@attribute days_since_last_review numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Shaw, Logan Circle',38.90748,-77.02939,'Entire home/apt',3,6,0,17,0.12,114,0.402478,3.8465,0.398499,298
'Union Station, Stanton Park, Kingman Park',38.90058,-77.00288,'Entire home/apt',72,9,3,1,0.12,232,0.308709,3.820336,1.86002,199
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.89976,-77.02695,'Entire home/apt',62,8,7,1,0.12,65,0.115888,3.337503,0.73596,300
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91534,-77.01273,'Entire home/apt',113,6,3,2,0.12,120,0.503305,4.559786,1.398731,201
'Dupont Circle, Connecticut Avenue/K Street',38.90747,-77.04633,'Private room',0,5,1,2,0.12,1087,0.213449,3.847831,0.500137,157
'Howard University, Le Droit Park, Cardozo/Shaw',38.92149,-77.01564,'Entire home/apt',0,7,0,1,0.12,72,0.644734,4.928559,1.49728,99
'Ivy City, Arboretum, Trinidad, Carver Langston',38.9159,-76.9836,'Entire home/apt',0,7,0,1,0.12,3413,0.744861,5.253557,2.887979,32
'Union Station, Stanton Park, Kingman Park',38.89395,-76.99399,'Entire home/apt',170,2,1,1,0.12,81,0.65187,3.701967,2.451117,156
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.89768,-76.91772,'Private room',87,6,4,1,0.12,58,0.647091,6.569974,6.350604,73
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90431,-77.01483,'Entire home/apt',342,4,0,157,0.12,38,0.40344,3.800889,1.186586,164
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90137,-76.97872,'Entire home/apt',238,5,1,3,0.12,63,1.014744,4.618224,3.109669,242
'North Michigan Park, Michigan Park, University Heights',38.93921,-76.99347,'Private room',136,5,3,2,0.12,145,0.41724,6.451486,3.19007,56
'North Cleveland Park, Forest Hills, Van Ness',38.93982,-77.05973,'Entire home/apt',291,4,0,157,0.12,51,0.294269,6.164298,2.555403,125
'Capitol Hill, Lincoln Park',38.88731,-77.00208,'Private room',326,4,1,8,0.12,409,0.224086,3.07666,2.299833,335
'Union Station, Stanton Park, Kingman Park',38.8995,-76.99188,'Entire home/apt',319,3,0,157,0.12,49,0.786314,4.073508,2.444496,119
'Dupont Circle, Connecticut Avenue/K Street',38.91227,-77.04469,'Private room',328,4,1,12,0.12,405,0.195823,4.16824,0.541149,155
'Douglas, Shipley Terrace',38.8482,-76.97704,'Private room',269,4,1,4,0.12,52,0.501488,3.226064,5.161231,132
'Dupont Circle, Connecticut Avenue/K Street',38.91398,-77.04622,'Entire home/apt',365,3,1,157,0.12,-1,0.336405,4.293549,0.680332,124
'Shaw, Logan Circle',38.9059,-77.02356,'Entire home/apt',289,4,0,157,0.12,2163,0.094857,3.78706,0.712687,104
'Union Station, Stanton Park, Kingman Park',38.89329,-76.99855,'Entire home/apt',319,4,2,33,0.12,72,0.562629,3.518856,2.247767,85
'Capitol Hill, Lincoln Park',38.88594,-76.9786,'Private room',151,1,1,3,0.12,201,0.096272,3.906705,3.420438,74
'Capitol Hill, Lincoln Park',38.89023,-77.0024,'Entire home/apt',353,3,1,157,0.12,81,0.384533,3.228262,2.171287,104
