@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R1-5,10-18,22-30,32-34-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_cleansed {'Historic Anacostia','Cathedral Heights, McLean Gardens, Glover Park','Edgewood, Bloomingdale, Truxton Circle, Eckington','Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View','River Terrace, Benning, Greenway, Dupont Park','Fairfax Village, Naylor Gardens, Hillcrest, Summit Park','Near Southeast, Navy Yard','Dupont Circle, Connecticut Avenue/K Street','Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill','Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir','Takoma, Brightwood, Manor Park','Friendship Heights, American University Park, Tenleytown','Brightwood Park, Crestwood, Petworth','Colonial Village, Shepherd Park, North Portal Estates','Georgetown, Burleith/Hillandale','Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace','Capitol Hill, Lincoln Park','Ivy City, Arboretum, Trinidad, Carver Langston','Shaw, Logan Circle','Union Station, Stanton Park, Kingman Park','Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street','Howard University, Le Droit Park, Cardozo/Shaw','Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights','North Michigan Park, Michigan Park, University Heights','North Cleveland Park, Forest Hills, Van Ness','Douglas, Shipley Terrace','West End, Foggy Bottom, GWU','Congress Heights, Bellevue, Washington Highlands','Kalorama Heights, Adams Morgan, Lanier Heights','Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point','Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont','Woodridge, Fort Lincoln, Gateway','Mayfair, Hillbrook, Mahaning Heights','Eastland Gardens, Kenilworth','Brookland, Brentwood, Langdon','Capitol View, Marshall Heights, Benning Heights','Hawthorne, Barnaby Woods, Chevy Chase','Woodland/Fort Stanton, Garfield Heights, Knox Hill','Sheridan, Barry Farm, Buena Vista'}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute calculated_host_listings_count numeric
@attribute reviews_per_month numeric
@attribute days_since_last_review numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Union Station, Stanton Park, Kingman Park',38.89319,-77.0018,'Entire home/apt',271,0,0,1,?,95,0.434336,3.414393,2.096475,190
'West End, Foggy Bottom, GWU',38.900994,-77.049579,'Entire home/apt',138,0,0,235,?,48,0.042174,3.431981,0.796795,255
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.904125,-77.016537,'Entire home/apt',114,0,0,235,?,63,0.326974,3.760861,1.099908,195
'Brightwood Park, Crestwood, Petworth',38.94514,-77.0156,'Private room',0,0,0,5,?,45,0.675116,6.52571,2.850896,200
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.899688,-77.017076,'Entire home/apt',107,0,0,235,?,1241,0.248789,3.460697,1.171564,199
'Dupont Circle, Connecticut Avenue/K Street',38.909237,-77.038223,'Entire home/apt',241,0,0,235,?,39,0.276438,3.942552,0.157073,160
'Woodridge, Fort Lincoln, Gateway',38.9194,-76.96599,'Entire home/apt',146,0,0,1,?,38,1.591472,6.000627,3.851353,203
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.895522,-77.022761,'Entire home/apt',309,0,0,235,?,135,0.135202,3.098941,1.100385,231
'West End, Foggy Bottom, GWU',38.905065,-77.051708,'Entire home/apt',268,0,0,235,?,1133,0.310161,3.729265,0.79853,192
'Cathedral Heights, McLean Gardens, Glover Park',38.91738,-77.07412,'Entire home/apt',365,0,0,1,?,36,1.267249,4.900553,2.093987,200
'Georgetown, Burleith/Hillandale',38.91635,-77.07313,'Entire home/apt',358,0,0,2,?,-1,1.252469,4.814603,2.021319,250
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90394,-77.01724,'Entire home/apt',135,0,0,235,?,122,0.302162,3.73767,1.065983,178
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90266,-77.01731,'Entire home/apt',0,0,0,157,?,129,0.357496,3.652138,1.084498,134
'Brookland, Brentwood, Langdon',38.92668,-76.97355,'Private room',365,0,0,1,?,38,1.20031,6.167666,3.616601,65
'Dupont Circle, Connecticut Avenue/K Street',38.90661,-77.03763,'Private room',0,0,0,1,?,232,0.259072,3.761192,0.056162,75
'Union Station, Stanton Park, Kingman Park',38.89906,-76.98987,'Entire home/apt',365,0,0,157,?,362,0.887642,4.113943,2.555086,89
'Capitol Hill, Lincoln Park',38.88722,-77.00246,'Private room',326,0,0,8,?,79,0.205434,3.059423,2.287441,365
'Capitol Hill, Lincoln Park',38.88506,-77.00198,'Private room',326,0,0,8,?,95,0.167572,2.95899,2.399804,395
'Capitol Hill, Lincoln Park',38.8807,-76.98742,'Entire home/apt',0,0,0,1,?,152,0.109242,3.315846,3.196968,140
'Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont',38.874123,-76.9757,'Private room',0,0,0,1,?,141,0.716174,3.620207,3.966093,50
'Takoma, Brightwood, Manor Park',38.97231,-77.01751,'Entire home/apt',0,0,0,1,?,325,0.262968,8.36321,4.60863,100
'Dupont Circle, Connecticut Avenue/K Street',38.909237,-77.038223,'Entire home/apt',105,0,0,235,?,62,0.276438,3.942552,0.157073,197
'Dupont Circle, Connecticut Avenue/K Street',38.909237,-77.038223,'Entire home/apt',61,0,0,235,?,143,0.276438,3.942552,0.157073,204
'Dupont Circle, Connecticut Avenue/K Street',38.90504,-77.04667,'Private room',326,0,0,14,?,73,0.355028,3.683687,0.538832,500
'Dupont Circle, Connecticut Avenue/K Street',38.9052,-77.04529,'Private room',326,0,0,14,?,130,0.319807,3.685934,0.465591,442
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91968,-77.00023,'Entire home/apt',0,0,0,1,?,111,0.246743,5.068231,2.125737,100
'Dupont Circle, Connecticut Avenue/K Street',38.90521,-77.04703,'Private room',323,0,0,14,?,445,0.355333,3.697823,0.55417,437
'Dupont Circle, Connecticut Avenue/K Street',38.90503,-77.04576,'Private room',326,0,0,14,?,42,0.339283,3.677086,0.492874,422
'Dupont Circle, Connecticut Avenue/K Street',38.90617,-77.04519,'Private room',326,0,0,14,?,54,0.255025,3.751907,0.445081,437
'Georgetown, Burleith/Hillandale',38.91194,-77.06106,'Entire home/apt',114,0,0,235,?,173,0.948866,4.310632,1.321589,200
'Dupont Circle, Connecticut Avenue/K Street',38.90685,-77.04553,'Private room',324,0,0,14,?,960,0.22069,3.800493,0.458027,359
'Dupont Circle, Connecticut Avenue/K Street',38.90666,-77.04554,'Private room',326,0,0,14,?,43,0.232338,3.787519,0.459433,562
'Brightwood Park, Crestwood, Petworth',38.95569,-77.01212,'Shared room',156,0,0,22,?,44,0.588355,7.275119,3.594344,45
'Kalorama Heights, Adams Morgan, Lanier Heights',38.91766,-77.04598,'Private room',312,0,0,4,?,1239,0.572102,4.544892,0.867468,199
'Takoma, Brightwood, Manor Park',38.95745,-77.0104,'Shared room',133,0,0,22,?,52,0.581112,7.411721,3.740915,45
'Takoma, Brightwood, Manor Park',38.95746,-77.01046,'Shared room',156,0,0,22,?,51,0.58395,7.411777,3.740362,45
'Brightwood Park, Crestwood, Petworth',38.95564,-77.01185,'Shared room',133,0,0,22,?,136,0.574032,7.274411,3.596391,45
'Takoma, Brightwood, Manor Park',38.95625,-77.01048,'Shared room',131,0,0,22,?,74,0.53321,7.329695,3.662681,45
'Takoma, Brightwood, Manor Park',38.95743,-77.01237,'Shared room',232,0,0,22,?,62,0.661984,7.390692,3.701687,45
'Takoma, Brightwood, Manor Park',38.9557,-77.01167,'Shared room',233,0,0,22,?,48,0.567478,7.280278,3.603767,35
'West End, Foggy Bottom, GWU',38.89817,-77.05123,'Entire home/apt',172,0,0,235,?,345,0.182069,3.258743,0.982365,213
'Takoma, Brightwood, Manor Park',38.9558,-77.01111,'Shared room',233,0,0,22,?,66,0.544835,7.29273,3.621274,45
'Brightwood Park, Crestwood, Petworth',38.93982,-77.02458,'Private room',0,0,0,2,?,157,0.174405,6.092474,2.34358,95
'Brightwood Park, Crestwood, Petworth',38.9394,-77.02524,'Private room',0,0,0,2,?,1251,0.16466,6.059773,2.306143,90
'Takoma, Brightwood, Manor Park',38.95732,-77.01066,'Shared room',233,0,0,22,?,58,0.585667,7.400243,3.727439,35
'Takoma, Brightwood, Manor Park',38.95612,-77.01253,'Shared room',232,0,0,22,?,38,0.621334,7.30027,3.614156,45
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.895522,-77.022761,'Entire home/apt',196,0,0,235,?,59,0.135202,3.098941,1.100385,185
'Takoma, Brightwood, Manor Park',38.95766,-77.01094,'Shared room',233,0,0,22,?,59,0.612184,7.42041,3.743736,35
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.9109,-77.08966,'Private room',0,0,0,1,?,122,1.430485,4.903632,2.80791,55
'Takoma, Brightwood, Manor Park',38.9577,-77.0107,'Shared room',233,0,0,22,?,135,0.604461,7.425559,3.750993,45
'Takoma, Brightwood, Manor Park',38.95734,-77.01046,'Shared room',232,0,0,22,?,81,0.578499,7.403656,3.732686,35
'Takoma, Brightwood, Manor Park',38.95782,-77.01163,'Shared room',232,0,0,22,?,1894,0.64725,7.424354,3.740757,35
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90072,-77.01875,'Entire home/apt',287,0,0,235,?,50,0.235593,3.501849,1.060785,154
'Takoma, Brightwood, Manor Park',38.95641,-77.01254,'Shared room',232,0,0,22,?,2008,0.631518,7.319848,3.632663,35
'West End, Foggy Bottom, GWU',38.89817,-77.05123,'Entire home/apt',264,0,0,235,?,52,0.182069,3.258743,0.982365,205
'West End, Foggy Bottom, GWU',38.89817,-77.05123,'Entire home/apt',336,0,0,235,?,195,0.182069,3.258743,0.982365,203
'West End, Foggy Bottom, GWU',38.89817,-77.05123,'Entire home/apt',13,0,0,235,?,125,0.182069,3.258743,0.982365,265
'West End, Foggy Bottom, GWU',38.89817,-77.05123,'Entire home/apt',338,0,0,235,?,49,0.182069,3.258743,0.982365,204
'West End, Foggy Bottom, GWU',38.89817,-77.05123,'Entire home/apt',268,0,0,235,?,36,0.182069,3.258743,0.982365,205
'West End, Foggy Bottom, GWU',38.89817,-77.05123,'Entire home/apt',331,0,0,235,?,1822,0.182069,3.258743,0.982365,207
'Georgetown, Burleith/Hillandale',38.91194,-77.06106,'Entire home/apt',114,0,0,235,?,63,0.948866,4.310632,1.321589,200
'Howard University, Le Droit Park, Cardozo/Shaw',38.91606,-77.02623,'Entire home/apt',259,0,0,1,?,134,0.093895,4.45489,0.832789,150
'Takoma, Brightwood, Manor Park',38.95793,-77.01227,'Private room',233,0,0,22,?,40,0.678436,7.425581,3.735858,160
'Takoma, Brightwood, Manor Park',38.95762,-77.0109,'Shared room',266,0,0,22,?,80,0.608776,7.418106,3.741949,45
'Takoma, Brightwood, Manor Park',38.95792,-77.01192,'Shared room',133,0,0,22,?,985,0.663515,7.428292,3.741735,45
'Union Station, Stanton Park, Kingman Park',38.89959,-76.98779,'Entire home/apt',0,0,0,1,?,448,0.956506,4.211162,2.655267,175
'Takoma, Brightwood, Manor Park',38.95601,-77.01023,'Shared room',133,0,0,22,?,172,0.512929,7.316085,3.652491,45
'Takoma, Brightwood, Manor Park',38.95653,-77.01038,'Shared room',133,0,0,22,?,89,0.540171,7.349681,3.68256,45
'Takoma, Brightwood, Manor Park',38.9577,-77.01246,'Shared room',133,0,0,22,?,-1,0.676806,7.408151,3.717471,45
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.9277,-77.02019,'Entire home/apt',164,0,0,4,?,954,0.655391,5.29828,1.668877,800
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92705,-77.02319,'Private room',364,0,0,63,?,38,0.499342,5.228393,1.550462,112
'Near Southeast, Navy Yard',38.87881,-77.00773,'Entire home/apt',255,0,0,235,?,961,0.212759,2.432914,2.495475,167
'Georgetown, Burleith/Hillandale',38.9061,-77.06479,'Private room',0,0,0,1,?,68,0.769529,3.993115,1.480117,260
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90344,-77.01599,'Entire home/apt',344,0,0,235,?,40,0.376361,3.724595,1.138193,145
'North Cleveland Park, Forest Hills, Van Ness',38.94629,-77.06517,'Entire home/apt',0,0,0,1,?,128,0.238121,6.660223,3.085429,110
'Brightwood Park, Crestwood, Petworth',38.94408,-77.01445,'Private room',0,0,0,1,?,1417,0.661781,6.465109,2.809153,237
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.90823,-77.08246,'Private room',0,0,0,1,?,56,1.043221,4.541846,2.415726,90
'Friendship Heights, American University Park, Tenleytown',38.95197,-77.09429,'Entire home/apt',0,0,0,2,?,52,0.71546,7.515509,4.33526,120
'West End, Foggy Bottom, GWU',38.89817,-77.05123,'Entire home/apt',76,0,0,235,?,150,0.182069,3.258743,0.982365,257
'Capitol Hill, Lincoln Park',38.8801,-76.99394,'Private room',356,0,0,63,?,39,0.331152,3.018434,2.946304,55
'Dupont Circle, Connecticut Avenue/K Street',38.90519,-77.04696,'Private room',321,0,0,14,?,127,0.355946,3.695961,0.550923,437
'Sheridan, Barry Farm, Buena Vista',38.85784,-76.9894,'Private room',0,0,0,1,?,121,0.474926,2.5902,4.235275,150
'Capitol Hill, Lincoln Park',38.88001,-76.99405,'Private room',340,0,0,63,?,949,0.335174,3.00998,2.945752,55
'Hawthorne, Barnaby Woods, Chevy Chase',38.95793,-77.07035,'Entire home/apt',0,0,0,1,?,37,0.783792,7.504542,3.923721,85
'Dupont Circle, Connecticut Avenue/K Street',38.91242,-77.04242,'Entire home/apt',0,0,0,1,?,478,0.201233,4.169601,0.464027,110
'Shaw, Logan Circle',38.90721,-77.02621,'Shared room',331,0,0,8,?,180,0.233595,3.851018,0.56657,94
'Shaw, Logan Circle',38.91369,-77.03087,'Entire home/apt',352,0,0,157,?,182,0.290551,4.265086,0.550156,135
'Shaw, Logan Circle',38.91381,-77.03165,'Entire home/apt',258,0,0,157,?,59,0.311735,4.270034,0.534267,169
'Capitol Hill, Lincoln Park',38.88886,-77.00075,'Entire home/apt',342,0,0,157,?,59,0.350078,3.204378,2.296139,149
'Shaw, Logan Circle',38.91175,-77.03217,'Entire home/apt',319,0,0,157,?,147,0.439368,4.126261,0.401759,129
'Near Southeast, Navy Yard',38.87659,-77.0036,'Entire home/apt',0,0,0,1,?,74,0.079168,2.474109,2.752416,125
'Shaw, Logan Circle',38.908206,-77.032394,'Entire home/apt',104,0,0,235,?,550,0.478293,3.881529,0.248684,177
'Near Southeast, Navy Yard',38.87881,-77.00773,'Entire home/apt',135,0,0,235,?,65,0.212759,2.432914,2.495475,167
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93618,-77.03151,'Entire home/apt',0,0,0,1,?,352,0.435286,5.81078,2.019923,150
'Dupont Circle, Connecticut Avenue/K Street',38.91384,-77.03589,'Private room',0,0,0,1,?,1752,0.494456,4.261136,0.461277,210
'Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont',38.87296,-76.97217,'Entire home/apt',0,0,0,1,?,1844,0.909839,3.759382,4.165492,75
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90344,-77.01599,'Entire home/apt',335,0,0,235,?,199,0.376361,3.724595,1.138193,147
'Union Station, Stanton Park, Kingman Park',38.900449,-77.000936,'Entire home/apt',112,0,0,235,?,962,0.389928,3.863345,1.962186,175
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.895522,-77.022761,'Entire home/apt',303,0,0,235,?,196,0.135202,3.098941,1.100385,167
'West End, Foggy Bottom, GWU',38.905065,-77.051708,'Entire home/apt',0,0,0,235,?,52,0.310161,3.729265,0.79853,248
'Howard University, Le Droit Park, Cardozo/Shaw',38.91586,-77.02881,'Entire home/apt',160,0,0,5,?,1802,0.10551,4.424582,0.735458,125
'West End, Foggy Bottom, GWU',38.90626,-77.05319,'Entire home/apt',315,0,0,235,?,114,0.41311,3.826189,0.865803,200
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93379,-77.0251,'Private room',52,0,0,12,?,1323,0.26653,5.676012,1.938372,115
'West End, Foggy Bottom, GWU',38.905065,-77.051708,'Entire home/apt',332,0,0,235,?,52,0.310161,3.729265,0.79853,190
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',265,0,0,235,?,46,0.499028,4.473884,0.733303,125
'West End, Foggy Bottom, GWU',38.900994,-77.049579,'Entire home/apt',317,0,0,235,?,49,0.042174,3.431981,0.796795,245
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',104,0,0,235,?,40,0.499028,4.473884,0.733303,180
'West End, Foggy Bottom, GWU',38.900994,-77.049579,'Entire home/apt',319,0,0,235,?,43,0.042174,3.431981,0.796795,246
'Union Station, Stanton Park, Kingman Park',38.900449,-77.000936,'Entire home/apt',299,0,0,235,?,72,0.389928,3.863345,1.962186,144
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',105,0,0,235,?,-1,0.499028,4.473884,0.733303,168
'Takoma, Brightwood, Manor Park',38.96135,-77.02749,'Private room',269,0,0,1,?,37,1.130231,7.557636,3.769488,130
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.92473,-77.00843,'Entire home/apt',0,0,0,1,?,52,0.708608,5.246037,1.933874,200
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90151,-77.01553,'Hotel room',0,0,0,1,?,61,0.378037,3.606041,1.198728,0
'West End, Foggy Bottom, GWU',38.905065,-77.051708,'Entire home/apt',256,0,0,235,?,134,0.310161,3.729265,0.79853,192
'West End, Foggy Bottom, GWU',38.905065,-77.051708,'Entire home/apt',105,0,0,235,?,42,0.310161,3.729265,0.79853,256
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90072,-77.01875,'Entire home/apt',281,0,0,235,?,129,0.235593,3.501849,1.060785,156
'Brightwood Park, Crestwood, Petworth',38.94952,-77.02338,'Private room',173,0,0,1,?,63,0.833365,6.764673,3.006713,80
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',300,0,0,235,?,52,0.499028,4.473884,0.733303,166
'Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace',38.93372,-77.05571,'Entire home/apt',0,0,0,1,?,1956,0.143418,5.712125,2.083826,60
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',283,0,0,235,?,38,0.499028,4.473884,0.733303,127
'Near Southeast, Navy Yard',38.88042,-77.00812,'Entire home/apt',97,0,0,157,?,94,0.315277,2.505142,2.396059,174
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90187,-77.02934,'Private room',89,0,0,4,?,53,0.230624,3.462575,0.543874,185
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90387,-77.02868,'Private room',40,0,0,4,?,500,0.315385,3.603956,0.492538,229
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90341,-77.02939,'Private room',54,0,0,4,?,1851,0.266537,3.56766,0.476251,299
'Kalorama Heights, Adams Morgan, Lanier Heights',38.915932,-77.044438,'Entire home/apt',270,0,0,235,?,1606,0.439827,4.418854,0.72291,198
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93096,-77.02034,'Entire home/apt',0,0,0,1,?,41,0.476933,5.518554,1.859593,135
'Brightwood Park, Crestwood, Petworth',38.93813,-77.02634,'Entire home/apt',0,0,0,1,?,82,0.159682,5.96651,2.206337,1250
'West End, Foggy Bottom, GWU',38.89929,-77.05494,'Entire home/apt',315,0,0,157,?,1880,0.265597,3.381927,1.100932,86
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',340,0,0,235,?,1967,0.499028,4.473884,0.733303,172
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',133,0,0,235,?,131,0.499028,4.473884,0.733303,168
'Union Station, Stanton Park, Kingman Park',38.900449,-77.000936,'Entire home/apt',333,0,0,235,?,1909,0.389928,3.863345,1.962186,144
'Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill',38.96369,-77.00361,'Private room',0,0,0,1,?,81,0.820031,7.908816,4.278542,50
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93333,-77.02713,'Private room',365,0,0,12,?,61,0.343928,5.632781,1.875854,115
'Howard University, Le Droit Park, Cardozo/Shaw',38.91814,-77.02378,'Private room',362,0,0,63,?,-1,0.211923,4.616072,1.026323,74
'West End, Foggy Bottom, GWU',38.90145,-77.05467,'Entire home/apt',356,0,0,157,?,1279,0.238268,3.52197,1.021967,97
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',340,0,0,235,?,1170,0.499028,4.473884,0.733303,172
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90177,-76.9799,'Entire home/apt',0,0,0,1,?,1881,1.049279,4.596667,3.044145,97
'West End, Foggy Bottom, GWU',38.905065,-77.051708,'Entire home/apt',320,0,0,235,?,65,0.310161,3.729265,0.79853,210
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',309,0,0,235,?,43,0.499028,4.473884,0.733303,136
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',287,0,0,235,?,-1,0.499028,4.473884,0.733303,168
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',261,0,0,235,?,45,0.499028,4.473884,0.733303,135
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.904125,-77.016537,'Entire home/apt',345,0,0,235,?,73,0.326974,3.760861,1.099908,158
'West End, Foggy Bottom, GWU',38.90122,-77.05613,'Entire home/apt',339,0,0,157,?,58,0.312072,3.527272,1.099547,91
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90394,-77.01724,'Entire home/apt',294,0,0,235,?,61,0.302162,3.73767,1.065983,162
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.904125,-77.016537,'Entire home/apt',221,0,0,235,?,1053,0.326974,3.760861,1.099908,174
'West End, Foggy Bottom, GWU',38.89991,-77.05441,'Entire home/apt',337,0,0,157,?,132,0.225671,3.415743,1.055585,91
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90344,-77.01599,'Entire home/apt',285,0,0,235,?,115,0.376361,3.724595,1.138193,148
'West End, Foggy Bottom, GWU',38.90125,-77.05576,'Entire home/apt',233,0,0,157,?,1256,0.292856,3.523883,1.080607,95
'Capitol Hill, Lincoln Park',38.8804,-76.98433,'Private room',0,0,0,1,?,50,0.086266,3.43703,3.344026,100
'West End, Foggy Bottom, GWU',38.89915,-77.05586,'Entire home/apt',272,0,0,157,?,-1,0.314619,3.386165,1.148176,88
'West End, Foggy Bottom, GWU',38.90063,-77.05435,'Entire home/apt',267,0,0,157,?,39,0.215772,3.462935,1.029978,89
'West End, Foggy Bottom, GWU',38.90092,-77.05623,'Entire home/apt',318,0,0,157,?,68,0.315695,3.508867,1.112361,88
'Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont',38.867608,-76.959838,'Entire home/apt',290,0,0,1,?,48,1.140445,4.26302,4.913707,180
'Shaw, Logan Circle',38.90662,-77.02744,'Private room',0,0,0,2,?,1924,0.292987,3.800956,0.502975,198
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.90058,-76.93398,'Private room',354,0,0,3,?,40,0.529194,6.434815,5.473852,65
'Howard University, Le Droit Park, Cardozo/Shaw',38.91465,-77.02562,'Entire home/apt',0,0,0,2,?,355,0.190867,4.363156,0.788454,179
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.89809,-77.02675,'Private room',260,0,0,63,?,67,0.072303,3.225914,0.827355,55
'Capitol Hill, Lincoln Park',38.88497,-76.97783,'Entire home/apt',364,0,0,63,?,967,0.126736,3.900202,3.486273,165
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.895522,-77.022761,'Entire home/apt',264,0,0,235,?,80,0.135202,3.098941,1.100385,228
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',354,0,0,235,?,86,0.499028,4.473884,0.733303,190
'Capitol Hill, Lincoln Park',38.88346,-76.99718,'Entire home/apt',364,0,0,96,?,59,0.102013,3.04853,2.667384,143
'Capitol Hill, Lincoln Park',38.87873,-76.98489,'Entire home/apt',0,0,0,157,?,52,0.178266,3.348046,3.384884,165
'West End, Foggy Bottom, GWU',38.900994,-77.049579,'Entire home/apt',39,0,0,235,?,289,0.042174,3.431981,0.796795,309
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92792,-77.02988,'Private room',363,0,0,63,?,1957,0.141836,5.247959,1.477299,97
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92476,-77.03473,'Entire home/apt',0,0,0,1,?,43,0.242135,5.016006,1.217086,130
'Dupont Circle, Connecticut Avenue/K Street',38.91261,-77.04056,'Entire home/apt',0,0,0,96,?,43,0.256691,4.177946,0.420682,100
'Kalorama Heights, Adams Morgan, Lanier Heights',38.91899,-77.04379,'Entire home/apt',352,0,0,4,?,82,0.62173,4.626693,0.891711,55
'Near Southeast, Navy Yard',38.87829,-77.00862,'Entire home/apt',335,0,0,235,?,-1,0.224697,2.37499,2.495137,156
'Howard University, Le Droit Park, Cardozo/Shaw',38.91425,-77.03238,'Private room',348,0,0,63,?,1744,0.321274,4.297599,0.542239,55
'Kalorama Heights, Adams Morgan, Lanier Heights',38.91878,-77.0419,'Private room',0,0,0,1,?,142,0.6381,4.606309,0.841818,50
'Union Station, Stanton Park, Kingman Park',38.90185,-77.00409,'Private room',0,0,0,15,?,1270,0.331948,3.867343,1.777681,75
'Union Station, Stanton Park, Kingman Park',38.90138,-77.00059,'Shared room',0,0,0,15,?,105,0.410225,3.9281,1.965883,53
'Capitol Hill, Lincoln Park',38.88547,-76.97668,'Private room',364,0,0,63,?,-1,0.088752,3.969856,3.526302,96
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',348,0,0,235,?,54,0.499028,4.473884,0.733303,190
'Capitol View, Marshall Heights, Benning Heights',38.88568,-76.92091,'Entire home/apt',0,0,0,1,?,997,0.548739,5.904268,6.324259,150
'Union Station, Stanton Park, Kingman Park',38.90269,-77.00178,'Shared room',0,0,0,15,?,1906,0.306213,3.976022,1.887194,50
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.9276,-77.02798,'Private room',338,0,0,63,?,110,0.243036,5.234894,1.48487,55
'Union Station, Stanton Park, Kingman Park',38.89965,-76.99908,'Shared room',0,0,0,15,?,46,0.460413,3.866991,2.07105,53
