@relation 'chicago_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',168,2.7,1,251,32,45,10.050995,0.275505,3.627667,105
'Private room',1,0.02,2,0,0,1836,11.008147,0.849822,4.272451,50
'Entire home/apt',188,3.01,2,75,20,80,10.24893,0.544414,6.211196,149
'Entire home/apt',595,9.59,5,331,83,44,9.890795,0.592418,7.061046,90
'Private room',62,1,2,0,5,362,10.677108,0.598297,6.867005,45
'Entire home/apt',16,0.26,21,0,0,564,11.565643,0.387028,4.542934,99
'Hotel room',161,2.97,24,346,28,64,10.024568,0.049019,0.99253,284
'Private room',13,0.21,9,85,0,970,6.455578,0.46969,6.332487,39
'Private room',0,NA,1,0,0,-1,12.311919,0.667196,8.886898,60
'Entire home/apt',42,0.68,1,7,9,73,11.948935,0.136309,5.026306,250
'Entire home/apt',0,NA,1,253,0,-1,10.828168,1.012605,4.876517,150
'Entire home/apt',50,0.81,6,0,4,367,6.35694,0.373775,3.010475,200
'Entire home/apt',27,0.44,1,321,23,45,10.453878,0.175608,2.109403,299
'Private room',66,1.06,6,281,10,128,8.539522,0.499272,5.999158,150
'Private room',64,1.03,6,310,12,44,8.464092,0.541435,6.097953,189
'Private room',67,1.1,6,216,11,123,8.502762,0.515078,6.059457,135
'Private room',51,0.82,7,12,4,279,12.712787,0.41398,7.75063,55
'Private room',36,0.58,2,257,7,71,11.93153,0.761151,9.560024,59
'Private room',149,2.44,2,269,39,41,9.062739,0.287586,2.677246,53
'Entire home/apt',139,2.3,3,258,12,62,6.320835,0.057737,3.004146,80
'Private room',29,0.73,2,145,15,52,11.890116,0.803112,9.574448,65
'Entire home/apt',290,4.74,1,66,48,45,9.53701,0.226164,2.908309,271
'Entire home/apt',140,2.3,1,15,0,948,4.212095,0.704492,5.840356,80
'Entire home/apt',92,1.5,1,97,15,59,9.361605,0.611533,4.929101,112
'Private room',42,0.69,6,216,5,149,8.469972,0.558275,6.005342,153
'Entire home/apt',94,1.62,2,38,24,45,13.425751,0.117474,7.578153,115
'Entire home/apt',69,1.12,3,0,0,948,12.280886,0.116667,4.824542,200
'Entire home/apt',170,2.74,2,141,37,45,12.04634,0.241438,5.143459,211
'Entire home/apt',260,4.27,19,334,46,56,9.204591,0.088743,1.793549,165
'Entire home/apt',216,3.59,1,46,66,45,11.688846,0.168295,4.342283,159
'Private room',129,2.08,1,0,0,1035,9.006529,0.515658,3.106374,45
'Entire home/apt',342,5.68,4,132,67,42,10.777413,0.132794,7.524238,112
'Entire home/apt',350,5.72,1,113,66,44,10.113538,0.4339,4.267165,157
'Entire home/apt',121,1.98,1,59,18,46,11.678097,0.188086,4.068118,364
'Entire home/apt',230,3.85,2,12,26,38,8.786566,1.205017,4.978802,138
'Private room',20,0.33,1,0,0,1123,13.060929,0.434729,6.123777,73
'Entire home/apt',323,5.27,2,119,69,44,7.576108,0.137626,2.51405,183
'Private room',278,4.54,1,140,38,40,12.336581,0.330039,5.554452,80
'Entire home/apt',196,3.36,1,230,51,40,12.691735,0.747883,7.421534,115
'Entire home/apt',0,NA,1,0,0,-1,9.220718,0.133012,2.648668,1200
'Entire home/apt',35,0.57,1,159,7,48,9.360935,0.302201,6.188621,144
'Entire home/apt',173,3.03,1,342,41,58,10.879689,0.739052,5.586958,63
'Entire home/apt',228,4.95,1,41,67,52,6.265408,0.735504,11.007376,81
'Entire home/apt',195,3.17,6,16,22,44,9.156164,0.904337,5.077336,219
'Private room',124,2.01,5,353,13,43,5.981975,0.339377,3.698038,119
'Private room',3,0.05,1,0,0,1795,10.01179,0.278734,5.257368,108
'Private room',84,1.37,1,0,0,1515,10.095446,0.465241,6.050693,29
'Entire home/apt',225,3.67,1,253,79,56,9.517303,0.413572,5.822524,98
'Private room',22,0.36,1,0,0,1518,12.211901,0.254115,5.857018,70
'Entire home/apt',195,3.19,2,328,36,60,7.83224,0.38453,4.61219,117
'Private room',45,0.74,1,0,1,178,6.209089,0.502838,11.262355,45
'Private room',29,0.48,1,0,0,1471,7.060292,0.424027,2.18464,75
'Entire home/apt',93,1.71,1,132,28,42,11.60054,0.583868,5.552202,146
'Entire home/apt',211,3.63,1,118,61,44,12.190319,0.279732,6.946446,125
'Entire home/apt',59,1.13,6,301,11,114,9.094268,0.446646,2.281971,916
'Entire home/apt',189,3.22,1,62,31,37,9.862768,0.456797,5.941353,200
'Entire home/apt',134,2.37,1,0,25,115,12.267303,0.159613,5.839356,306
'Private room',40,0.68,6,147,3,73,8.511814,0.491136,6.124638,150
'Entire home/apt',173,2.84,1,309,35,44,11.128189,0.61444,4.668824,219
'Entire home/apt',34,0.56,3,123,3,181,9.209551,0.630977,4.416606,99
'Entire home/apt',21,0.35,1,0,4,291,10.639063,0.429254,5.710921,126
'Entire home/apt',144,2.38,1,0,0,899,7.760943,0.212405,1.551935,159
'Entire home/apt',309,5.06,1,60,47,44,10.230852,0.673233,6.626381,139
'Entire home/apt',205,3.36,1,42,30,87,8.976981,0.408865,2.492136,115
'Entire home/apt',195,3.65,3,223,48,52,6.001728,0.172908,3.358549,151
'Entire home/apt',263,4.57,1,39,73,54,9.216767,0.148764,2.613981,155
'Private room',131,2.15,5,360,17,45,5.825245,0.191708,3.832952,83
'Entire home/apt',187,3.08,1,65,61,41,9.01699,0.404832,2.190588,160
'Entire home/apt',155,2.57,1,45,25,80,12.527279,0.138038,6.187509,136
'Private room',36,0.59,7,356,2,341,13.055103,0.173172,9.09109,45
'Shared room',1,0.02,1,0,0,1863,9.633848,0.177451,3.384457,75
'Entire home/apt',1,0.02,1,0,0,1836,8.736214,0.325187,1.09155,250
'Entire home/apt',71,1.18,1,365,0,961,8.633422,0.409555,1.172621,199
'Entire home/apt',0,NA,1,0,0,-1,10.085247,0.526739,7.471198,90
'Private room',1,0.02,1,0,0,1856,3.474366,1.370865,7.639923,35
'Private room',5,0.08,6,357,3,60,6.269785,0.27863,3.076819,57
'Entire home/apt',261,4.36,1,56,13,38,10.06911,0.441734,4.066798,200
'Private room',135,2.25,2,306,11,49,9.027622,0.916242,5.401596,99
'Entire home/apt',166,3.03,2,320,24,73,8.909948,0.397125,2.060279,453
'Entire home/apt',0,NA,1,0,0,-1,9.034009,0.088736,0.818909,139
'Entire home/apt',204,3.41,1,315,45,43,10.872135,0.280246,2.445721,90
'Entire home/apt',3,0.07,1,90,1,206,11.793094,0.076937,4.259917,400
'Private room',80,1.42,1,29,14,73,9.387899,0.503427,4.476946,85
'Entire home/apt',64,1.07,1,327,22,51,11.213445,0.237761,3.742173,125
'Entire home/apt',205,3.42,1,310,41,45,11.217378,0.738761,5.182571,66
'Entire home/apt',5,0.1,1,0,0,1053,9.987673,0.307997,4.220176,599
'Shared room',1,0.02,2,0,0,1836,11.154773,0.746285,4.329557,21
'Private room',0,NA,1,0,0,-1,13.032273,0.364888,8.79371,50
'Private room',51,0.87,2,333,13,72,10.200349,1.077863,9.610599,88
'Entire home/apt',0,NA,1,0,0,-1,1.571121,0.997359,7.806404,200
'Entire home/apt',3,0.05,1,0,0,1826,13.203154,0.548814,5.570228,86
'Entire home/apt',109,1.81,1,0,3,106,9.314145,0.237802,3.587892,188
'Private room',126,2.1,7,8,14,68,13.331901,0.196953,9.387189,79
'Entire home/apt',162,2.72,5,165,37,54,8.940406,0.351932,2.01975,295
'Entire home/apt',54,0.92,7,320,16,59,13.306587,0.133382,9.323812,594
'Entire home/apt',283,4.98,1,49,60,52,9.61991,0.592392,5.512209,219
'Private room',147,2.55,3,253,29,73,8.273887,0.731772,5.325851,120
'Private room',192,3.19,3,344,29,53,8.200641,0.793197,5.315356,123
'Private room',143,2.43,3,244,31,54,8.280229,0.780679,5.43812,112
'Entire home/apt',2,0.03,1,0,0,1823,11.045029,0.817518,4.294193,150
'Entire home/apt',149,2.77,1,33,24,79,8.725156,0.624783,2.661654,71
'Entire home/apt',26,0.44,1,0,0,975,9.849319,0.381078,3.836602,129
'Entire home/apt',1,0.02,1,0,0,1786,11.361983,0.856026,3.134056,75
'Private room',141,2.35,2,306,11,42,9.074137,0.939668,5.348693,107
'Private room',154,2.56,7,6,13,54,13.411774,0.20795,9.256645,53
'Private room',159,2.65,7,5,3,54,13.406932,0.245431,9.373666,81
'Private room',63,1.11,7,6,5,92,13.30083,0.125994,9.319406,77
'Entire home/apt',93,1.56,1,201,39,39,13.795539,0.337329,6.43353,139
'Private room',113,1.89,7,5,5,61,13.316629,0.126871,9.29729,64
'Private room',165,2.76,7,8,8,71,13.410932,0.215924,9.298742,71
'Private room',1,0.03,2,0,0,1087,10.267579,0.645896,4.097365,60
'Entire home/apt',160,3.75,1,226,60,37,10.268046,0.166721,5.432315,135
'Entire home/apt',449,7.49,5,338,69,40,9.836309,0.667656,7.054534,78
'Entire home/apt',13,0.25,3,128,4,62,6.425187,0.11753,2.888999,60
'Entire home/apt',26,0.47,2,78,2,59,10.141977,0.275245,4.851943,259
'Entire home/apt',152,2.54,1,86,44,44,11.775597,0.331477,4.585259,142
'Entire home/apt',1,0.02,1,0,0,1572,11.954942,0.367016,4.214727,100
'Entire home/apt',113,1.89,11,298,41,109,10.593952,0.368008,1.620463,109
'Private room',110,1.84,1,358,25,56,12.229842,0.312608,5.122407,154
'Entire home/apt',7,0.12,1,0,0,1752,11.667713,0.357877,3.892341,70
'Entire home/apt',112,1.89,2,159,26,58,7.681295,0.093577,4.240959,156
'Entire home/apt',61,1.02,1,182,21,141,8.804098,0.553237,2.565311,180
'Entire home/apt',91,1.54,1,205,45,43,8.597334,0.661662,2.614884,170
'Entire home/apt',60,1.13,1,279,26,44,11.314758,0.227839,7.251556,236
'Entire home/apt',47,0.79,8,111,5,75,12.322748,0.274443,4.736525,168
'Entire home/apt',13,0.25,1,0,0,976,9.136951,0.300903,2.894303,119
'Entire home/apt',56,0.98,1,249,1,44,8.397256,0.830604,3.746045,300
'Entire home/apt',20,0.34,10,56,0,522,11.546956,0.406341,4.526417,120
'Private room',27,0.46,1,0,0,1147,10.016859,0.043556,0.971894,88
'Entire home/apt',150,2.54,1,62,40,43,11.965643,0.424334,5.736092,139
'Entire home/apt',170,2.89,1,303,37,44,10.562583,0.387196,5.565409,823
'Entire home/apt',121,2.04,2,111,0,1101,9.358616,0.745925,7.343839,46
'Entire home/apt',133,2.31,2,326,10,80,9.597087,0.640372,5.565263,204
'Entire home/apt',219,4.07,4,163,43,49,5.625994,0.816186,10.956879,189
'Entire home/apt',0,NA,1,317,0,-1,10.801005,0.239296,2.510505,100
'Entire home/apt',37,0.63,2,15,8,83,9.72474,0.375797,3.213961,325
'Entire home/apt',172,2.97,2,353,30,51,10.298019,0.226484,12.973903,162
'Entire home/apt',174,2.98,2,307,26,80,11.1637,0.732982,5.067912,86
'Entire home/apt',59,1,8,54,4,297,12.426162,0.201271,4.869976,147
'Entire home/apt',59,1,1,238,7,214,7.390438,0.337014,1.877209,189
'Shared room',3,0.05,11,0,0,1803,12.303242,0.321695,4.692547,80
'Entire home/apt',0,NA,1,0,0,-1,8.653805,0.248716,0.985945,88
'Private room',101,1.71,7,9,13,122,12.712787,0.41398,7.75063,55
'Shared room',2,0.03,11,0,0,1756,12.229889,0.273871,4.684754,39
'Entire home/apt',1,0.03,1,0,0,1199,10.500245,0.137634,3.027757,499
'Hotel room',330,8.41,24,348,120,53,10.024568,0.049019,0.99253,307
'Entire home/apt',46,0.89,1,0,0,1011,12.904027,0.386914,8.304798,79
'Shared room',3,0.05,11,0,0,1752,11.936991,0.065484,4.425878,59
'Entire home/apt',252,4.29,2,323,28,65,11.916532,0.055335,6.831721,92
'Shared room',1,0.02,11,0,0,1795,12.353098,0.257746,4.769334,69
'Shared room',0,NA,11,0,0,-1,11.946328,0.048242,4.508945,51
'Shared room',2,0.03,11,0,0,1765,11.923395,0.082211,4.401043,58
'Shared room',0,NA,11,0,0,-1,12.280345,0.239175,4.733653,58
'Entire home/apt',11,0.19,2,71,3,149,8.694371,0.811921,3.52761,133
'Private room',11,0.19,2,344,1,100,12.811189,0.58037,8.69508,141
'Private room',27,0.49,1,363,0,1100,13.33397,0.341617,5.909759,90
'Entire home/apt',116,1.98,1,0,0,955,8.922032,0.343209,1.938255,101
'Entire home/apt',0,NA,1,0,0,-1,10.693425,0.867297,4.896607,527
'Entire home/apt',239,4.08,3,299,15,80,7.077491,0.415638,3.567568,167
'Entire home/apt',15,0.26,1,0,0,1053,8.882,0.625349,3.108511,60
'Entire home/apt',303,5.16,2,141,66,44,9.482564,0.695513,5.545025,201
'Private room',11,0.2,1,16,3,145,8.545053,0.381715,9.446901,48
'Entire home/apt',83,1.44,2,343,12,44,12.752194,0.485398,8.573268,141
'Entire home/apt',220,3.76,1,339,46,44,9.206295,0.108918,1.452632,95
'Entire home/apt',25,0.44,1,357,2,43,9.700402,0.40852,5.060243,125
'Entire home/apt',148,2.54,1,338,30,44,10.873848,0.117684,3.33777,389
'Private room',1,0.02,11,0,0,1787,12.443642,0.214501,4.878881,75
'Entire home/apt',10,0.17,1,256,0,1165,10.037703,0.189793,3.521997,239
'Entire home/apt',0,NA,1,0,0,-1,10.175518,0.370306,0.986169,280
'Entire home/apt',3,0.05,1,0,0,1543,13.020051,0.426767,8.510188,250
'Private room',0,NA,1,0,0,-1,9.59769,0.328383,1.277163,150
'Private room',93,1.61,2,172,0,772,6.513369,0.503645,10.832149,52
'Entire home/apt',0,NA,1,0,0,-1,12.031478,0.301318,4.782263,290
'Entire home/apt',0,NA,1,0,0,-1,8.400648,0.280385,1.431092,220
'Private room',31,0.54,2,357,1,37,6.44498,0.63551,10.817429,47
'Entire home/apt',5,0.09,9,333,1,232,10.320864,0.440268,1.137582,249
'Private room',20,0.34,1,164,8,55,3.769623,0.533834,5.726666,26
'Entire home/apt',305,5.3,4,140,55,38,10.826471,0.104055,7.447701,135
'Private room',13,0.22,1,0,0,779,5.464686,1.595498,12.571898,35
'Shared room',1,0.02,11,0,0,1788,12.296092,0.214638,4.759182,25
'Entire home/apt',135,2.35,3,162,15,73,8.916841,0.742643,4.067675,446
'Entire home/apt',74,1.35,1,326,31,45,9.183612,0.217726,2.827029,240
'Shared room',24,0.42,5,0,0,765,12.254947,0.102192,4.868692,61
'Entire home/apt',168,2.89,1,187,36,42,11.527301,0.026291,7.010191,99
'Entire home/apt',133,2.4,1,180,51,49,8.932212,0.327245,1.853918,116
'Entire home/apt',206,3.55,2,117,45,39,11.436458,0.517075,3.508866,392
'Entire home/apt',96,1.65,4,173,22,58,9.733706,0.278197,6.018227,691
'Entire home/apt',27,0.47,11,168,10,37,9.776311,0.134596,4.242182,217
'Private room',4,0.1,4,284,0,963,10.093262,0.61104,6.625315,38
'Entire home/apt',184,3.33,2,159,30,45,12.783476,0.365604,8.418701,305
'Entire home/apt',0,NA,1,0,0,-1,12.125288,0.346523,5.250288,70
'Entire home/apt',296,5.17,1,40,68,44,8.325214,0.739028,3.865957,180
'Entire home/apt',2,0.03,2,0,0,1758,11.923542,0.769132,3.87281,50
'Entire home/apt',166,3.35,1,284,30,52,11.059807,0.686539,6.369252,198
'Entire home/apt',4,0.07,1,0,1,65,10.700231,0.405869,7.862028,72
'Entire home/apt',2,0.03,1,0,0,470,10.260697,0.110046,1.25345,120
'Entire home/apt',35,0.66,2,160,13,38,6.888621,0.855171,9.664324,154
'Entire home/apt',3,3,1,338,3,44,7.361593,0.605392,10.702185,95
'Private room',0,NA,1,0,0,-1,12.600395,0.520685,4.837384,100
'Entire home/apt',117,2.04,2,75,22,136,12.040616,0.698172,7.382737,89
'Entire home/apt',164,3.54,1,255,41,36,9.388262,0.783237,5.237991,93
'Private room',113,1.95,2,345,1,49,8.533237,0.553768,5.720754,51
'Private room',49,0.85,5,46,2,80,8.860707,0.422114,2.015199,62
'Entire home/apt',117,2.1,1,45,51,59,10.359993,0.108139,5.791906,145
'Entire home/apt',89,1.54,1,51,4,80,11.715686,0.556494,6.48832,85
'Entire home/apt',178,3.11,2,341,33,101,9.204654,0.057519,1.896529,159
'Entire home/apt',140,2.45,2,293,5,52,9.137099,0.177663,2.000991,119
'Entire home/apt',0,NA,1,0,0,-1,10.203428,0.313948,5.982708,85
'Entire home/apt',100,1.8,1,353,9,60,7.686403,0.341047,6.53748,200
'Entire home/apt',159,2.83,2,0,3,388,10.504166,0.195717,2.400018,243
'Entire home/apt',1,0.04,1,0,0,793,8.893451,0.225283,5.972854,125
'Entire home/apt',267,4.68,57,317,39,50,9.95924,0.234381,3.465847,143
'Entire home/apt',143,2.52,1,0,10,300,12.21138,0.223904,5.570178,115
'Entire home/apt',29,0.77,3,85,11,39,8.490343,0.543638,5.99381,84
'Entire home/apt',124,2.16,1,350,20,101,8.337616,0.557076,9.01118,118
'Entire home/apt',38,0.66,1,217,2,66,13.16063,0.195653,5.893971,485
'Entire home/apt',24,0.42,2,365,0,1604,9.831572,0.283069,8.094748,199
'Entire home/apt',83,1.66,1,179,0,408,6.369377,0.274198,5.437111,250
'Entire home/apt',123,2.18,1,185,25,42,13.550679,0.135711,7.123891,99
'Entire home/apt',285,4.98,2,107,80,39,10.954517,0.384343,2.629023,218
'Entire home/apt',102,1.94,1,1,33,52,10.371983,0.19293,5.917526,134
'Entire home/apt',79,1.43,2,35,23,52,13.27767,0.176565,7.573536,115
'Entire home/apt',322,5.62,1,96,61,52,8.275039,0.800811,5.479384,189
'Private room',23,0.49,17,176,14,66,12.134879,0.798127,10.062609,54
'Entire home/apt',3,0.06,1,173,0,1130,10.290848,0.494957,1.082677,200
'Entire home/apt',159,3.53,1,69,27,40,9.457209,0.721159,5.351741,255
'Private room',44,0.77,1,309,7,43,11.60827,0.216338,7.155432,45
'Shared room',62,1.16,17,176,7,64,12.134879,0.798127,10.062609,27
'Private room',1,0.02,1,0,0,1729,5.871377,0.349743,3.43232,30
'Entire home/apt',34,0.63,1,0,0,1484,9.145013,0.236122,2.554759,363
'Entire home/apt',132,2.37,1,324,22,43,9.230987,0.228295,2.89344,243
'Private room',29,0.56,2,317,11,148,8.898661,0.178904,5.700194,79
'Private room',58,1.1,3,356,15,44,5.098268,0.22803,4.239233,75
'Private room',31,0.56,3,179,3,353,5.187774,0.261733,4.115884,65
'Private room',32,0.6,3,179,3,367,5.088582,0.211247,4.24415,65
'Private room',187,3.34,5,112,23,43,4.661549,0.633327,12.63818,37
'Entire home/apt',13,0.24,2,313,5,64,11.74736,0.303693,5.459508,199
'Private room',23,0.44,1,0,0,971,6.405472,0.516577,3.057059,50
'Private room',10,0.19,17,158,2,153,12.134879,0.798127,10.062609,54
'Private room',4,0.07,1,0,0,1676,13.116632,0.459707,5.518708,26
'Shared room',27,0.47,12,331,1,133,5.342446,0.485443,7.12232,25
'Private room',148,2.69,2,164,39,43,7.334882,0.215306,3.102084,76
'Entire home/apt',94,1.68,3,132,12,318,10.631581,0.766486,5.039906,65
'Private room',7,0.15,8,95,1,73,5.505898,0.138261,4.049629,52
'Private room',5,0.09,1,363,0,1101,5.38506,0.319396,12.237389,100
'Entire home/apt',263,4.65,1,61,26,45,6.422826,0.782141,3.226599,153
'Entire home/apt',37,0.68,1,0,0,1095,7.083881,0.13671,4.227825,68
'Entire home/apt',276,4.96,1,182,48,52,6.559926,0.911465,3.235712,104
'Private room',40,0.71,21,0,0,532,12.431089,0.238042,4.849934,26
'Private room',34,0.6,21,0,0,749,12.413034,0.253078,4.822747,26
'Entire home/apt',149,2.7,2,173,16,255,12.230094,0.127784,4.856023,300
'Entire home/apt',26,0.46,4,332,5,184,10.428817,0.504471,6.288926,199
'Entire home/apt',129,2.44,1,347,14,246,11.612893,0.339862,5.327241,149
'Private room',46,0.82,21,0,0,536,12.379259,0.146181,4.862639,21
'Entire home/apt',297,5.32,18,71,70,50,11.556237,0.714825,3.487717,113
'Entire home/apt',63,1.21,1,231,30,44,11.32797,0.696158,6.589395,172
'Private room',23,0.41,21,0,0,567,12.30172,0.258105,4.733408,20
'Entire home/apt',151,2.69,3,122,61,37,12.249778,0.374292,4.581233,236
'Private room',268,4.75,2,111,74,49,6.884814,0.376993,2.350292,70
'Entire home/apt',79,1.42,1,58,28,38,8.639892,0.707862,3.287504,100
'Private room',48,1.13,1,172,15,115,10.711393,0.433874,7.876792,69
'Private room',30,0.54,21,0,0,567,12.303017,0.187627,4.781487,21
'Entire home/apt',129,2.44,1,314,35,38,13.236543,0.251313,7.652801,133
'Entire home/apt',24,0.44,2,322,16,43,8.78251,0.292106,5.658658,319
'Entire home/apt',25,0.45,2,0,0,1085,10.571468,0.210721,2.461471,139
'Entire home/apt',1,0.02,1,0,0,1707,10.012548,0.83584,6.79533,50
'Entire home/apt',15,0.27,2,364,1,392,6.255273,0.563557,3.282993,98
'Private room',0,NA,1,0,0,-1,10.856211,0.144732,7.450918,70
'Entire home/apt',46,0.82,1,0,0,1333,8.285769,0.492857,2.910161,100
'Shared room',1,0.02,17,157,0,1460,12.134879,0.798127,10.062609,81
'Shared room',118,2.12,17,176,18,57,12.134879,0.798127,10.062609,27
'Shared room',92,1.66,17,177,12,57,12.134879,0.798127,10.062609,27
'Shared room',41,0.8,17,158,10,49,12.134879,0.798127,10.062609,27
'Entire home/apt',195,3.49,1,311,49,50,9.3362,0.555402,4.750565,108
'Entire home/apt',236,4.31,2,287,69,42,7.202474,0.514199,2.037361,124
'Private room',1,0.02,1,0,0,1683,8.179936,0.521508,3.706774,44
'Entire home/apt',216,3.9,3,342,34,130,8.269313,0.516329,2.81397,69
'Entire home/apt',243,4.59,2,32,49,73,12.203528,0.55674,4.354305,243
'Entire home/apt',126,2.29,1,231,33,72,12.369708,0.035152,5.790802,125
'Entire home/apt',118,2.21,12,253,40,66,11.363939,0.265862,4.076263,464
'Entire home/apt',144,2.61,1,337,24,42,10.647638,0.168445,2.461937,95
'Entire home/apt',412,7.43,1,119,76,54,10.591288,0.456753,3.469906,124
'Private room',31,0.56,21,0,4,206,12.395517,0.239677,4.81573,30
'Private room',11,0.21,3,0,0,1053,11.706866,1.128681,10.099205,50
'Private room',2,0.05,2,364,0,1093,9.841207,0.281351,8.105725,89
'Entire home/apt',89,1.65,1,0,6,339,11.711749,0.410384,6.614328,100
'Shared room',28,0.53,12,355,1,79,4.393195,0.677269,7.676649,25
'Entire home/apt',5,0.09,2,363,0,1132,4.96055,0.411392,4.273107,189
'Entire home/apt',65,1.18,1,65,11,57,9.912606,0.561757,7.688779,93
'Entire home/apt',286,5.23,2,255,43,45,12.512679,0.17707,5.131098,325
'Entire home/apt',105,1.92,1,60,35,43,7.616593,0.844366,9.363365,116
'Private room',31,0.56,21,0,0,688,12.435292,0.247232,4.847897,25
'Entire home/apt',48,0.9,1,0,0,927,9.585692,0.239134,2.705058,50
'Private room',13,0.24,2,177,1,316,8.518658,0.240685,1.712554,200
'Entire home/apt',118,2.22,1,140,3,65,10.05124,0.376729,4.195745,112
'Hotel room',181,3.34,8,80,20,45,10.01179,0.036459,0.982431,249
'Entire home/apt',52,0.96,2,321,8,137,8.822821,0.648507,3.293354,184
'Entire home/apt',161,2.93,6,23,33,37,10.625453,0.462892,7.175344,199
'Entire home/apt',36,0.68,1,13,0,693,12.316371,0.04057,4.908088,329
'Entire home/apt',89,1.63,1,155,23,43,8.80441,0.549251,2.590768,179
'Entire home/apt',176,3.37,3,70,44,52,7.492761,0.515136,10.226697,96
'Entire home/apt',90,1.65,1,0,0,567,7.359361,0.185828,4.009871,42
'Private room',100,2.02,1,0,0,815,13.352758,0.088802,6.083134,75
'Private room',78,1.93,1,162,36,38,11.611078,0.306565,7.233132,118
'Entire home/apt',274,5.05,2,107,63,41,9.146982,0.527692,3.803503,103
'Entire home/apt',245,4.48,9,8,50,54,9.474973,0.123254,0.60535,166
'Entire home/apt',182,3.32,1,303,53,43,9.52499,0.156656,3.280077,202
'Entire home/apt',7,0.15,68,351,0,949,7.655975,0.386847,10.051513,80
'Private room',152,2.8,8,245,40,45,10.456588,0.631548,1.241951,279
'Entire home/apt',52,0.98,1,365,0,437,7.612779,0.197583,4.626975,165
'Entire home/apt',30,0.57,2,335,4,89,9.141823,0.027589,0.837952,249
'Entire home/apt',12,0.22,1,0,0,1154,10.06002,0.383747,0.833217,400
'Entire home/apt',101,2.21,2,47,39,44,11.599768,0.119732,4.037226,153
'Entire home/apt',217,3.96,2,52,39,45,9.597015,0.052307,4.062375,216
'Entire home/apt',111,2.03,1,335,25,44,9.995585,0.159439,4.911597,75
'Entire home/apt',8,0.15,2,0,0,1151,10.149078,0.574993,7.432904,115
'Entire home/apt',11,0.2,5,0,0,1152,9.965062,0.157063,1.172658,400
'Entire home/apt',180,3.29,6,318,50,39,12.969082,0.436586,6.100526,155
'Entire home/apt',15,0.28,2,0,0,1605,12.057417,0.182254,4.645839,140
'Entire home/apt',108,2.08,17,326,35,52,8.016996,0.086059,1.729508,233
'Entire home/apt',20,0.38,1,312,6,80,11.689012,0.108398,4.942579,175
'Entire home/apt',197,3.61,12,49,50,47,10.696943,0.333204,2.125481,273
'Shared room',1,0.02,1,0,0,1655,9.960755,0.082524,1.396143,60
'Entire home/apt',24,2.16,2,361,24,58,3.924173,0.94568,5.41897,375
'Entire home/apt',47,0.89,1,198,15,43,10.593951,0.513999,7.162911,121
'Private room',0,NA,1,0,0,-1,10.429234,0.191918,2.315347,90
'Entire home/apt',184,3.41,1,69,18,73,9.883838,0.265689,4.532973,152
'Private room',36,0.68,1,179,17,89,9.742976,0.124859,0.830781,111
'Entire home/apt',87,1.67,2,0,0,947,7.931699,0.337345,3.17233,175
'Private room',27,0.5,6,147,2,136,6.43429,0.272625,4.994869,35
'Entire home/apt',147,2.88,2,18,25,51,10.173058,0.424993,8.131518,177
'Entire home/apt',174,3.4,1,0,0,949,9.202158,0.466136,5.986722,95
'Entire home/apt',220,4.05,12,356,44,45,6.284378,0.043054,3.013495,79
'Entire home/apt',188,3.48,6,314,50,40,12.949877,0.420933,6.092193,155
'Entire home/apt',85,1.62,2,313,35,52,9.592965,0.316257,2.993851,805
'Private room',78,1.49,1,160,18,44,8.537729,0.628025,3.39612,100
'Entire home/apt',80,1.5,1,49,23,47,9.939348,0.173536,7.389013,311
'Entire home/apt',210,3.88,1,308,39,38,10.295728,0.532434,4.657215,126
'Private room',3,0.08,8,99,1,67,5.641557,0.05187,3.980575,69
'Private room',164,3.05,6,164,21,38,7.943933,0.204931,1.957084,75
'Entire home/apt',20,0.38,1,321,0,1151,10.511981,0.44729,6.353659,109
'Entire home/apt',165,3.08,1,172,23,77,9.611228,0.130756,3.563601,169
'Private room',179,3.34,8,156,41,58,10.010886,0.035526,0.981554,229
'Shared room',0,NA,1,0,0,-1,3.713383,1.046154,5.547501,39
'Private room',0,NA,1,90,0,-1,8.450258,0.480015,10.478611,105
'Entire home/apt',131,2.46,3,276,19,44,9.674785,0.24443,3.856354,99
'Entire home/apt',81,1.51,3,346,14,59,12.864671,0.094887,9.966087,275
'Entire home/apt',0,NA,1,359,0,-1,9.310883,0.313954,2.387606,153
'Entire home/apt',21,0.4,2,146,17,115,8.4997,0.290675,8.64492,93
'Entire home/apt',5,0.09,1,0,0,1585,11.752199,0.275804,4.065356,120
'Entire home/apt',40,0.77,2,0,0,902,9.209626,0.200519,2.537324,99
'Entire home/apt',228,4.37,1,122,73,38,11.711012,0.362989,7.236063,141
'Entire home/apt',73,1.38,1,44,13,44,9.434114,0.733239,5.180791,137
'Entire home/apt',201,3.74,24,57,37,52,10.015294,0.072922,1.36714,286
