@relation 'chicago_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',15,0.17,2,347,1,126,12.600466,0.349251,10.124108,149
'Private room',112,1.02,1,354,7,81,6.910633,0.452777,2.953822,103
'Entire home/apt',102,0.94,1,316,10,56,10.975363,0.888003,4.237569,454
'Private room',371,3.39,1,301,44,45,9.850716,0.252541,4.35461,86
'Private room',42,0.4,5,147,0,514,12.257286,0.099853,4.870376,270
'Entire home/apt',26,0.23,1,242,2,78,12.614936,0.136083,6.727537,175
'Entire home/apt',0,NA,1,0,0,-1,12.698466,0.564911,7.086892,114
'Shared room',172,1.55,17,176,8,61,12.129548,0.80267,10.064328,27
'Entire home/apt',80,0.73,9,144,23,48,10.680505,0.094435,2.368208,192
'Entire home/apt',16,0.16,9,40,0,1143,10.644653,0.09391,2.389127,279
'Private room',194,1.77,2,295,20,45,6.551516,0.277463,11.450521,56
'Private room',279,4.92,2,107,66,48,6.883096,0.386922,2.351162,70
'Entire home/apt',34,0.31,3,46,5,91,10.026094,0.380173,2.114988,236
'Entire home/apt',161,1.47,1,353,29,38,12.615561,0.157044,9.585079,119
'Private room',311,3.04,1,258,28,43,11.390614,0.456482,4.260301,64
'Private room',49,0.45,1,74,26,52,11.490484,0.577855,3.527211,157
'Entire home/apt',53,0.81,1,12,3,199,7.702434,0.090804,1.572179,103
'Private room',105,0.96,1,252,10,79,8.695295,0.549754,10.468822,55
'Entire home/apt',350,3.32,3,335,14,176,8.245616,0.309373,3.226555,80
'Entire home/apt',116,1.41,1,0,0,517,8.218679,0.707813,3.894079,86
'Private room',28,0.26,6,73,0,1114,11.520695,0.239938,4.214868,73
'Private room',107,0.99,6,336,12,44,8.755223,0.422281,1.992501,80
'Entire home/apt',7,0.07,68,365,0,2963,10.231279,0.304743,1.087428,153
'Entire home/apt',59,0.59,1,293,13,44,11.412918,0.327976,4.17044,242
'Private room',132,1.22,3,317,7,38,5.778595,0.477735,3.494026,96
'Entire home/apt',12,0.83,6,75,7,71,12.365289,0.024695,4.968035,379
'Entire home/apt',13,0.12,6,57,7,59,12.450429,0.081483,5.015671,693
'Entire home/apt',24,1.4,6,63,15,66,12.381132,0.036568,4.98657,879
'Entire home/apt',19,1.11,6,72,13,64,12.366444,0.026914,4.970468,922
'Private room',352,3.37,2,131,15,48,8.3201,0.351507,7.132538,80
'Entire home/apt',57,0.54,1,365,4,49,8.684387,0.405524,5.733662,115
'Entire home/apt',155,1.46,1,359,1,71,11.746846,0.548837,3.832787,239
'Entire home/apt',274,2.97,7,298,15,58,10.978467,0.572498,6.364802,99
'Entire home/apt',0,NA,1,97,0,-1,11.945056,0.597364,4.029423,100
'Entire home/apt',14,0.14,68,348,0,2195,8.640286,0.249896,1.68572,200
'Private room',251,2.36,2,68,32,58,9.991999,0.321234,4.302891,90
'Entire home/apt',181,1.71,2,342,23,54,9.325626,0.16395,2.040476,265
'Private room',137,1.35,1,316,0,984,11.902312,0.767325,3.848187,75
'Entire home/apt',508,4.81,7,337,44,64,7.503233,0.016629,4.247664,88
'Private room',167,1.62,3,330,18,38,5.831368,0.442588,3.436461,96
'Private room',43,0.42,15,222,15,51,8.26572,0.791421,5.433385,48
'Private room',60,0.59,5,108,4,115,12.266913,0.090182,4.8685,312
'Shared room',388,4.11,5,106,58,38,12.266913,0.090182,4.8685,64
'Entire home/apt',167,1.6,2,0,6,60,9.262497,0.242528,3.499097,148
'Entire home/apt',442,4.27,19,328,35,53,9.253399,0.026993,1.908632,318
'Entire home/apt',93,0.92,2,231,12,49,11.438935,0.583445,5.354195,226
'Private room',67,0.66,1,87,0,1977,8.442409,0.500424,9.019438,325
'Entire home/apt',57,0.58,1,43,16,43,8.628532,0.237089,1.204157,168
'Entire home/apt',226,2.21,1,72,28,38,11.663271,0.234161,6.783076,86
'Entire home/apt',171,1.65,2,163,15,42,8.783868,0.699836,3.177842,179
'Private room',154,1.55,3,257,21,37,7.236575,0.181625,3.713753,43
'Private room',97,0.95,1,353,13,59,7.05487,0.309747,5.670169,87
'Private room',245,2.38,1,89,13,142,7.365634,0.34843,1.887589,65
'Private room',7,0.08,4,179,0,401,5.24636,0.114907,4.551296,45
'Entire home/apt',16,0.16,68,318,0,1600,8.41611,0.188771,1.821318,120
'Entire home/apt',103,1.04,1,0,0,976,8.907687,0.096986,6.417388,125
'Private room',10,0.12,4,257,4,58,10.732828,0.361179,9.483339,35
'Entire home/apt',25,0.25,68,361,0,1573,10.165042,0.437706,0.935041,160
'Entire home/apt',6,0.06,68,365,0,2674,8.508653,0.274083,1.824272,200
'Entire home/apt',129,2.09,2,91,8,98,9.85929,0.289116,3.369784,248
'Entire home/apt',151,2.47,1,263,13,66,11.558002,0.114811,3.96788,277
'Entire home/apt',15,0.15,68,343,0,838,8.40566,0.120785,1.715905,120
'Entire home/apt',144,1.42,2,144,10,68,8.06174,0.415869,13.627848,103
'Entire home/apt',145,1.61,2,110,3,54,8.064988,0.409341,13.626552,89
'Entire home/apt',8,0.08,68,341,0,2147,8.467546,0.239105,1.818517,200
'Private room',29,0.29,2,105,4,46,6.277578,1.539395,10.272131,45
'Entire home/apt',7,0.07,68,348,0,1565,8.542677,0.26115,1.694679,135
'Entire home/apt',5,0.05,68,365,0,2831,10.142508,0.292566,0.976706,155
'Entire home/apt',157,1.55,3,300,5,115,8.252316,0.323689,3.16007,84
'Entire home/apt',187,2.58,2,133,60,54,9.112584,0.242528,2.617519,236
'Private room',67,0.67,1,329,8,108,8.74774,0.074763,1.261191,136
'Private room',330,3.35,2,313,7,81,1.354067,0.653863,8.516076,37
'Entire home/apt',269,2.68,1,0,0,793,9.269409,0.117816,2.788237,159
'Entire home/apt',245,2.42,1,302,0,1092,10.01532,0.466248,8.016233,70
'Entire home/apt',414,4.09,1,144,72,54,9.909616,0.348016,3.562086,96
'Entire home/apt',116,1.35,1,301,21,52,12.418545,0.177932,6.328168,175
'Entire home/apt',111,1.15,5,149,24,44,9.982315,0.16754,3.396057,245
'Entire home/apt',45,0.45,1,349,1,297,12.590118,0.145038,9.280379,150
'Entire home/apt',70,0.71,10,336,13,44,9.554038,0.316788,4.359096,1234
'Entire home/apt',10,0.12,4,256,0,1140,10.617308,0.328972,9.337789,85
'Entire home/apt',315,3.13,1,290,37,44,13.005636,0.437785,7.921991,89
'Entire home/apt',205,2.06,2,330,34,45,12.025459,0.244136,4.690094,384
'Entire home/apt',92,1.26,2,324,34,37,9.156167,0.152507,0.985295,349
'Entire home/apt',106,1.06,1,344,15,44,7.150361,0.102604,4.321787,113
'Entire home/apt',184,2.05,1,358,24,60,11.29215,0.541029,4.542405,193
'Private room',168,1.69,1,302,18,52,12.07961,0.168764,4.531014,75
'Private room',6,0.06,2,71,2,182,6.248369,1.526539,10.299774,35
'Private room',38,0.43,2,152,4,44,12.926505,0.466014,8.787835,110
'Private room',180,1.81,2,0,1,372,9.275251,0.218323,3.45848,112
'Entire home/apt',6,0.09,2,0,0,1494,12.299889,0.343978,4.675776,375
'Private room',358,3.64,1,60,29,38,8.815963,0.271015,5.797177,85
'Entire home/apt',151,1.52,4,271,6,77,10.12812,0.483722,6.090796,65
'Private room',42,0.42,3,256,4,40,13.30312,0.154555,7.983982,43
'Entire home/apt',44,0.45,1,318,9,66,10.165785,0.665276,7.48355,76
'Entire home/apt',5,0.1,2,292,0,746,12.579604,0.347436,8.505071,80
'Entire home/apt',15,3.88,1,337,15,58,10.388154,0.153013,6.867348,122
'Entire home/apt',14,0.14,68,365,0,1134,9.583907,0.015009,0.755157,170
'Private room',62,0.69,2,269,3,63,13.048228,0.197981,10.209596,67
'Private room',12,0.19,1,317,0,407,7.758111,0.19295,4.165724,85
'Shared room',137,1.39,17,175,7,80,12.142642,0.800165,10.079095,28
'Entire home/apt',66,0.87,1,5,16,52,6.744283,0.738884,3.032809,89
'Private room',18,0.18,1,272,0,1144,13.829556,0.3806,6.67577,65
'Entire home/apt',338,3.47,1,143,34,37,8.188925,0.702707,4.225643,133
'Private room',4,0.27,1,292,2,144,9.148302,0.035205,0.086242,57
'Private room',440,4.46,2,335,22,50,1.274437,0.549615,8.467014,37
'Private room',38,0.43,1,273,1,68,12.573981,0.32272,4.952574,88
'Private room',2,0.05,2,0,0,1084,12.20951,0.50989,9.267431,55
'Entire home/apt',47,0.5,1,4,7,38,13.0574,0.391588,6.869529,246
'Private room',7,0.07,4,363,0,424,7.896526,0.333687,4.111547,127
'Private room',24,0.25,3,255,2,68,6.511614,1.503438,10.038975,95
'Entire home/apt',1,0.07,1,0,0,458,10.671051,0.524548,1.549469,110
'Entire home/apt',105,1.07,1,339,25,44,7.719108,0.287746,3.140085,100
'Entire home/apt',296,3.03,1,87,45,48,13.073501,0.391005,5.517692,125
'Entire home/apt',3,0.04,1,0,0,1920,8.602872,0.840979,3.740714,135
'Private room',19,0.19,4,0,1,361,10.263927,0.212773,1.771709,101
'Private room',21,0.24,2,0,0,1528,12.063186,0.417155,4.297929,79
'Entire home/apt',32,0.33,2,0,0,1053,12.144744,0.416074,4.391087,132
'Private room',110,1.17,3,198,14,37,5.831368,0.442588,3.436461,96
'Entire home/apt',337,3.5,1,2,24,59,9.355614,0.007007,2.724934,150
'Entire home/apt',3,0.1,1,42,0,962,7.829784,0.426285,5.222492,150
'Private room',22,0.23,2,168,4,78,12.706276,0.138437,6.291278,120
'Entire home/apt',204,2.11,1,154,2,82,13.372497,0.201298,8.37966,42
'Entire home/apt',421,4.37,1,202,47,45,12.709533,0.450957,5.031563,143
'Entire home/apt',91,1.02,1,71,18,37,13.514087,0.107755,6.324035,252
'Entire home/apt',74,0.77,6,74,21,52,11.388645,0.236305,4.076535,234
'Entire home/apt',0,NA,1,152,0,-1,11.244424,0.670448,6.141558,100
'Private room',109,1.14,1,135,24,37,10.80169,0.550556,6.674532,56
'Entire home/apt',35,0.36,1,177,3,77,8.454247,0.54087,3.373347,425
'Entire home/apt',34,1.46,1,16,28,44,9.068477,0.061476,0.328782,139
'Private room',356,3.78,2,356,20,64,12.098009,0.232089,4.486301,98
'Entire home/apt',47,0.54,1,332,9,49,10.074483,0.222638,4.932278,250
'Private room',61,0.63,2,225,0,479,13.212565,0.285479,8.366358,65
'Entire home/apt',204,2.16,1,91,35,98,10.642038,0.151761,1.900386,202
'Entire home/apt',78,0.82,1,212,0,1078,11.996366,0.197375,6.92824,150
