@relation 'chicago_listings - cleaned-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_group {NA}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
NA,41.85954,-87.65423,'Entire home/apt',168,1.47,1,8,1,177,7.381128,0.405678,1.849127,125
NA,41.92546,-87.6573,'Entire home/apt',39,0.34,3,365,2,107,10.934432,0.242878,3.596287,119
NA,41.92708,-87.71212,'Private room',145,1.29,1,3,0,944,9.979971,0.270044,5.623514,110
NA,41.91215,-87.64006,'Entire home/apt',400,3.48,1,109,50,51,10.648567,0.117731,2.415313,125
NA,41.88538,-87.69801,'Private room',23,0.2,1,358,0,1447,7.472782,0.089646,3.757989,136
NA,41.9055,-87.66685,'Private room',133,1.15,1,0,0,961,9.476785,0.117152,2.768865,50
NA,41.89602,-87.65659,'Entire home/apt',361,3.19,19,343,42,52,9.219411,0.053934,1.915326,262
NA,41.86801,-87.67877,'Entire home/apt',41,0.35,1,104,1,66,6.941532,0.541299,2.762917,157
NA,42.00588,-87.66853,'Private room',262,2.28,4,341,39,37,13.036946,0.203154,9.066868,89
NA,42.00477,-87.66842,'Private room',294,2.58,4,341,37,38,13.032056,0.260618,8.990997,79
NA,42.00378,-87.66807,'Private room',277,2.41,4,351,30,39,13.041706,0.313496,8.920111,79
NA,42.00456,-87.67058,'Entire home/apt',224,1.98,4,326,29,39,12.91325,0.346828,9.005345,179
NA,41.89395,-87.62593,'Entire home/apt',35,0.3,1,143,3,80,10.157107,0.182976,1.113876,96
NA,41.85428,-87.70852,'Private room',6,0.07,4,0,0,2271,5.285646,0.16769,4.601643,45
NA,41.8544,-87.70852,'Private room',11,0.13,4,89,0,409,5.293028,0.168211,4.598693,45
NA,41.85454,-87.70802,'Private room',5,0.1,4,0,0,1102,5.314037,0.142366,4.569742,45
NA,41.85395,-87.62468,'Entire home/apt',23,0.2,68,348,0,505,8.403291,0.114679,1.689637,140
NA,41.97271,-87.65236,'Entire home/apt',63,0.55,1,2,14,62,13.789214,0.342184,6.643285,82
NA,41.93597,-87.65182,'Entire home/apt',11,0.15,1,141,6,38,11.715003,0.083397,4.170107,323
NA,41.92655,-87.64226,'Entire home/apt',624,5.57,3,24,61,37,11.411286,0.582827,3.41157,127
NA,41.87096,-87.68338,'Entire home/apt',339,3,1,258,22,44,6.969177,0.360106,2.966661,243
NA,41.90914,-87.67859,'Entire home/apt',199,1.76,2,342,11,40,9.404086,0.072127,3.41814,144
NA,42.01938,-87.67985,'Entire home/apt',15,0.17,2,347,1,126,12.600466,0.349251,10.124108,149
NA,41.86967,-87.68284,'Private room',112,1.02,1,354,7,81,6.910633,0.452777,2.953822,103
